
[00:00:00.000 --> 00:00:03.880]  我們先看看重溫一點的以色列記
[00:00:03.880 --> 00:00:08.120]  一開始是居老使王頒佈的詔書
[00:00:08.120 --> 00:00:13.440]  讓秘魯的以色列子民回歸耶路撒冷
[00:00:13.440 --> 00:00:15.840]  不單止回歸可以重建聖殿
[00:00:15.840 --> 00:00:18.280]  並且提供了一切所有的物資
[00:00:18.280 --> 00:00:21.080]  所以第二章我們看到有一批名單
[00:00:21.080 --> 00:00:25.960]  一批愛心、很有熱心、有心去侍奉的
[00:00:25.960 --> 00:00:29.560]  一批秘魯的子民去重建聖殿
[00:00:29.560 --> 00:00:33.320]  第三章他們先重建祭壇
[00:00:33.320 --> 00:00:35.560]  與神建立和好的關係
[00:00:35.560 --> 00:00:36.520]  敬拜神
[00:00:36.520 --> 00:00:39.120]  然後才去建聖殿的根基
[00:00:39.120 --> 00:00:41.640]  第四章我們看到宮城受阻
[00:00:41.640 --> 00:00:45.680]  因為有人在當地一些外族領袖
[00:00:45.680 --> 00:00:49.520]  說一些誹謗的說話
[00:00:49.520 --> 00:00:52.600]  說以色列子民過去都是反叛的
[00:00:52.600 --> 00:00:55.240]  如果現在建了聖殿之後
[00:00:55.240 --> 00:00:57.480]  他日後就不會再進宮
[00:00:57.480 --> 00:00:59.840]  有損王的庫房
[00:00:59.840 --> 00:01:02.800]  所以王一查的時候果然如是
[00:01:02.800 --> 00:01:04.560]  一停就停宮
[00:01:04.560 --> 00:01:06.360]  停了十六年之久
[00:01:06.360 --> 00:01:09.280]  直到第五章上一回
[00:01:09.280 --> 00:01:13.600]  看到直著哈該先知、撒加利亞先知
[00:01:13.600 --> 00:01:16.960]  以及所羅伯伯、耶穌亞眾領袖
[00:01:16.960 --> 00:01:19.880]  再次喚醒弟兄姊妹
[00:01:19.880 --> 00:01:22.920]  眾以色列子民的熱心
[00:01:22.920 --> 00:01:26.560]  讓他們看到他們是屬於耶和華的僕人
[00:01:26.560 --> 00:01:31.080]  同時他們看到神不斷的施恩
[00:01:31.080 --> 00:01:33.520]  現今他們等待神的榮光
[00:01:33.520 --> 00:01:36.520]  再次重臨聖殿當中
[00:01:36.520 --> 00:01:38.720]  這就是上幾回
