
[00:00:00.000 --> 00:00:04.480]  各位姐妹我們今天在崇拜裡面一起看耶利米蘇的第六章
[00:00:04.480 --> 00:00:07.200]  接著我們會再看它三十一章
[00:00:07.200 --> 00:00:11.280]  剛才讀聖經的時候你都可以看到這一章聖經
[00:00:11.280 --> 00:00:14.640]  是很嚴厲的一章聖經
[00:00:14.640 --> 00:00:18.960]  我們今天有個大綱在這裡
[00:00:18.960 --> 00:00:20.640]  如果你可以看著大綱
[00:00:20.640 --> 00:00:25.440]  可以幫助我們一起去容易一些閱讀神的說話
[00:00:25.440 --> 00:00:27.840]  如果你喜歡打開聖經
[00:00:27.840 --> 00:00:31.040]  看耶利米蘇第六章都可以
[00:00:31.040 --> 00:00:36.400]  我首先說我今天講道沒有什麼企圖的
[00:00:36.400 --> 00:00:42.720]  我只是想和大家一起去看神的話
[00:00:42.720 --> 00:00:44.720]  聽聽神說什麼
[00:00:44.720 --> 00:00:46.800]  然後我也不否認
[00:00:46.800 --> 00:00:50.160]  我會在那裡在神自己的話裡面
[00:00:50.160 --> 00:00:52.160]  來看回香港的情況
[00:00:52.160 --> 00:00:55.520]  因為我覺得作為一個講道的人
[00:00:55.520 --> 00:00:59.600]  講一些風花雪月的東西不是不行
[00:00:59.600 --> 00:01:04.560]  不過我覺得我心裡面是有從神而來的信息想講
[00:01:04.560 --> 00:01:06.560]  不過請你不要對號入座
[00:01:06.560 --> 00:01:08.080]  猜我講這句話
[00:01:08.080 --> 00:01:12.080]  究竟本來是想講哪樣東西游說我什麼
[00:01:12.080 --> 00:01:14.720]  我們這幾天包括我在內
[00:01:14.720 --> 00:01:17.120]  我已經太過疲倦
[00:01:17.120 --> 00:01:19.600]  聽到話很多時候都有骨
[00:01:19.600 --> 00:01:22.800]  還有我猜他究竟想講什麼
[00:01:22.800 --> 00:01:25.280]  其實不是他表面的東西是後面的東西
[00:01:25.280 --> 00:01:28.640]  我想你和我也不想再聽這些話
[00:01:28.640 --> 00:01:32.720]  只要我們一起簡單聽神說什麼
[00:01:32.720 --> 00:01:34.720]  究竟神說了什麼
[00:01:34.720 --> 00:01:36.720]  對你有什麼意思
[00:01:36.720 --> 00:01:38.240]  聽到什麼
[00:01:38.240 --> 00:01:40.800]  你自己在神面前聆聽
[00:01:40.800 --> 00:01:41.600]  好不好
[00:01:41.600 --> 00:01:42.960]  我沒有想告訴你
[00:01:42.960 --> 00:01:44.480]  你要這樣看就要這樣看
[00:01:44.480 --> 00:01:47.520]  我的責任就是解釋神的話
[00:01:47.520 --> 00:01:49.520]  我也聆聽神的話
