
[00:00:00.000 --> 00:00:01.920]  今天我想講的就是
[00:00:01.920 --> 00:00:07.360]  我想就著關於教會的一種情況來分享
[00:00:07.360 --> 00:00:09.080]  我會講現在色情的問題
[00:00:09.080 --> 00:00:09.920]  性文化的問題
[00:00:09.920 --> 00:00:12.600]  對教會的影響有哪幾方面
[00:00:12.600 --> 00:00:15.840]  而我們有哪些地方可以作出一些回應
[00:00:15.840 --> 00:00:17.640]  一會兒大家可以再提出一些問題
[00:00:17.640 --> 00:00:19.160]  大家一起來討論
[00:00:19.160 --> 00:00:22.000]  首先我想講的就是
[00:00:22.000 --> 00:00:26.320]  我們在教會裏絕對不是一個免疫的情況
[00:00:26.320 --> 00:00:27.920]  或者我們多一點保護
[00:00:27.920 --> 00:00:29.920]  但都受一些影響
[00:00:29.920 --> 00:00:32.160]  我常常提及一個經驗
[00:00:32.160 --> 00:00:35.400]  就是我最近一個星期
[00:00:35.400 --> 00:00:37.920]  去一個餐廳和太太一起吃東西
[00:00:37.920 --> 00:00:39.480]  回家的時候
[00:00:39.480 --> 00:00:40.720]  我們就問
[00:00:40.720 --> 00:00:43.960]  你聞到我們有什麼味道嗎?
[00:00:43.960 --> 00:00:46.240]  太太給女兒一個衣服問
[00:00:46.240 --> 00:00:48.680]  哇!雪茄味
[00:00:48.680 --> 00:00:52.040]  因為我們坐餐廳的地方有兩人吃雪茄
[00:00:52.040 --> 00:00:53.520]  餐廳很大
[00:00:53.520 --> 00:00:54.560]  很多人
[00:00:54.560 --> 00:00:57.240]  但我們都身受其害
[00:00:57.240 --> 00:00:58.080]  我們回到餐廳的時候
[00:00:58.080 --> 00:01:01.560]  當然要馬上脫下衣服拍拍樣子
[00:01:01.560 --> 00:01:02.920]  雖然我們不吃
[00:01:02.920 --> 00:01:04.280]  但周圍的人吃
[00:01:04.280 --> 00:01:06.400]  我們都會受到影響
[00:01:06.400 --> 00:01:07.240]  二手煙
[00:01:07.240 --> 00:01:08.440]  我們調查
[00:01:08.440 --> 00:01:12.080]  二手煙受的影響可能大於一手煙
[00:01:12.080 --> 00:01:12.920]  因為他們有淚嘴
[00:01:12.920 --> 00:01:15.840]  我們沒有淚嘴
[00:01:15.840 --> 00:01:18.400]  當然煙味很快可以消失
[00:01:18.400 --> 00:01:20.720]  但有些性的觀念
[00:01:20.720 --> 00:01:21.760]  性的意識
[00:01:21.760 --> 00:01:24.720]  對我們影響可能是長久的
[00:01:24.720 --> 00:01:28.480]  我們更加需要警覺那些問題
[00:01:28.480 --> 00:01:29.640]  對於教會的影響有幾方面
[00:01:29.640 --> 00:01:31.040]  第一方面我想說的是
[00:01:31.040 --> 00:01:32.320]  在這幾年
[00:01:32.320 --> 00:01:34.880]  教會接觸的新信主的靈影姊妹
[00:01:34.880 --> 00:01:37.600]  發覺情況是很不同
[00:01:37.600 --> 00:01:41.280]  跟四五年之前的初信主的靈影姊妹
[00:01:41.280 --> 00:01:42.360]  是很不同
[00:01:42.360 --> 00:01:43.440]  有幾方面
[00:01:43.440 --> 00:01:46.320]  有不少的初信者
[00:01:46.320 --> 00:01:48.840]  背著很多的包袱
[00:01:48.840 --> 00:01:53.000]  包括他們過去有很混亂的男女關係
[00:01:53.000 --> 00:01:54.800]  或者是很年輕也好
[00:01:54.800 --> 00:01:57.840]  但他們已經有過很多很多的
[00:01:57.840 --> 00:02:02.440]  婚姻的一個破損的經驗
[00:02:02.440 --> 00:02:05.320]  你不要看他們小小的二十多歲女兒
[00:02:05.320 --> 00:02:08.920]  原來她已經離婚兩次
[00:02:08.920 --> 00:02:10.440]  這些情況是我們以前沒有接觸
[00:02:10.440 --> 00:02:12.800]  但近幾年間中就會出現
[00:02:12.800 --> 00:02:15.440]  而且好像慢慢增加的情形
[00:02:15.440 --> 00:02:17.240]  而他們亦都不知道
[00:02:17.240 --> 00:02:18.240]  聖經的立場
[00:02:18.240 --> 00:02:21.320]  是不接受有婚前的性行為
[00:02:21.320 --> 00:02:23.600]  聖經清楚地讓我們知道
[00:02:23.600 --> 00:02:28.840]  婚前婚外的性行為是得罪神的
[00:02:28.840 --> 00:02:30.400]  今天我可能不多詳細解釋
[00:02:30.400 --> 00:02:32.200]  聖經這方面的教導
[00:02:32.200 --> 00:02:33.680]  但靈影姊妹來到的時候
[00:02:33.680 --> 00:02:34.880]  他們信了主
[00:02:34.880 --> 00:02:37.400]  直至到很多時候他們受洗的時候
[00:02:37.400 --> 00:02:38.920]  他們才發覺
[00:02:38.920 --> 00:02:41.720]  原來聖經是這樣的立場
[00:02:41.720 --> 00:02:43.320]  有些時候他們會
[00:02:43.320 --> 00:02:45.840]  很願意將他們的情況說出來
[00:02:45.840 --> 00:02:47.360]  有些都會覺得
[00:02:47.360 --> 00:02:48.880]  是嗎?我不知道的
[00:02:48.880 --> 00:02:51.080]  我從不知道這樣的問題
[00:02:51.080 --> 00:02:52.480]  因為他們認為
[00:02:52.480 --> 00:02:54.440]  每個人都接受這件事
[00:02:54.440 --> 00:02:55.760]  我記得自從拜完之後
[00:02:55.760 --> 00:02:58.480]  有一個年輕的弟兄走過來跟我聊天
[00:02:58.480 --> 00:03:00.960]  他似乎是初來教會的
[00:03:00.960 --> 00:03:02.520]  他一見到我就問
[00:03:02.520 --> 00:03:05.440]  牧師你們教會怎樣看
[00:03:05.440 --> 00:03:09.720]  未結婚之前男女的性關係
[00:03:09.720 --> 00:03:11.400]  然後他問很多問題
[00:03:11.400 --> 00:03:13.000]  好像一個第三者一樣
[00:03:13.000 --> 00:03:15.640]  問一些客觀的問題
[00:03:15.640 --> 00:03:16.720]  不過我一聽就知道
[00:03:16.720 --> 00:03:20.240]  他在問自己的問題
[00:03:20.240 --> 00:03:21.480]  我一回答他的時候
