
[00:00:00.000 --> 00:00:06.000]  今天晚上,我們要看另外兩個聖靈的比喻
[00:00:06.000 --> 00:00:17.000]  第一個,是在《創世紀》第一章第二節
[00:00:17.000 --> 00:00:23.000]  神的靈運行在水面上
[00:00:23.000 --> 00:00:28.000]  運行這兩個字,可以有另外一種的翻譯
[00:00:28.000 --> 00:00:33.000]  李鎮忠牧師的《聖經》一本
[00:00:33.000 --> 00:00:38.000]  用另外兩個字來翻譯
[00:00:38.000 --> 00:00:44.000]  這兩個字就是「福虛」
[00:00:44.000 --> 00:00:51.000]  「福」是福蓋的「福」
[00:00:51.000 --> 00:00:54.000]  「虛」是「何虛」的「虛」
[00:00:54.000 --> 00:00:58.000]  「虛」是「何」,「何」分開
[00:00:58.000 --> 00:01:01.000]  我把「虛」字再講得詳細一點
[00:01:01.000 --> 00:01:03.000]  我希望大家都知道是哪一個字
[00:01:03.000 --> 00:01:07.000]  我把「虛」字分開,再詳細一點說
[00:01:07.000 --> 00:01:10.000]  左邊是一個日字邊
[00:01:10.000 --> 00:01:12.000]  左邊是一個日字邊
[00:01:12.000 --> 00:01:15.000]  右邊是一句話兩句話的句
[00:01:15.000 --> 00:01:19.000]  右邊是一個一句話兩句話的句點
[00:01:19.000 --> 00:01:22.000]  四個點,下面是一個點
[00:01:22.000 --> 00:01:26.000]  這是聖靈的工作
[00:01:26.000 --> 00:01:31.000]  有的時候我們看見一隻母雞浮在雞蛋上
[00:01:31.000 --> 00:01:36.000]  有的時候我們看見一隻母雞浮在雞蛋上
[00:01:36.000 --> 00:01:38.000]  這個就是「福虛」了
[00:01:38.000 --> 00:01:40.000]  那個就是「福虛」了
[00:01:40.000 --> 00:01:44.000]  聖靈的工作也是一樣
[00:01:44.000 --> 00:01:49.000]  「福虛」兩個字,「福」這兩個字有三種的作用在裡面
[00:01:49.000 --> 00:01:56.000]  也可以說「福虛」的工作有三個因素在裡面
[00:01:56.000 --> 00:02:00.000]  也可以說「福虛」的工作有三個因素在裡面
[00:02:00.000 --> 00:02:04.000]  第一,「福虛」裡面有熱力
[00:02:04.000 --> 00:02:07.000]  「福虛」裡面有熱力
