
[00:00:00.000 --> 00:00:02.960]  今天我們來說傳道書在主題裡面
[00:00:02.960 --> 00:00:04.400]  可以說最後一段的經文
[00:00:04.400 --> 00:00:09.640]  是十一章的第七節至到第十二章的第七節
[00:00:09.640 --> 00:00:11.840]  在這一段的經文裡面
[00:00:11.840 --> 00:00:15.320]  是說到死亡的漸漸臨近
[00:00:15.320 --> 00:00:16.560]  如果大家還記得
[00:00:16.560 --> 00:00:19.280]  傳道書其實大約可以分為三部分
[00:00:19.280 --> 00:00:21.600]  第一部分就是第一至第四章
[00:00:21.600 --> 00:00:24.600]  就是說到我們要在敬畏上帝的態度裡面
[00:00:24.600 --> 00:00:27.200]  去享受上帝賜給我們的人生
[00:00:27.200 --> 00:00:30.280]  第二部分就是第五章至第八章
[00:00:30.280 --> 00:00:32.800]  那裡是說到很清楚的教導我們
[00:00:32.800 --> 00:00:35.520]  什麼叫敬畏上帝的生命
[00:00:35.520 --> 00:00:37.960]  第三部分第九章
[00:00:37.960 --> 00:00:40.720]  第一節至到十二章的第七節
[00:00:40.720 --> 00:00:45.000]  這裡就是說我們要面對死亡的事實
[00:00:45.000 --> 00:00:48.960]  在第九章的一開始就說到死亡的事實
[00:00:48.960 --> 00:00:54.360]  而在這裡十一章的第七節至到十二章的第七節
[00:00:54.360 --> 00:00:59.840]  就是說到死亡的逼近和死亡的過程
[00:00:59.840 --> 00:01:02.560]  在這裡我們再詳細看看
[00:01:02.560 --> 00:01:05.920]  究竟傳道者怎樣去教導我們
[00:01:05.920 --> 00:01:08.120]  當我們面對死亡這個事實的時候
[00:01:08.120 --> 00:01:12.520]  我們怎樣才能夠過一個有福的人生
[00:01:12.520 --> 00:01:16.520]  在第十一章的第七第八節這麼說
[00:01:16.520 --> 00:01:18.440]  光本是皆美的
[00:01:18.440 --> 00:01:21.560]  眼見日光也是我喜悅的
[00:01:21.560 --> 00:01:24.320]  人沒多年就當快樂多年
[00:01:24.320 --> 00:01:27.400]  然而也當想到黑暗的日子
[00:01:27.400 --> 00:01:29.280]  因為這日子必多
[00:01:29.280 --> 00:01:31.800]  所以來的都是去控的
[00:01:31.800 --> 00:01:37.280]  在十一章的七至八節和十一章的九至十節
[00:01:37.280 --> 00:01:41.880]  兩個段落的主題結構表達方式其實都很相似
[00:01:41.880 --> 00:01:45.680]  是呼籲人你要把握你有的時間
[00:01:45.680 --> 00:01:47.360]  你把握有的生命
[00:01:47.360 --> 00:01:51.640]  去享受上帝給你的這一份有福的生命
[00:01:51.640 --> 00:01:55.240]  因為在人生裡面不是必然有這個機會
[00:01:55.240 --> 00:01:59.120]  趁著有機會就要快快的去享受
[00:01:59.120 --> 00:02:01.640]  在第七至八節這裡
[00:02:01.640 --> 00:02:05.480]  可以說傳道者針對一般人的一個圈面
[00:02:05.480 --> 00:02:08.080]  透過光和黑暗的對比
[00:02:08.080 --> 00:02:10.720]  帶出了人活著的日子
[00:02:10.720 --> 00:02:13.680]  其實是勝過死亡的日子
[00:02:13.680 --> 00:02:16.640]  正如在第九章的四至六節這麼說
[00:02:16.640 --> 00:02:18.320]  傳道者也提及
[00:02:18.320 --> 00:02:21.440]  與一切活人相連的乃人還有子亡
[00:02:21.440 --> 00:02:25.400]  因為活著的狗比死了的獅子更強
[00:02:25.400 --> 00:02:29.560]  在這裡傳道者其實是一個整體提醒我們
[00:02:29.560 --> 00:02:31.320]  當有機會的時候
[00:02:31.320 --> 00:02:34.960]  好好享受上帝賜給你的有福的人生
[00:02:34.960 --> 00:02:37.200]  接著在第九至十節
[00:02:37.200 --> 00:02:40.960]  傳道者繼續很具體的提醒這一方面的信息
[00:02:40.960 --> 00:02:43.360]  第九至十節會這麼說
[00:02:43.360 --> 00:02:47.040]  少年人啊,你在幼年時當快樂
[00:02:47.040 --> 00:02:50.680]  在幼年的日子使你的心寬暢
[00:02:50.680 --> 00:02:54.880]  行你心所願的,看你眼所看的
[00:02:54.880 --> 00:02:57.320]  卻要知道為這一切的事
[00:02:57.320 --> 00:02:59.120]  上帝必審問你
[00:02:59.120 --> 00:03:00.640]  第十節這麼說
[00:03:00.640 --> 00:03:03.880]  所以你當從心中除掉受煩
[00:03:03.880 --> 00:03:05.800]  從肉體刻去邪惡
[00:03:05.800 --> 00:03:09.280]  因為一生的開端和幼年之時
[00:03:09.280 --> 00:03:11.200]  到時去控的
