
[00:00:00.000 --> 00:00:03.000]  大家好,歡迎收看宣導傳議台的節目
[00:00:03.000 --> 00:00:08.400]  我是最近的新書《創傷的呼喊》重讀約伯記的作者胡俊聯
[00:00:08.400 --> 00:00:10.800]  今天很開心可以透過這個頻道
[00:00:10.800 --> 00:00:14.000]  和大家分享一下我寫這本書的心得
[00:00:14.000 --> 00:00:16.800]  其實約伯記我們都很熟悉
[00:00:16.800 --> 00:00:20.000]  當中所記載的約伯受苦的故事
[00:00:20.000 --> 00:00:22.200]  可能都是我們耳熟能詳的
[00:00:22.200 --> 00:00:25.400]  事實上約伯記也很適合我們今天這個時代
[00:00:25.400 --> 00:00:28.600]  和這個處境去思想和看
[00:00:28.600 --> 00:00:32.200]  有人說今天這個時代都是充滿苦難
[00:00:32.200 --> 00:00:34.000]  或者我們身邊的人
[00:00:34.000 --> 00:00:37.400]  甚至我們自己都經歷過很多不同的苦難
[00:00:37.400 --> 00:00:42.400]  也有些人說今天這個時代是創傷或後創傷的時代
[00:00:42.400 --> 00:00:45.000]  在苦難和創傷頻連的時代
[00:00:45.000 --> 00:00:49.600]  約伯記很適合我們今天這個時代再一次去看
[00:00:49.600 --> 00:00:51.800]  再一次閱讀,甚至再一次反思
[00:00:51.800 --> 00:00:53.800]  來得著安慰和鼓勵
[00:00:54.200 --> 00:00:58.400]  這方面約伯記也很適合我們今天
[00:00:58.400 --> 00:01:01.800]  強調心靈和靈性需要的這個時代
[00:01:01.800 --> 00:01:05.400]  可能我們過去教會傳統比較著重一種知性
[00:01:05.400 --> 00:01:10.400]  理性、理智,或者一種知識層面來理解信仰
[00:01:10.400 --> 00:01:13.800]  但其實約伯記給我們看到的信仰是很豐富的
[00:01:13.800 --> 00:01:17.000]  不單止是在知性層面、理性層面
[00:01:17.000 --> 00:01:19.800]  也有很多情感、感受的層面
[00:01:19.800 --> 00:01:23.600]  約伯記就盛載了很多感受、很多情緒的表達
[00:01:23.600 --> 00:01:29.600]  事實上近幾年教會也多了講心靈、情緒
[00:01:29.600 --> 00:01:31.200]  甚至靈性的健康
[00:01:31.200 --> 00:01:32.200]  其實這很重要的
[00:01:32.200 --> 00:01:35.800]  讓我們看到我們每一個人都是很整全的人
[00:01:35.800 --> 00:01:38.400]  有我們的理性,也有我們的情感
[00:01:38.400 --> 00:01:40.800]  所以今天透過這本書
[00:01:40.800 --> 00:01:44.400]  很想和大家再一次用新的眼光去看約伯記
[00:01:44.400 --> 00:01:48.400]  如何和我們今天的苦難、創傷經驗去呼應
[00:01:48.400 --> 00:01:53.200]  如何讓我們更加關注心靈、情緒和靈性的需要
[00:01:53.200 --> 00:01:56.800]  更加強調到我們的信仰是一個旅途
[00:01:56.800 --> 00:02:01.600]  不是一個按個鍵就立刻由此案到答彼案的事情
[00:02:01.600 --> 00:02:03.600]  雖然我們對約伯的故事很熟悉
[00:02:03.600 --> 00:02:07.600]  但有沒有想過我們對於約伯的理解
[00:02:07.600 --> 00:02:10.200]  可能是稍為片面的
[00:02:10.200 --> 00:02:14.200]  甚至有些人會看為約伯
[00:02:14.200 --> 00:02:17.200]  其實某程度上在教會傳統裏面
[00:02:17.200 --> 00:02:18.600]  都稍為被誤解的
[00:02:18.600 --> 00:02:20.200]  一個被誤解的約伯
[00:02:20.200 --> 00:02:25.000]  原因是我們對約伯的認知
[00:02:25.000 --> 00:02:29.000]  很多時候都受到新約聖經
[00:02:29.000 --> 00:02:31.800]  特別是《雅各書》第五章的影響
[00:02:31.800 --> 00:02:34.000]  《雅各書》第五章首一節提到
[00:02:34.000 --> 00:02:36.800]  我們聽見過約伯的忍耐
[00:02:36.800 --> 00:02:38.800]  亦知道主要給予他的結局
[00:02:38.800 --> 00:02:41.200]  很多時候我們因為這段經文
[00:02:41.200 --> 00:02:43.200]  又或者我們對於整本書
[00:02:43.200 --> 00:02:46.200]  最主要的印象停留在頭兩章的故事
[00:02:46.200 --> 00:02:49.200]  和最後那一章的故事
[00:02:49.200 --> 00:02:54.000]  所以很多時候我們對於約伯的認知或印象
[00:02:54.000 --> 00:02:57.600]  很多時候強調約伯的敬虔和堅韌
[00:02:57.600 --> 00:02:59.800]  如果你看整本約伯記
[00:02:59.800 --> 00:03:02.200]  其實很多時候就是頭兩章
[00:03:02.200 --> 00:03:04.600]  和最後那一章的印象
[00:03:04.600 --> 00:03:07.800]  但很多時候約伯記中間很大的部分
[00:03:07.800 --> 00:03:10.400]  卻不是我們很熟悉的部分
[00:03:10.400 --> 00:03:13.000]  除了說是被誤解的約伯之外
[00:03:13.000 --> 00:03:16.000]  可能約伯記都被我們誤解或者誤讀
[00:03:16.000 --> 00:03:17.600]  就算未必是誤解也好
[00:03:17.600 --> 00:03:19.800]  可能是一種比較片面的形式
[00:03:19.800 --> 00:03:20.400]  為什麼呢?
[00:03:20.400 --> 00:03:24.200]  我們基於約伯的敬虔和堅韌
[00:03:24.200 --> 00:03:26.400]  很多時候我們會看約伯記
[00:03:26.400 --> 00:03:29.800]  是一個探討神異論的書卷
[00:03:29.800 --> 00:03:31.400]  神異論是什麼意思呢?
[00:03:31.400 --> 00:03:33.000]  神異論的意思就是說
[00:03:33.000 --> 00:03:34.400]  神是公義的
[00:03:34.400 --> 00:03:36.800]  其實亦都好像約伯的三位朋友
[00:03:36.800 --> 00:03:39.000]  一直去解說為何約伯會受苦
[00:03:39.000 --> 00:03:40.200]  為何約伯有苦難
[00:03:40.200 --> 00:03:42.000]  當中都有不少內容
[00:03:42.000 --> 00:03:45.600]  牽涉到去辯護或辯證神的公義
[00:03:45.600 --> 00:03:48.600]  所以約伯記裏面很多內容
[00:03:48.600 --> 00:03:53.200]  其實是關乎很多約伯自己的掙扎表達
[00:03:53.200 --> 00:03:54.800]  自己的情感
[00:03:54.800 --> 00:03:56.800]  但很多時候我們就稍為
[00:03:56.800 --> 00:03:59.000]  沒有強調這些方面
[00:03:59.000 --> 00:04:01.600]  反而去看重約伯記
[00:04:01.600 --> 00:04:04.200]  他在說究竟世界為何會有苦難
[00:04:04.200 --> 00:04:06.200]  為何有無辜的人會受苦
