
[00:00:00.000 --> 00:00:03.000]  復活的主我們感謝祢
[00:00:03.000 --> 00:00:07.000]  雖然我們眼睛這時刻看不到祢
[00:00:07.000 --> 00:00:11.000]  但是主我們知道祢真實的存在
[00:00:11.000 --> 00:00:15.000]  主祢是色在、金在、以後永在
[00:00:15.000 --> 00:00:19.000]  活到永永遠遠的全能者
[00:00:19.000 --> 00:00:23.000]  主我們知道祢勝過了死亡的權勢
[00:00:23.000 --> 00:00:28.000]  主有人以為死亡能夠將祢吞噬
[00:00:28.000 --> 00:00:31.000]  但是今天祢清楚地證明
[00:00:31.000 --> 00:00:34.000]  祢已經勝過了死亡
[00:00:34.000 --> 00:00:37.000]  死亡的毒鉤已經被除去
[00:00:37.000 --> 00:00:39.000]  主我們感謝祢
[00:00:39.000 --> 00:00:41.000]  已經許凡信靠祢的人
[00:00:41.000 --> 00:00:44.000]  都領受祢給我們的復活
[00:00:44.000 --> 00:00:46.000]  因此我們帶著信心
[00:00:46.000 --> 00:00:49.000]  仰望祢所賜的永恆
[00:00:49.000 --> 00:00:51.000]  因為祢所賜的復活
[00:00:51.000 --> 00:00:53.000]  因為祢今天已經復活了
[00:00:53.000 --> 00:00:56.000]  祢就將我們內心很多的恐懼
[00:00:56.000 --> 00:00:58.000]  很多的不安
[00:00:58.000 --> 00:01:00.000]  很多的害怕驅除
[00:01:00.000 --> 00:01:02.000]  讓我們今天可以放膽地
[00:01:02.000 --> 00:01:04.000]  來到世上生活
[00:01:04.000 --> 00:01:07.000]  如今我們到主耶穌的面前
[00:01:07.000 --> 00:01:10.000]  我們很恭敬地祈禱
[00:01:10.000 --> 00:01:14.000]  主啊求祢再次顯明祢的大能在我們心中
[00:01:14.000 --> 00:01:16.000]  讓我們知道祢的愛
[00:01:16.000 --> 00:01:18.000]  知道祢的掌權
[00:01:18.000 --> 00:01:21.000]  我們就歡喜快樂地跟隨祢
[00:01:21.000 --> 00:01:23.000]  在復活節的主日
[00:01:23.000 --> 00:01:26.000]  求主再次臨在我們中間
[00:01:26.000 --> 00:01:28.000]  藉著祢寶貴的聖靈
[00:01:28.000 --> 00:01:31.000]  指教我們明白祢的真理
[00:01:31.000 --> 00:01:33.000]  主耶穌祢的寶血遮蓋我們
[00:01:33.000 --> 00:01:36.000]  讓我們在祢的面前蒙恩惟
[00:01:36.000 --> 00:01:39.000]  我們同心仰望祈禱
[00:01:39.000 --> 00:01:41.000]  奉耶穌基督聖靈求
[00:01:41.000 --> 00:01:43.000]  阿們
[00:01:43.000 --> 00:01:45.000]  今天跟大家思想的就是
[00:01:45.000 --> 00:01:48.000]  曉得祂復活的大能
[00:01:48.000 --> 00:01:50.000]  其實在我們生活裡面
[00:01:50.000 --> 00:01:51.000]  很多時候透過自然界
[00:01:51.000 --> 00:01:53.000]  透過不同的事情
[00:01:53.000 --> 00:01:56.000]  都不斷去領受復活的訊息
[00:01:56.000 --> 00:01:59.000]  我記得在美國有機會去到紅木林
[00:01:59.000 --> 00:02:01.000]  Redwood Forest
[00:02:01.000 --> 00:02:04.000]  在那個地方看到很多大的樹
[00:02:04.000 --> 00:02:07.000]  但是看到很多大的樹倒塌了
[00:02:07.000 --> 00:02:09.000]  橫跨在地上
