
[00:00:00.000 --> 00:00:03.800]  這張就是我和師母在上個月去的地方
[00:00:03.800 --> 00:00:04.800]  漂亮嗎?
[00:00:04.800 --> 00:00:06.520]  很漂亮
[00:00:06.520 --> 00:00:09.920]  我們先由香港出發到新加坡
[00:00:09.920 --> 00:00:11.040]  坐了四小時飛機
[00:00:11.040 --> 00:00:11.720]  住了一晚
[00:00:11.720 --> 00:00:14.040]  然後再坐四小時飛機到馬爾代夫
[00:00:14.040 --> 00:00:18.000]  到馬爾代夫再坐35分鐘水上飛機
[00:00:18.000 --> 00:00:20.200]  就去到這個地方
[00:00:20.200 --> 00:00:22.280]  當然很漂亮
[00:00:22.280 --> 00:00:25.680]  每一次的旅程我們都會評分
[00:00:25.680 --> 00:00:30.840]  我和師母說這裡有日出日落
[00:00:30.840 --> 00:00:32.840]  又有海又有魚
[00:00:32.840 --> 00:00:35.840]  又有豐富的自助早餐
[00:00:35.840 --> 00:00:37.160]  總之每樣都好
[00:00:37.160 --> 00:00:39.560]  還可以睡很長的睡覺
[00:00:39.560 --> 00:00:41.160]  又可以踩單車
[00:00:41.160 --> 00:00:43.560]  又可以跑步
[00:00:43.560 --> 00:00:45.200]  在島上1.4公里
[00:00:45.200 --> 00:00:47.560]  不斷像倉鼠一樣繞圈
[00:00:47.560 --> 00:00:48.320]  跑步
[00:00:48.320 --> 00:00:49.400]  真的很好
[00:00:49.400 --> 00:00:51.680]  所以我們給這個旅程9分
[00:00:51.680 --> 00:00:53.160]  10分又給9分
[00:00:53.160 --> 00:00:54.680]  真的很高分
[00:00:54.680 --> 00:00:57.120]  如果有機會我們會再去
[00:00:57.120 --> 00:00:59.120]  不過不知道什麼時候
[00:00:59.120 --> 00:01:01.000]  不過去到最後一天
[00:01:01.000 --> 00:01:02.680]  我相信如果你有去過旅行
[00:01:02.680 --> 00:01:04.000]  都有同樣的心情
[00:01:04.000 --> 00:01:06.280]  除了不捨得之外
[00:01:06.280 --> 00:01:08.400]  我們要回香港
[00:01:08.400 --> 00:01:11.760]  回香港面對我們的工作
[00:01:11.760 --> 00:01:13.960]  總是有些莫名的感覺
[00:01:13.960 --> 00:01:15.360]  我不知道大家是不是去旅行
[00:01:15.360 --> 00:01:16.960]  去到最後一天都有這樣的感覺
[00:01:16.960 --> 00:01:18.360]  不過又有期盼
[00:01:18.360 --> 00:01:21.120]  我們計劃下一次什麼時候再去
[00:01:21.120 --> 00:01:26.920]  又好像從高峰下山又上去的感覺
[00:01:26.920 --> 00:01:27.920]  很特別
[00:01:27.920 --> 00:01:29.600]  我這樣想
[00:01:29.600 --> 00:01:33.800]  有沒有一些東西比這個地方更加好的
[00:01:33.800 --> 00:01:35.520]  又或者有沒有一些東西
[00:01:35.520 --> 00:01:38.440]  其實我們在日常生活當中
