
[00:00:00.000 --> 00:00:04.400]  有關今天的題目,要避開這等人
[00:00:04.400 --> 00:00:07.040]  避開,我們經常避開很多東西
[00:00:07.040 --> 00:00:10.400]  小弟膽固醇過高
[00:00:10.400 --> 00:00:13.600]  所以我們要避開這些美美的食物
[00:00:13.600 --> 00:00:18.640]  凡是甜食,碳水化學物,盡量避開
[00:00:18.640 --> 00:00:24.640]  早上前幾天又黑雨,大家又有幾個小時的休息
[00:00:24.640 --> 00:00:26.960]  但你要上班,上班你會
[00:00:26.960 --> 00:00:28.720]  我上班避開什麼好呢?
[00:00:28.720 --> 00:00:32.720]  這次避開不坐巴士,因為應該會水浸
[00:00:32.720 --> 00:00:34.800]  我估計,所以我坐地鐵
[00:00:34.800 --> 00:00:37.440]  坐地鐵,然後又要避開
[00:00:37.440 --> 00:00:40.640]  柴灣公園有些地方是極端水浸區
[00:00:40.640 --> 00:00:42.400]  要避開那些區
[00:00:42.400 --> 00:00:45.280]  避遠看見小狗,特別小的狗
[00:00:45.280 --> 00:00:47.760]  走開一點,真的,被狗咬過的人
[00:00:47.760 --> 00:00:49.360]  要避開
[00:00:49.360 --> 00:00:53.200]  所以每一天,每時每刻,我們都避開很多東西
[00:00:53.200 --> 00:00:59.760]  今天這段經文,保羅勸導提摩太和伊弗所教會
[00:00:59.760 --> 00:01:01.680]  要避開一些東西,避開什麼呢?
[00:01:01.680 --> 00:01:05.360]  一些人,我們要先研究經文,這些是什麼人
[00:01:05.360 --> 00:01:07.920]  第一,第二,他們做錯了什麼
[00:01:07.920 --> 00:01:12.720]  然後引申到我們應用,避開是什麼意思
[00:01:12.720 --> 00:01:15.440]  我們一起看經文
[00:01:15.440 --> 00:01:19.840]  上一次上回,二章十四到二十六節
[00:01:19.840 --> 00:01:25.920]  提摩太受教導,要提防假教師
[00:01:25.920 --> 00:01:27.920]  許米拉、肥祈濤
[00:01:27.920 --> 00:01:33.440]  他們好像所說的,類似癌症病毒不斷擴散
[00:01:33.440 --> 00:01:37.120]  影響很多人離開真道
[00:01:37.120 --> 00:01:42.560]  好像信仰被反轉,上個星期也說了
[00:01:42.560 --> 00:01:48.320]  這個提醒,也是負面的提醒
[00:01:48.320 --> 00:01:55.440]  正面的就是要讓提摩太去宣講以基督為核心福音的真理
[00:01:55.440 --> 00:01:59.840]  好叫信徒都能夠在風浪中站立穩
[00:01:59.840 --> 00:02:05.680]  並且讓那些未信的人,因著神的幫助
[00:02:05.680 --> 00:02:08.480]  有機會回轉認識信仰
[00:02:08.480 --> 00:02:10.960]  這是上回上星期所說的
[00:02:10.960 --> 00:02:13.520]  今星期三進一節
[00:02:14.000 --> 00:02:19.440]  他會說道,你該知道末世必有危險的日子來到
[00:02:19.440 --> 00:02:26.320]  保羅提摩太要很肯定一件事
[00:02:26.320 --> 00:02:29.760]  就是現在是末世的時代
[00:02:29.760 --> 00:02:34.320]  日子是一個縱數
[00:02:34.320 --> 00:02:35.840]  從何時開始呢?
[00:02:35.840 --> 00:02:39.760]  就是由耶穌基督來到地上的時候
[00:02:39.760 --> 00:02:45.520]  特別是當他受死復活後,在五重節聖靈降臨的時候
[00:02:45.520 --> 00:02:48.480]  司徒凡爾將十七節,末期就來到
[00:02:48.480 --> 00:02:53.600]  這個末期日子,直到何時完畢,就是主宰回來的日子
[00:02:53.600 --> 00:03:00.400]  所以這一段時間,包括今天在內,就是末世的日子
[00:03:00.400 --> 00:03:03.600]  在這段日子當中,我們知道耶穌基督會回來
[00:03:03.600 --> 00:03:06.640]  並且最後終極那一天,就是審判的日子
[00:03:06.640 --> 00:03:11.600]  審判的日子,凡是相信耶穌的,就進入樂園裡面
[00:03:11.600 --> 00:03:15.840]  與耶穌基督一同的同在
[00:03:15.840 --> 00:03:17.600]  這個啟示錄也有提及
[00:03:17.600 --> 00:03:21.440]  未信的,就受著刑罰
[00:03:21.440 --> 00:03:25.440]  神的憤怒,顯明在罪人身上
[00:03:25.440 --> 00:03:31.440]  在末世的日子,這裡提及到危險的日子
[00:03:31.440 --> 00:03:36.080]  危險這個字有不同的譯法
[00:03:36.080 --> 00:03:39.600]  困難、可怕、充滿暴力
[00:03:39.600 --> 00:03:42.400]  為什麼呢?因為第二節,保羅說
[00:03:42.400 --> 00:03:44.560]  為什麼這一段日子是危險的?
[00:03:44.560 --> 00:03:47.280]  他說因為,有一個原因
[00:03:47.280 --> 00:03:50.160]  原因是什麼呢?因為這個時候
[00:03:50.160 --> 00:03:54.320]  有一些人,他們誤敬為神
[00:03:54.320 --> 00:03:56.320]  做了一些行動
[00:03:56.320 --> 00:04:00.320]  大家看到有一堆的形容詞在這裡
[00:04:00.320 --> 00:04:05.520]  其實大部分是形容詞,但有三個是名詞
[00:04:05.520 --> 00:04:08.400]  三個名詞,中文是看不到的
[00:04:08.400 --> 00:04:10.960]  要去希臘文才能看到
[00:04:10.960 --> 00:04:14.000]  也就是說,比如說
[00:04:14.000 --> 00:04:18.000]  這裡說有些是執事,有些是部長
[00:04:18.000 --> 00:04:20.320]  有一堆形容詞,比如說
[00:04:20.320 --> 00:04:24.720]  恩勤、忠心、良善等等
[00:04:24.720 --> 00:04:27.120]  這裡有三個名詞,形容這批人
[00:04:27.120 --> 00:04:30.000]  包括什麼呢?第一,在第二節
[00:04:30.000 --> 00:04:33.680]  自誇的人,Bolsthers,自誇的
[00:04:33.680 --> 00:04:38.800]  第三節,Slanderers,那些好說、殘嚴的
[00:04:38.800 --> 00:04:40.720]  惡意中傷人的人
[00:04:40.720 --> 00:04:44.560]  第四節,Traitors,出賣人的人
[00:04:44.560 --> 00:04:47.520]  保羅說,有三類型的人出現了
[00:04:47.520 --> 00:04:51.360]  用不同的形容詞,形容這三批人
[00:04:51.360 --> 00:04:56.080]  自誇的、好說、殘嚴的、出賣的人
[00:04:56.080 --> 00:04:59.520]  保羅繼續說,這批人
[00:04:59.520 --> 00:05:01.680]  總結是一些什麼人呢?
[00:05:01.680 --> 00:05:03.680]  他用第五節來說
[00:05:03.680 --> 00:05:08.320]  他說,有敬虔的外貌,卻背了敬虔的實意
[00:05:08.320 --> 00:05:10.720]  實意的意思就是Power,能力
[00:05:10.720 --> 00:05:14.640]  在提摩太后書一章七節說到是聖靈的能力
[00:05:14.640 --> 00:05:16.320]  也就是說,這些人
[00:05:16.320 --> 00:05:19.920]  無論是自誇的、好說、殘嚴的
[00:05:19.920 --> 00:05:22.080]  又或者出賣其他人的人
[00:05:22.080 --> 00:05:24.800]  他們外表好像很敬虔
[00:05:24.800 --> 00:05:27.680]  外表好像很敬虔,但是裡面是
[00:05:27.680 --> 00:05:30.240]  沒有Power的,沒有聖靈的能力
[00:05:30.240 --> 00:05:32.240]  他無法轉化人的生命
[00:05:32.240 --> 00:05:40.400]  這些,類似是用中文的術語
[00:05:40.400 --> 00:05:42.400]  就是虛有其表
[00:05:42.400 --> 00:05:45.440]  好像很健碩,但是裡面很脆弱
[00:05:45.440 --> 00:05:51.120]  這些人呢,其實在耶穌時代也有的
[00:05:51.120 --> 00:05:53.920]  特別指向那些法理賽人
[00:05:53.920 --> 00:05:58.560]  他們去到做很多宗教的Show
[00:05:58.560 --> 00:06:02.560]  例如在公開的場合,十字路口
[00:06:02.560 --> 00:06:05.600]  去祈禱,告訴別人我禁食
[00:06:05.600 --> 00:06:08.080]  做了很多宗教的表現
[00:06:08.080 --> 00:06:12.880]  但是內在卻沒有聖靈住在心中
[00:06:12.880 --> 00:06:16.480]  在幕後的日子,他說這些人
[00:06:16.480 --> 00:06:20.000]  無論是自誇的、好說、殘嚴的
[00:06:20.000 --> 00:06:22.000]  自高自大,出賣他人的
[00:06:22.000 --> 00:06:26.000]  這些人不單是自己偏離了真道
[00:06:26.000 --> 00:06:30.000]  他們還會令其他人離開了真道
[00:06:30.000 --> 00:06:34.000]  經文當中保留了兩個形容詞
[00:06:34.000 --> 00:06:41.360]  形容這些人,如何帶領他們進入錯誤的軌跡
[00:06:41.360 --> 00:06:45.360]  第一,就是用偷進
[00:06:45.360 --> 00:06:50.640]  就像一隻蟲
[00:06:50.640 --> 00:06:56.720]  慢慢地滲進屋內,無聲無息
[00:06:56.720 --> 00:06:59.600]  是不會察覺的
[00:06:59.600 --> 00:07:03.600]  第二個字眼就是牢籠
[00:07:03.600 --> 00:07:08.800]  就像在打仗時,士兵俘虜了一些人
[00:07:08.800 --> 00:07:12.400]  綁住他,以致失去了自由
[00:07:12.400 --> 00:07:15.200]  所以用兩個形容詞形容
[00:07:15.200 --> 00:07:20.080]  那些自誇的、好說、殘嚴的、出賣人的人
[00:07:20.080 --> 00:07:22.640]  他們不單是自己偏離了真道
[00:07:22.640 --> 00:07:28.320]  而是如何帶領其他人進入錯誤的軌跡
[00:07:28.320 --> 00:07:31.280]  這些人進入了錯誤的軌跡
[00:07:31.280 --> 00:07:38.640]  其他人就會像背了罪的重擔
[00:07:38.640 --> 00:07:44.080]  並且被那些私欲、牽引、誘惑離開了
[00:07:44.080 --> 00:07:50.480]  保羅說這些人就是無知的婦女
[00:07:50.480 --> 00:07:53.680]  那男人就要撇開了
[00:07:53.680 --> 00:07:58.320]  但不是的,我們知道無知怎知是女性
[00:07:58.320 --> 00:08:00.480]  男人也可以很無知
[00:08:00.480 --> 00:08:03.280]  所以用這樣的向度
[00:08:03.280 --> 00:08:06.480]  來幫提摩泰和以弗所的信徒
[00:08:06.480 --> 00:08:09.680]  去知道現在的末世狀況
[00:08:09.840 --> 00:08:13.200]  最近就少播了
[00:08:13.200 --> 00:08:16.800]  因為最近就有關飲水事件
[00:08:16.800 --> 00:08:18.160]  政府部門的飲水事件
[00:08:18.160 --> 00:08:21.360]  但早前就多報道了KK樂園
[00:08:21.360 --> 00:08:23.200]  那我想問大家
[00:08:23.200 --> 00:08:24.400]  你們知不知道
[00:08:24.400 --> 00:08:28.480]  新聞報道了很多次KK樂園這些詐騙樂園
[00:08:28.480 --> 00:08:29.840]  為何還有人會去呢?
[00:08:29.840 --> 00:08:31.840]  你們知不知道為甚麼?
[00:08:31.840 --> 00:08:33.840]  (貪心)
[00:08:33.840 --> 00:08:36.640]  貪心,是的
[00:08:36.640 --> 00:08:39.200]  其實最主要的就是賺快錢
[00:08:39.200 --> 00:08:40.480]  真的很吸引
[00:08:40.480 --> 00:08:44.640]  不需要學識、學歷、技能
[00:08:44.640 --> 00:08:46.480]  就可以有一筆錢給你
[00:08:46.480 --> 00:08:49.280]  然後你就可以去泰國玩幾天
[00:08:49.280 --> 00:08:51.280]  回頭的那些
[00:08:51.280 --> 00:08:54.080]  那麼無知的就是那麼無知的
[00:08:54.080 --> 00:08:55.680]  你明白嗎?
[00:08:55.680 --> 00:08:58.480]  那去到那些人被騙會怎樣呢?
[00:08:58.480 --> 00:09:02.480]  如果從各大報章、新聞媒體報道
[00:09:02.480 --> 00:09:04.640]  你就知道他們被騙之後
[00:09:04.640 --> 00:09:08.000]  就會被打、被監禁
[00:09:08.000 --> 00:09:11.360]  甚至有報道會失去手指
[00:09:11.360 --> 00:09:17.120]  因為你做不到他們期望的事情
[00:09:17.120 --> 00:09:18.880]  嗯
[00:09:18.880 --> 00:09:21.920]  這些假教師
[00:09:21.920 --> 00:09:27.200]  他們騙誘惑人離開了真道
[00:09:27.200 --> 00:09:29.520]  經文第八節提到兩個人
[00:09:29.520 --> 00:09:31.120]  雅尼和楊比
[00:09:31.120 --> 00:09:32.320]  兩個人
[00:09:32.320 --> 00:09:34.160]  舊約聖經沒有提及這兩個人
[00:09:34.160 --> 00:09:39.520]  很多的聖經書會指向這兩個人極有可能
[00:09:39.520 --> 00:09:41.680]  在《出埃及記》的時候
[00:09:41.680 --> 00:09:46.720]  摩西所面對的那些埃及術士
[00:09:46.720 --> 00:09:49.520]  記不記得在《出埃及記》第七章
[00:09:49.520 --> 00:09:53.680]  那時候有些法老術士
[00:09:53.680 --> 00:09:55.920]  把那個像丟在地上
[00:09:55.920 --> 00:09:56.960]  就變成了一條蛇
[00:09:56.960 --> 00:09:58.880]  類似是這樣的
[00:09:58.880 --> 00:10:02.000]  這兩個人是代表著
[00:10:02.000 --> 00:10:05.840]  他們是一批無知的婦女
[00:10:05.840 --> 00:10:09.680]  或者那批人
[00:10:09.680 --> 00:10:13.520]  自誇、好說、殘言、出賣人的人
[00:10:13.520 --> 00:10:16.080]  這批人是做什麼的呢?
[00:10:16.080 --> 00:10:19.920]  原來他們是心地敗壞了
[00:10:19.920 --> 00:10:24.400]  思想已經扭曲了
[00:10:24.400 --> 00:10:25.440]  偏離了真道
[00:10:25.440 --> 00:10:28.640]  並且他們在真道上可廢棄
[00:10:28.640 --> 00:10:32.480]  他們敵黨真道
[00:10:32.480 --> 00:10:33.440]  雖然如此
[00:10:33.440 --> 00:10:36.320]  但他們不會終於得到勝利
[00:10:36.320 --> 00:10:37.920]  因為經文提及到
[00:10:37.920 --> 00:10:42.480]  他們只是暫時的迷惑別人
[00:10:42.480 --> 00:10:45.920]  但最終他們會失敗
[00:10:45.920 --> 00:10:50.160]  在這麼多集中的樂園當中
[00:10:50.160 --> 00:10:54.240]  其中一個就是在緬甸的果敢地區
[00:10:54.240 --> 00:10:56.160]  百家的犯罪集團
[00:10:56.160 --> 00:10:58.720]  這個集團擁有自己的軍隊
[00:10:58.720 --> 00:11:02.560]  並且坐擁了過百億的資產
