
[00:00:00.000 --> 00:00:05.340]  我們很快會講到《約翰福音》第八章1-11這段經文
[00:00:05.340 --> 00:00:09.560]  這段經文放在這裡 其中有什麼理由呢?
[00:00:09.560 --> 00:00:16.320]  可能是回應上文或下文對耶穌的描述
[00:00:16.320 --> 00:00:18.120]  在7章24字說
[00:00:18.120 --> 00:00:23.520]  「不可按外貌定是非 總要按公平斷定是非」
[00:00:23.520 --> 00:00:25.200]  第八章15字說
[00:00:25.200 --> 00:00:28.960]  「你們是以外貌判斷人 我卻不判斷人」
[00:00:28.960 --> 00:00:32.720]  「就是判斷 我的判斷也是真的」
[00:00:32.720 --> 00:00:40.120]  也許這段經文是表達耶穌本身定人罪或判人罪時
[00:00:40.120 --> 00:00:41.680]  那是客觀的事實
[00:00:41.680 --> 00:00:44.680]  也說到耶穌如何對待一些罪人
[00:00:44.680 --> 00:00:47.480]  另一方面可以理解為這段經文
[00:00:47.480 --> 00:00:52.440]  是對照猶太人在罪惡當中
[00:00:52.440 --> 00:00:55.320]  反照耶穌是無罪的身份
[00:00:55.320 --> 00:00:59.000]  祂不僅無罪 還可以赦免人的罪
[00:00:59.000 --> 00:01:01.400]  在第八章的一至二字說
[00:01:01.400 --> 00:01:06.200]  「於是各人都回家去了 耶穌卻往橄欖山去」
[00:01:06.200 --> 00:01:10.080]  「清早又回到殿裡 眾百姓都到他那裡去」
[00:01:10.080 --> 00:01:12.200]  「就坐下教訓他們」
[00:01:12.200 --> 00:01:18.520]  這段經文的背景是耶穌在殿裡教訓眾人
[00:01:18.520 --> 00:01:22.920]  聖殿可以分為外院、內院和聖所
[00:01:22.920 --> 00:01:26.840]  外院是外邦人的地方
[00:01:26.840 --> 00:01:30.400]  內院是猶太人可以到達的地方
[00:01:30.400 --> 00:01:34.680]  外院很多時候是很多民事聚集他們的學生
[00:01:34.680 --> 00:01:37.320]  向他們講解律法的地方
[00:01:37.320 --> 00:01:40.480]  耶穌可以說是使用相同的地方
[00:01:40.480 --> 00:01:42.280]  去作出一些教導
[00:01:42.280 --> 00:01:46.800]  當然耶穌的教導與一群民事的教導很不同
[00:01:46.800 --> 00:01:48.280]  如果在聖經中說
[00:01:48.280 --> 00:01:50.920]  其中一個很不同就是耶穌帶著權柄
[00:01:50.920 --> 00:01:54.960]  去教導一群人去跟從上帝
[00:01:54.960 --> 00:01:57.000]  然後在第三第四節這樣說
[00:01:57.000 --> 00:02:01.400]  「文是和花里塞人帶著一個行淫時被拿的婦人來」
[00:02:01.400 --> 00:02:04.400]  「叫她站在當中 就對耶穌說」
[00:02:04.400 --> 00:02:08.720]  「夫子 這婦人是正行淫之時被拿的」
[00:02:08.720 --> 00:02:13.280]  可以說在耶穌的公開場合裡
[00:02:13.280 --> 00:02:15.320]  也有很多人跟著他
[00:02:15.320 --> 00:02:18.960]  有很多平民百姓 也有很多宗教領袖
[00:02:18.960 --> 00:02:22.120]  有很多不同的人 存在很多不同的動機
[00:02:22.120 --> 00:02:25.760]  在這裡說到民事和花里塞人
[00:02:25.760 --> 00:02:31.760]  民事是當時公認去解釋摩西律法的一個權威
[00:02:31.760 --> 00:02:35.280]  律法在當時猶太人的群體裡面
[00:02:35.280 --> 00:02:37.280]  其實是很重要的一個地位
[00:02:37.280 --> 00:02:41.320]  是指導著他們的思想 指導著他們的生活行為
[00:02:41.320 --> 00:02:45.120]  而誰去負責教導律法呢 就是一群民事
[00:02:45.120 --> 00:02:48.560]  所以民事的角色有很多
