
[00:00:00.000 --> 00:00:04.000]  我們決定這個聖誕節的信息系列
[00:00:04.000 --> 00:00:07.800]  就是以剛才我們曾經讀過的其中一節聖經
[00:00:07.800 --> 00:00:10.300]  以賽亞書第九章第六節
[00:00:10.300 --> 00:00:13.500]  很出名的那一節的聖經
[00:00:13.500 --> 00:00:15.800]  作為我們的主題
[00:00:15.800 --> 00:00:17.200]  是來發揮
[00:00:17.200 --> 00:00:19.000]  以後這幾個星期
[00:00:19.000 --> 00:00:21.000]  都是由這一句的聖經
[00:00:21.000 --> 00:00:23.300]  我們發揮出去的主題
[00:00:23.300 --> 00:00:24.800]  這一節聖經
[00:00:24.800 --> 00:00:27.300]  我相信基督徒都會比較熟悉
[00:00:27.300 --> 00:00:30.600]  是舊約裏面以賽亞
[00:00:30.600 --> 00:00:33.400]  是關於要來的
[00:00:33.400 --> 00:00:36.600]  尼賽亞的語言的描述
[00:00:36.600 --> 00:00:38.600]  尼賽亞語言的描述
[00:00:38.600 --> 00:00:41.100]  好 我們一起打開我們這個
[00:00:41.100 --> 00:00:42.600]  港道的大綱
[00:00:42.600 --> 00:00:44.100]  看到和大家一起
[00:00:44.100 --> 00:00:46.900]  我們一起再讀一次這個第九章第六節
[00:00:46.900 --> 00:00:47.600]  好嗎
[00:00:47.600 --> 00:00:49.100]  好 一起來
[00:00:49.100 --> 00:00:53.100]  因有一鷹孩為我們而生
[00:00:53.100 --> 00:00:56.100]  有一子賜給我們
[00:00:56.100 --> 00:01:00.100]  政權必擔在他的肩頭上
[00:01:00.100 --> 00:01:03.600]  他名稱為奇妙賊士
[00:01:03.600 --> 00:01:05.600]  全能的神
[00:01:05.600 --> 00:01:07.600]  永在的父
[00:01:07.600 --> 00:01:09.600]  和平的君
[00:01:09.600 --> 00:01:14.100]  這一節的經文
[00:01:14.100 --> 00:01:17.100]  當然就是和我們聖誕節
[00:01:17.100 --> 00:01:19.100]  是有關係的
[00:01:19.100 --> 00:01:21.100]  我在這裡講幾句
[00:01:21.100 --> 00:01:23.100]  然後才引入我們今天的主題
[00:01:23.100 --> 00:01:25.100]  今天我們主要是講
[00:01:25.100 --> 00:01:27.100]  奇妙賊士
[00:01:27.100 --> 00:01:32.100]  以賽亞書第九章第六節
[00:01:32.100 --> 00:01:34.100]  它重要的地方
[00:01:34.100 --> 00:01:35.100]  我想和大家
[00:01:35.100 --> 00:01:37.100]  是主要提出兩件事
