
[00:00:00.000 --> 00:00:02.000]  唐慶其實是一個愛人
[00:00:02.000 --> 00:00:03.000]  不僅是一紙
[00:00:03.000 --> 00:00:05.000]  讓我們能夠再一次去思想
[00:00:05.000 --> 00:00:08.000]  為什麼上世要讓我們
[00:00:08.000 --> 00:00:12.000]  在這個地方由宣愛教去穿鑿
[00:00:12.000 --> 00:00:15.500]  為什麼上世要在愛羅莽這個時刻
[00:00:15.500 --> 00:00:17.000]  這個空間裏面
[00:00:17.000 --> 00:00:18.000]  讓我們有一個機會
[00:00:18.000 --> 00:00:19.000]  有一個福袍
[00:00:19.000 --> 00:00:20.000]  在這個學校裏面
[00:00:20.000 --> 00:00:23.000]  去成立宣愛教
[00:00:23.000 --> 00:00:25.000]  今天也想藉著這個機會
[00:00:25.000 --> 00:00:27.000]  去大家思考
[00:00:27.000 --> 00:00:28.000]  去思想
[00:00:28.000 --> 00:00:30.000]  保羅如何去教導
[00:00:30.000 --> 00:00:31.000]  究竟教會存在的目的
[00:00:31.000 --> 00:00:32.000]  是在什麼地方
[00:00:32.000 --> 00:00:34.000]  或者教會在什麼地方
[00:00:34.000 --> 00:00:37.000]  在我當時所讀的一段經文裏面
[00:00:37.000 --> 00:00:40.000]  在《唐一誓》的第三章
[00:00:40.000 --> 00:00:43.000]  第16節
[00:00:43.000 --> 00:00:45.000]  這幾節經文其實是
[00:00:45.000 --> 00:00:47.000]  可以說是整個《唐一誓》裏面
[00:00:47.000 --> 00:00:50.000]  一個很重要的重心的經文
[00:00:50.000 --> 00:00:52.000]  在前面就說到
[00:00:52.000 --> 00:00:54.000]  保羅說了很多的
[00:00:54.000 --> 00:00:55.000]  教會裏面
[00:00:55.000 --> 00:00:56.000]  一些想處理的事情
[00:00:56.000 --> 00:00:58.000]  如何為在上的禱告
[00:00:58.000 --> 00:00:59.000]  為君王的禱告
[00:00:59.000 --> 00:01:01.000]  如何在教會裏面
[00:01:01.000 --> 00:01:04.000]  做一些關係
[00:01:04.000 --> 00:01:06.000]  一些弱勢社群
[00:01:06.000 --> 00:01:08.000]  一些有需要的人
[00:01:08.000 --> 00:01:09.000]  一些有經濟作用
[00:01:09.000 --> 00:01:11.000]  教會如何去演出一些練習
[00:01:11.000 --> 00:01:13.000]  如何去表達這個是怎樣
[00:01:13.000 --> 00:01:14.000]  執拾一個品格是怎樣
[00:01:14.000 --> 00:01:16.000]  教這個品格是怎樣
[00:01:16.000 --> 00:01:18.000]  接著保羅就說
[00:01:18.000 --> 00:01:19.000]  其實為什麼我講這麼多事情
[00:01:19.000 --> 00:01:21.000]  保羅你知道
[00:01:21.000 --> 00:01:24.000]  就是因為我也想來到你當中
[00:01:24.000 --> 00:01:26.000]  去教導你
[00:01:26.000 --> 00:01:29.000]  如何在教會當中處理事情
[00:01:29.000 --> 00:01:31.000]  不過我因為有些事情
[00:01:31.000 --> 00:01:32.000]  遲一些
[00:01:32.000 --> 00:01:35.000]  所以我就首先將這些事情
[00:01:35.000 --> 00:01:37.000]  將如何處理教會的事情
[00:01:37.000 --> 00:01:38.000]  告訴你
[00:01:38.000 --> 00:01:40.000]  好讓我未來支持
[00:01:40.000 --> 00:01:44.000]  你知道如何去做教會的工作
[00:01:44.000 --> 00:01:46.000]  如果這樣說
[00:01:46.000 --> 00:01:49.000]  為什麼保羅要說出這麼多
[00:01:49.000 --> 00:01:51.000]  在教會裏面看的事情
[00:01:51.000 --> 00:01:53.000]  就很重要
