
[00:00:00.000 --> 00:00:03.320]  我們今天會再思想回到聖經所說的能力
[00:00:03.320 --> 00:00:06.560]  是神賜給我們德性惡勢力的能力
[00:00:06.560 --> 00:00:08.200]  我請大家再一起同心祈禱
[00:00:08.200 --> 00:00:09.600]  我們仰望天父
[00:00:09.600 --> 00:00:18.600]  創造天地的主
[00:00:18.600 --> 00:00:21.680]  我們到祢的面前同心敬拜祢
[00:00:21.680 --> 00:00:25.040]  因為祢的確是天地的主宰
[00:00:25.040 --> 00:00:28.280]  主啊 宇宙窮滄屬於祢
[00:00:28.280 --> 00:00:30.760]  海洋深處都屬於祢
[00:00:30.760 --> 00:00:34.080]  我們每一個都是祢所創造的
[00:00:34.080 --> 00:00:35.960]  因此我們到祢的面前來承認
[00:00:35.960 --> 00:00:38.960]  一切能力藏在祢的裡面
[00:00:38.960 --> 00:00:40.680]  主啊 求祢教導我們
[00:00:40.680 --> 00:00:43.320]  更加知道去敬畏祢
[00:00:43.320 --> 00:00:45.280]  去信靠祢
[00:00:45.280 --> 00:00:49.080]  以至我們經歷到在祢裡面的德性
[00:00:49.080 --> 00:00:53.200]  主啊 今天感謝祢給我們機會到祢面前敬拜
[00:00:53.200 --> 00:00:56.520]  我們求親愛的主 祢賜下祢的同在
[00:00:56.520 --> 00:00:59.640]  祢指教我們明白祢的真理
[00:00:59.640 --> 00:01:01.640]  又求主因為祢的聖名
[00:01:01.640 --> 00:01:03.680]  引導我們走易路
[00:01:03.680 --> 00:01:04.760]  因為祢的聖名
[00:01:04.760 --> 00:01:06.800]  祢難了惡者的工作
[00:01:06.800 --> 00:01:11.120]  讓我們今天在祢面前坐在一起蒙恩殿
[00:01:11.120 --> 00:01:12.320]  主啊 我們等候
[00:01:12.320 --> 00:01:14.600]  仰望在祢的面前
[00:01:14.600 --> 00:01:17.160]  祈禱奉耶穌基督 成名求
[00:01:17.160 --> 00:01:19.120]  阿們
[00:01:19.120 --> 00:01:20.880]  我們再看回剛才讀的聖經
[00:01:20.880 --> 00:01:23.240]  二弗所書第六章的經文
[00:01:23.240 --> 00:01:30.240]  在講到之前 我提一提
[00:01:30.240 --> 00:01:35.520]  前天有一個在球場的祈禱聚會
[00:01:35.520 --> 00:01:38.840]  我當時坐的士去到球場
[00:01:38.840 --> 00:01:41.920]  在坐的士的時候和的士司機聊天
[00:01:41.920 --> 00:01:46.800]  司機告訴我 他以前是玩神打的
[00:01:46.800 --> 00:01:52.160]  他說他小時候用刀刺自己的大腿
[00:01:52.160 --> 00:01:53.880]  是沒事的
[00:01:53.880 --> 00:01:57.200]  用燒焊器 大家知道的辣雞
[00:01:57.200 --> 00:01:58.960]  就辣自己的手
[00:01:58.960 --> 00:02:01.520]  但也完全沒有受傷
[00:02:01.520 --> 00:02:05.760]  他甚至和人打架也不會被人傷害
[00:02:05.760 --> 00:02:09.040]  一直跟我說關於神打的事情
[00:02:09.040 --> 00:02:10.560]  當時我想回到一件事情
[00:02:10.560 --> 00:02:11.720]  大家可能都留心
[00:02:11.720 --> 00:02:14.120]  在以前有一張單張講述
[00:02:14.120 --> 00:02:18.200]  很多年前在香港一間警察訓練學校裡面
[00:02:18.200 --> 00:02:21.720]  當時一班學員他們大家一起在做運動
[00:02:21.720 --> 00:02:24.800]  其中一個表演神打
[00:02:24.800 --> 00:02:27.760]  有人用刀來打他 劈他
[00:02:27.760 --> 00:02:29.920]  但竟然只是一些紅色的痕
[00:02:29.920 --> 00:02:32.720]  但沒有受任何傷害
[00:02:32.720 --> 00:02:35.280]  當時其他學員也是赤著上身
[00:02:35.280 --> 00:02:36.960]  其中一個是教徒
[00:02:36.960 --> 00:02:40.360]  他吊著一條十字架的吊墜
[00:02:40.360 --> 00:02:44.800]  當一個表演神打的學員去到他身邊的時候
[00:02:44.800 --> 00:02:46.440]  一見到他的十字架
[00:02:46.440 --> 00:02:48.320]  突然整個人軟了下來
[00:02:48.320 --> 00:02:50.080]  就跌在地上
