
[00:00:00.000 --> 00:00:10.000]  我們會繼續思想聖經啟示錄七教會的信息
[00:00:10.000 --> 00:00:15.000]  大家知道今天我們特別來到的是推亞推拉教會的信息
[00:00:15.000 --> 00:00:18.000]  當大家一路讀這段經文的時候
[00:00:18.000 --> 00:00:22.000]  你會察覺到在過去一路讀七教會
[00:00:22.000 --> 00:00:24.000]  神比七教會的信息
[00:00:24.000 --> 00:00:31.000]  有些人會感覺這是歷史上神比當時教會的信息
[00:00:31.000 --> 00:00:35.000]  所以聽到的時候好像覺得是別人的事情
[00:00:35.000 --> 00:00:37.000]  但當你小心讀的時候
[00:00:37.000 --> 00:00:39.000]  你會知道啟示錄裡面的經文
[00:00:39.000 --> 00:00:43.000]  有很多很重要對今天說的話
[00:00:43.000 --> 00:00:46.000]  當時已經提到七教會
[00:00:46.000 --> 00:00:49.000]  這個七大家知道在啟示錄的文字裡面
[00:00:49.000 --> 00:00:53.000]  是表示一種完全、全部的意思
[00:00:53.000 --> 00:00:58.000]  也都意味著這七家教會所領受的信息
[00:00:58.000 --> 00:01:03.000]  不單只是當時這些地區的歷史上的教會
[00:01:03.000 --> 00:01:08.000]  更加是今天末世的教會的代表
[00:01:08.000 --> 00:01:11.000]  包括了你和我
[00:01:11.000 --> 00:01:14.000]  包括了今天的北宣教
[00:01:14.000 --> 00:01:18.000]  所以所傳達的信息是給我們聽的
[00:01:18.000 --> 00:01:21.000]  當我們去聽的時候你要留意
[00:01:21.000 --> 00:01:28.000]  聖經所說的話不單止給你一些感動或提點
[00:01:28.000 --> 00:01:33.000]  而是給你一些很清楚的警告
[00:01:33.000 --> 00:01:35.000]  因為所說的話
[00:01:35.000 --> 00:01:37.000]  如果你去領受
[00:01:37.000 --> 00:01:39.000]  你會得到神給你的祝福
[00:01:39.000 --> 00:01:41.000]  但如果你去拒絕
[00:01:41.000 --> 00:01:44.000]  是會有後果的
[00:01:44.000 --> 00:01:46.000]  當你讀這段聖經的時候
[00:01:46.000 --> 00:01:48.000]  你會發覺到聖經清楚說
[00:01:48.000 --> 00:01:52.000]  有些教會面對著一些試探衝擊的時候
[00:01:52.000 --> 00:01:55.000]  他們堅持著跟隨主
[00:01:55.000 --> 00:01:56.000]  聖經就說
[00:01:56.000 --> 00:02:00.000]  神會將生命的冠冕賜給他們
[00:02:00.000 --> 00:02:02.000]  聖經又告訴他們知道
[00:02:02.000 --> 00:02:04.000]  當你們跟隨主的時候
[00:02:04.000 --> 00:02:09.000]  你們將來與我一同坐在寶座
[00:02:09.000 --> 00:02:11.000]  分享祂的王權
