
[00:00:00.000 --> 00:00:05.000]  今堂跟大家思想關於一個中面
[00:00:05.000 --> 00:00:07.000]  我想很概略地
[00:00:07.000 --> 00:00:09.600]  當然我們不可能很深入每一點
[00:00:09.600 --> 00:00:15.520]  很概略地和大家看看近代西方系統神學的形勢
[00:00:15.520 --> 00:00:18.320]  和發展到現在的派別
[00:00:18.320 --> 00:00:23.680]  然後我會再收集焦點在福音派那裡
[00:00:23.680 --> 00:00:30.680]  看看福音派在二十世紀開始發展到現在的情況
[00:00:30.680 --> 00:00:32.680]  我們先一起祈禱
[00:00:32.680 --> 00:00:37.680]  真理的主我們求祢今日
[00:00:37.680 --> 00:00:40.680]  藉著祢的聖靈帶領我們進入真理當中
[00:00:40.680 --> 00:00:43.680]  讓我們明白在過去這百多年
[00:00:43.680 --> 00:00:48.680]  很多神學家思想掙扎的問題
[00:00:48.680 --> 00:00:50.680]  讓我們了解他們
[00:00:50.680 --> 00:00:54.680]  讓他們所掙扎的都成為我們今天的指標
[00:00:54.680 --> 00:00:58.680]  求主讓我們有一個悟性、屬理的智慧
[00:00:58.680 --> 00:01:01.680]  去持守你自己的真理
[00:01:01.680 --> 00:01:03.680]  宣揚你自己的真理
[00:01:03.680 --> 00:01:04.680]  見證你自己的真理
[00:01:04.680 --> 00:01:06.680]  奉耶穌的名祈禱
[00:01:06.680 --> 00:01:07.680]  阿們
[00:01:07.680 --> 00:01:14.680]  我們先第一部分看看
[00:01:14.680 --> 00:01:16.680]  所謂近代神學
[00:01:16.680 --> 00:01:19.680]  在西方系統神學的演變和形勢
[00:01:19.680 --> 00:01:23.680]  如果要說什麼是近代神學
[00:01:23.680 --> 00:01:27.680]  我們就要追溯到十九世紀開始說
[00:01:27.680 --> 00:01:32.680]  主要發展我們所關心的當然是二十世紀
[00:01:32.680 --> 00:01:37.680]  圖表裡我們看到十九世紀所發展的形勢
[00:01:37.680 --> 00:01:41.680]  如果要問近代神學的開始點是什麼
[00:01:41.680 --> 00:01:43.680]  或者分水嶺是什麼呢?
[00:01:43.680 --> 00:01:45.680]  康德
[00:01:45.680 --> 00:01:50.680]  十八世紀末至十九世紀初的康德
[00:01:50.680 --> 00:01:53.680]  主要是他所寫的一本書
[00:01:53.680 --> 00:01:56.680]  1781年出版的
[00:01:56.680 --> 00:01:59.680]  《純理性批判》
[00:01:59.680 --> 00:02:02.680]  或者我們叫他first critique
[00:02:02.680 --> 00:02:03.680]  第一批判
[00:02:03.680 --> 00:02:05.680]  critique of pure reason
[00:02:05.680 --> 00:02:06.680]  純理性的批判
[00:02:06.680 --> 00:02:08.680]  在這本書裡
[00:02:08.680 --> 00:02:13.680]  康德嘗試表達一個看法
[00:02:13.680 --> 00:02:15.680]  那看法就是
[00:02:15.680 --> 00:02:17.680]  在十八世紀
[00:02:17.680 --> 00:02:18.680]  重點
[00:02:18.680 --> 00:02:20.680]  瀰漫著理性
[00:02:20.680 --> 00:02:23.680]  理性是人類一切
[00:02:23.680 --> 00:02:26.680]  尋索真理的工具
[00:02:26.680 --> 00:02:29.680]  如果宗教
[00:02:29.680 --> 00:02:30.680]  包括基督教
[00:02:30.680 --> 00:02:32.680]  當年西方來說只有基督教
[00:02:32.680 --> 00:02:34.680]  如果西方的基督教
[00:02:34.680 --> 00:02:36.680]  是真理的最高階段的話
[00:02:36.680 --> 00:02:42.680]  理性也是最重要的了解工具
[00:02:42.680 --> 00:02:45.680]  當時瀰漫著的氣氛就是
[00:02:45.680 --> 00:02:47.680]  在理性的角度盡量推到極盡
[00:02:47.680 --> 00:02:49.680]  就是基督教的真理
[00:02:49.680 --> 00:02:51.680]  當時用盡理性
[00:02:51.680 --> 00:02:52.680]  去描述基督教
[00:02:52.680 --> 00:02:54.680]  去整理基督教的資料
[00:02:54.680 --> 00:02:56.680]  神的存在
[00:02:56.680 --> 00:02:58.680]  神的屬性
[00:02:58.680 --> 00:03:00.680]  和人之間的關係
[00:03:00.680 --> 00:03:02.680]  全部通過理性的方法
[00:03:02.680 --> 00:03:03.680]  整理得很漂亮
[00:03:03.680 --> 00:03:06.680]  康德的《純理性批判》
[00:03:06.680 --> 00:03:08.680]  就像炸彈一樣
[00:03:08.680 --> 00:03:10.680]  當然他不是針對基督教
[00:03:10.680 --> 00:03:12.680]  而是針對當時整個理性
[00:03:12.680 --> 00:03:14.680]  做主角的文化
[00:03:14.680 --> 00:03:16.680]  提出一個很強烈的批判
[00:03:16.680 --> 00:03:18.680]  他認為理性不是不重要
[00:03:18.680 --> 00:03:19.680]  不過
[00:03:19.680 --> 00:03:22.680]  他認為理性不是沒有限制的
[00:03:22.680 --> 00:03:24.680]  因為我們能夠用理性
[00:03:24.680 --> 00:03:25.680]  是用我們的思考頭腦
[00:03:25.680 --> 00:03:27.680]  但我們思考頭腦的理性
[00:03:27.680 --> 00:03:28.680]  只不過是一種工具
[00:03:28.680 --> 00:03:30.680]  工具還要用嗎?
[00:03:30.680 --> 00:03:31.680]  材料才能形成
[00:03:31.680 --> 00:03:33.680]  他所得到的結果
[00:03:33.680 --> 00:03:34.680]  什麼是材料呢?
[00:03:34.680 --> 00:03:35.680]  當然材料就是我們
[00:03:35.680 --> 00:03:37.680]  手、腳、眼、耳、口、鼻
[00:03:37.680 --> 00:03:39.680]  感官所接觸到的
[00:03:39.680 --> 00:03:41.680]  經驗就是材料
[00:03:41.680 --> 00:03:43.680]  理性將我們感官
[00:03:43.680 --> 00:03:45.680]  所得到的材料、素材
[00:03:45.680 --> 00:03:47.680]  來將它整理成為概念
[00:03:47.680 --> 00:03:51.680]  這樣就得到一些真理的思考
[00:03:51.680 --> 00:03:53.680]  所以在這個《純理性批判》裏
[00:03:53.680 --> 00:03:55.680]  他就劃清了一個很清楚的界線
[00:03:55.680 --> 00:03:57.680]  理性沒有否認
[00:03:57.680 --> 00:03:59.680]  是能夠獲取大部分
[00:03:59.680 --> 00:04:01.680]  重要的真理的手段
[00:04:01.680 --> 00:04:03.680]  但理性有一個限制
[00:04:03.680 --> 00:04:05.680]  就是理性只能夠理解到
[00:04:05.680 --> 00:04:09.680]  身體或感覺所能夠
[00:04:09.680 --> 00:04:11.680]  給予他的資料
[00:04:11.680 --> 00:04:12.680]  才能夠是這樣用
[00:04:12.680 --> 00:04:13.680]  換句話來說
[00:04:13.680 --> 00:04:15.680]  很重要的結論就是說
[00:04:15.680 --> 00:04:17.680]  如果那些思想的範圍
