
[00:00:00.000 --> 00:00:04.500]  歡迎大家參加這次的培靈會
[00:00:04.500 --> 00:00:07.500]  歡迎大家來參加這次的培靈會
[00:00:07.500 --> 00:00:12.500]  顧名思義我們的聚會不是單單講理論
[00:00:12.500 --> 00:00:15.500]  顧名思義我們的聚會不是單講理論
[00:00:15.500 --> 00:00:19.000]  不過培靈和理論是分不開的
[00:00:19.000 --> 00:00:21.500]  不過培靈和理論是分不開的
[00:00:21.500 --> 00:00:23.500]  我們的理論是什麼?
[00:00:23.500 --> 00:00:25.000]  我們的理論是什麼?
[00:00:25.000 --> 00:00:26.500]  是神的道
[00:00:26.500 --> 00:00:28.000]  是神的道
[00:00:28.000 --> 00:00:31.000]  神的道是道理
[00:00:31.000 --> 00:00:33.000]  神的道是道理
[00:00:33.000 --> 00:00:35.500]  我們的理論就是這個道理
[00:00:35.500 --> 00:00:38.000]  我們的理論就是這個道理
[00:00:38.000 --> 00:00:41.000]  培靈有兩個基本的因素
[00:00:41.000 --> 00:00:43.500]  培靈有兩個基本的因素
[00:00:43.500 --> 00:00:45.500]  第一是神的道
[00:00:45.500 --> 00:00:47.000]  第一是神的道
[00:00:47.000 --> 00:00:49.500]  第二是我們的生活
[00:00:49.500 --> 00:00:51.500]  第二是我們的生活
[00:00:51.500 --> 00:00:55.500]  把神的道應用在我們的生活裡面
[00:00:55.500 --> 00:00:57.000]  這就是培靈
[00:00:57.000 --> 00:00:59.500]  把神的道應用在我們的生活裡面
[00:00:59.500 --> 00:01:00.500]  這就是培靈
[00:01:00.500 --> 00:01:03.500]  所以這三個晚上我們要做的是什麼?
[00:01:03.500 --> 00:01:05.500]  所以這三個晚上我們要做什麼?
[00:01:05.500 --> 00:01:09.500]  就是面對時代
[00:01:09.500 --> 00:01:12.500]  根據神的話
[00:01:12.500 --> 00:01:17.500]  來預備我們的心智
[00:01:17.500 --> 00:01:22.500]  我們的時代是一個很特別的時代
[00:01:22.500 --> 00:01:25.000]  我們的時代是一個很特別的時代
[00:01:25.000 --> 00:01:27.500]  這個時代的意義重大
[00:01:27.500 --> 00:01:29.500]  這個時代的意義重大
[00:01:29.500 --> 00:01:34.500]  我們和這個時代的關係是非常重要的一件事
[00:01:34.500 --> 00:01:38.000]  我們和這個時代的關係是非常重要的一件事
[00:01:38.000 --> 00:01:43.500]  平常我們多講到基督徒與教會的關係
[00:01:43.500 --> 00:01:47.000]  平常我們多講到基督徒與教會的關係
[00:01:47.000 --> 00:01:50.500]  少講到基督徒與時代的關係
[00:01:50.500 --> 00:01:53.500]  比較少講到基督徒與時代的關係
[00:01:53.500 --> 00:01:55.500]  這三天的晚上
[00:01:55.500 --> 00:01:57.000]  這三天的晚上
[00:01:57.000 --> 00:02:00.000]  我們要集中我們的注意
