
[00:00:00.000 --> 00:00:04.160]  剛才我們讀一節聖經,很寶貴的舊約
[00:00:04.160 --> 00:00:07.320]  關於尼塞亞黎的預言
[00:00:07.320 --> 00:00:11.200]  就是我們今天所要敬拜所慶賀的
[00:00:11.200 --> 00:00:14.760]  誕生的耶穌基督所說的話裡面
[00:00:14.760 --> 00:00:19.520]  展開我們今年特別要默想的聖誕節課題
[00:00:19.520 --> 00:00:22.720]  這節聖經我們也印在情趣單
[00:00:22.720 --> 00:00:26.120]  我們一起讀,這麼寶貴的經文
[00:00:26.120 --> 00:00:27.720]  我們值得再讀一次
[00:00:27.720 --> 00:00:31.520]  尼塞亞書第九章,我們讀第六節
[00:00:31.520 --> 00:00:35.600]  因有一英孩為我們而生
[00:00:35.600 --> 00:00:38.000]  有一子賜給我們
[00:00:38.000 --> 00:00:41.720]  政權必擔在他的肩頭上
[00:00:41.720 --> 00:00:44.920]  他名稱為奇妙賊士
[00:00:44.920 --> 00:00:49.400]  全能的神,永在的父,和平的君
[00:00:49.400 --> 00:00:53.600]  沒錯,正如我們前一次所提到的
[00:00:53.600 --> 00:00:56.920]  在預言裡面
[00:00:56.920 --> 00:00:59.720]  他有四個名稱
[00:00:59.720 --> 00:01:02.800]  提到在耶穌基督生命當中
[00:01:02.800 --> 00:01:05.800]  會讓我們看到的四個禮物
[00:01:05.800 --> 00:01:07.120]  四方面的禮物
[00:01:07.120 --> 00:01:08.920]  為什麼我們說是禮物呢?
[00:01:08.920 --> 00:01:12.720]  因為這是為我們而生賜給我們
[00:01:12.720 --> 00:01:16.320]  這是神給你和我人類的禮物
[00:01:16.320 --> 00:01:19.200]  這是很大的禮物
[00:01:19.200 --> 00:01:20.600]  神自己的禮物
[00:01:20.600 --> 00:01:24.800]  比較我們所買的任何禮物都是寶貴偉大
[00:01:24.800 --> 00:01:26.200]  送給你
[00:01:26.200 --> 00:01:28.600]  但不只是送給你,是帶回家
[00:01:28.600 --> 00:01:32.000]  神自己兒子生命的禮物
[00:01:32.000 --> 00:01:34.000]  要帶來有一個目的
[00:01:34.000 --> 00:01:37.800]  因為政權擔在他的肩頭上
[00:01:37.800 --> 00:01:40.480]  他要治理這個國
[00:01:40.480 --> 00:01:43.680]  當然耶穌來到尼塞亞
[00:01:43.680 --> 00:01:45.600]  改變了猶太人的歷史
[00:01:45.600 --> 00:01:47.600]  甚至改變人類的歷史
[00:01:47.600 --> 00:01:49.400]  但這次我想和你說
[00:01:49.400 --> 00:01:53.000]  他也要改變你的歷史
[00:01:53.000 --> 00:01:55.800]  神的寶貴禮物就是耶穌基督
[00:01:55.800 --> 00:01:59.000]  在聖誕節他會改變你的生命
[00:01:59.000 --> 00:02:01.600]  改變你人生的歷史
[00:02:01.600 --> 00:02:03.600]  你以前所度過的日子
[00:02:03.600 --> 00:02:04.600]  是如何?
[00:02:04.600 --> 00:02:06.400]  你自己知道有高有低
[00:02:06.400 --> 00:02:07.600]  有成有敗
[00:02:07.600 --> 00:02:08.600]  有得有失
[00:02:08.600 --> 00:02:12.000]  但是究竟耶穌基督在你的生命當中
[00:02:12.000 --> 00:02:15.800]  要帶給你一些什麼樣的生命改變
[00:02:15.800 --> 00:02:18.000]  今天我們透過其中一個
[00:02:18.000 --> 00:02:26.200]  耶穌被稱為永在的父的角度和方向
[00:02:26.200 --> 00:02:28.800]  來看看在聖誕節當中
[00:02:28.800 --> 00:02:31.600]  作為永在的父的耶穌基督
[00:02:31.600 --> 00:02:34.600]  如何改變你的生命
