
[00:00:00.000 --> 00:00:07.000]  我們感謝天上的主
[00:00:07.000 --> 00:00:09.000]  我們讚美祢
[00:00:09.000 --> 00:00:12.000]  因為祢不單請救一個人歸向祢
[00:00:12.000 --> 00:00:16.000]  祢請救一群的兒女歸向祢
[00:00:16.000 --> 00:00:21.000]  主祢將我們從黑暗裏面救出來
[00:00:21.000 --> 00:00:24.000]  祢讓我們成為弟兄姊妹
[00:00:24.000 --> 00:00:27.000]  主我們雖然有怨恙
[00:00:27.000 --> 00:00:30.000]  但主祢自己聖靈在我們中間工作
[00:00:30.000 --> 00:00:34.000]  讓我們可以彼此同心彼此愛護
[00:00:34.000 --> 00:00:37.000]  最何等奇妙的事情
[00:00:37.000 --> 00:00:40.000]  主我們如今在祢面前同心祈禱
[00:00:40.000 --> 00:00:46.000]  主我們很願意和弟兄姊妹一同將敬拜獻給祢
[00:00:46.000 --> 00:00:50.000]  因為祢喜悅我們同心敬拜
[00:00:50.000 --> 00:00:52.000]  主我們也在祢面前仰望
[00:00:52.000 --> 00:00:55.000]  求主自己賜下你聖經的恩賢
[00:00:55.000 --> 00:00:58.000]  讓我們更加明白祢的真理
[00:00:58.000 --> 00:01:00.000]  也靠著祢的恩
[00:01:00.000 --> 00:01:03.000]  我們每一天行在真理當中
[00:01:03.000 --> 00:01:06.000]  如今求主的聖靈親切的動功
[00:01:06.000 --> 00:01:09.000]  祢遮蓋我們很多很多的不足
[00:01:09.000 --> 00:01:11.000]  除去很多的障礙
[00:01:11.000 --> 00:01:16.000]  讓我們每一個的心靈聽到祢自己的恩賢
[00:01:16.000 --> 00:01:20.000]  我們仰望祈禱奉主耶穌成名祈求
[00:01:20.000 --> 00:01:22.000]  阿們
[00:01:22.000 --> 00:01:25.000]  大家知道我們這段時間會思想
[00:01:25.000 --> 00:01:29.000]  四個很重要的宣導會的屬靈的方向
[00:01:29.000 --> 00:01:33.000]  今天會說到的是渴想聖結
[00:01:33.000 --> 00:01:35.000]  渴想聖結
[00:01:35.000 --> 00:01:38.000]  當我想到聖結的時候
[00:01:38.000 --> 00:01:43.000]  我就很自然想起平時自己看很多新聞的時候的感受
[00:01:43.000 --> 00:01:48.000]  我想大家都會經常注意在香港或者外地很多不同的消息
[00:01:48.000 --> 00:01:53.000]  很多次當我來到看新聞的時候有兩個很明顯的感覺
[00:01:53.000 --> 00:01:57.000]  第一就是這個世界是敗壞的
[00:01:57.000 --> 00:02:00.000]  有太多的事情叫人傷痛
[00:02:00.000 --> 00:02:05.000]  這些你想不到的事情竟然可以這樣發生
[00:02:05.000 --> 00:02:10.000]  第二個感受就是罪惡是很兇殘的
[00:02:10.000 --> 00:02:16.000]  你不會想到一個兒子怎樣去殘殺自己的父親
[00:02:16.000 --> 00:02:24.000]  你不會想到一個人為了錢竟然可以這樣去偷工減料
[00:02:24.000 --> 00:02:29.000]  當地震來的時候第一時間全部就倒塌
[00:02:29.000 --> 00:02:32.000]  更多人受傷亡
[00:02:32.000 --> 00:02:35.000]  當你留心很多新聞的時候你就會察覺到
[00:02:35.000 --> 00:02:39.000]  在這個世界裡面很多很多人內心那種仇恨
[00:02:39.000 --> 00:02:41.000]  那種詭詐
[00:02:41.000 --> 00:02:43.000]  那種貪婪
[00:02:43.000 --> 00:02:46.000]  是帶給人很大的傷害
[00:02:46.000 --> 00:02:48.000]  也都包括自己
[00:02:48.000 --> 00:02:51.000]  很多時候是會傷害自己
[00:02:51.000 --> 00:02:54.000]  而這種傷害不單止在自己身上
[00:02:54.000 --> 00:02:58.000]  而且會延伸一代一代下去
[00:02:58.000 --> 00:03:00.000]  在這些情況裡面會體會到
[00:03:00.000 --> 00:03:04.000]  聖經所說到神的震怒
[00:03:04.000 --> 00:03:08.000]  在很多小戰士書裡面一開始就說到
[00:03:08.000 --> 00:03:13.000]  神的震怒會淋到那些不義的人身上
[00:03:13.000 --> 00:03:17.000]  有些時候會覺得神好像很殘忍
[00:03:17.000 --> 00:03:21.000]  但就會想到如果一位上帝他面對罪
[00:03:21.000 --> 00:03:23.000]  以當作沒事的
[00:03:23.000 --> 00:03:27.000]  或者以有罪的為無罪的
