
[00:00:00.000 --> 00:00:01.680]  和平是甚麼意思?
[00:00:01.680 --> 00:00:03.600]  在我和神之間
[00:00:03.600 --> 00:00:06.120]  神不會再計算我的數
[00:00:06.120 --> 00:00:08.480]  由舊約到新約都是這樣
[00:00:08.480 --> 00:00:12.400]  即是我可以坦然無懼來到神的面前
[00:00:12.400 --> 00:00:14.200]  舊約的時候是怎樣?
[00:00:14.200 --> 00:00:16.160]  有些規矩,你守法律法
[00:00:16.160 --> 00:00:17.960]  你憲制就沒事
[00:00:17.960 --> 00:00:19.960]  但是否真的可以沒事?
[00:00:19.960 --> 00:00:22.640]  當然不是,如果可以就不用有新約
[00:00:22.640 --> 00:00:24.320]  不用耶穌來救我們
[00:00:24.320 --> 00:00:27.120]  所以我們可以很坦誠地問自己
[00:00:27.120 --> 00:00:28.640]  我在神的面前
[00:00:28.640 --> 00:00:32.120]  我能否覺得
[00:00:32.120 --> 00:00:34.440]  我雖然沒有錯,好像保羅所說
[00:00:34.440 --> 00:00:35.640]  我雖然不是完全
[00:00:35.640 --> 00:00:38.440]  但我總覺得我在上帝面前
[00:00:38.440 --> 00:00:39.880]  能夠坦然無懼
[00:00:39.880 --> 00:00:42.040]  這種心是很重要的
[00:00:42.040 --> 00:00:43.680]  怎樣才可以有?
[00:00:43.680 --> 00:00:48.960]  你要每一天清理內心不應該有的事
[00:00:48.960 --> 00:00:50.720]  向神祈禱
[00:00:50.720 --> 00:00:52.200]  向神認罪
[00:00:52.200 --> 00:00:54.560]  這一點我們很少做
[00:00:54.560 --> 00:00:57.080]  首先你要做這一點
[00:00:57.080 --> 00:00:58.760]  在神面前有敬畏的心
[00:00:58.760 --> 00:01:00.080]  你謙卑認罪
[00:01:00.080 --> 00:01:06.880]  這樣接下來我們的良知就不會被蒙蔽
[00:01:06.880 --> 00:01:09.120]  這是第二個
[00:01:09.120 --> 00:01:14.160]  所以你看到約伯認罪的範圍很廣
[00:01:14.160 --> 00:01:17.240]  他還有一種罪是你都沒有想過
[00:01:17.240 --> 00:01:19.840]  他為他的子女認罪
[00:01:19.840 --> 00:01:23.360]  那些叫做忍而未現的罪
[00:01:23.360 --> 00:01:24.720]  你是不是很高層次?
[00:01:24.720 --> 00:01:26.120]  我都還沒做
[00:01:26.120 --> 00:01:28.120]  我都要認
[00:01:28.120 --> 00:01:29.200]  我的子女還沒做
[00:01:29.200 --> 00:01:31.040]  我都代他認
[00:01:31.040 --> 00:01:33.080]  你明不明白罪的意識
[00:01:33.080 --> 00:01:37.000]  對這些猶太人來說是很深的
[00:01:37.000 --> 00:01:39.880]  他不敢在神的面前驕傲
[00:01:39.880 --> 00:01:40.400]  好了
[00:01:40.400 --> 00:01:43.400]  教育聖經裏面有很多先知的記載
[00:01:43.400 --> 00:01:47.880]  就說神差遣他們去傳遞上帝的訊息
[00:01:47.880 --> 00:01:51.080]  提醒、督責、審判
[00:01:51.080 --> 00:01:52.760]  但是你要知道
[00:01:52.760 --> 00:01:53.880]  一直以來
[00:01:53.880 --> 00:01:55.120]  以色列人是沒有聽的
[00:01:55.120 --> 00:01:57.040]  你去看《史圖行傳》
[00:01:57.040 --> 00:01:58.760]  那個詩題版還要說到
[00:01:58.760 --> 00:02:02.520]  就說那些猶太人殺害歷代的先知
[00:02:02.520 --> 00:02:03.840]  原來你想想
[00:02:03.840 --> 00:02:06.680]  以色列的政治和宗教領袖
[00:02:06.680 --> 00:02:09.480]  他們本來應該是最明白神的心意
[00:02:09.480 --> 00:02:11.880]  但是竟然他們心裏剛硬
[00:02:11.880 --> 00:02:15.640]  是沒有接受到歷代先知的提醒
[00:02:15.640 --> 00:02:18.240]  所以當我一直看經文的時候
[00:02:18.240 --> 00:02:19.640]  我覺得作為目者
[00:02:19.640 --> 00:02:21.200]  在今個時代
[00:02:21.200 --> 00:02:22.680]  其實是有一個責任
[00:02:22.680 --> 00:02:24.720]  有先知的責任
[00:02:24.720 --> 00:02:25.640]  可能你問我
[00:02:25.640 --> 00:02:27.480]  你是否很喜歡做英雄
[00:02:27.480 --> 00:02:28.960]  很喜歡說話
[00:02:28.960 --> 00:02:30.840]  我坦白告訴大家
[00:02:30.840 --> 00:02:32.440]  如果我不是傳道人
[00:02:32.440 --> 00:02:34.720]  如果我不是覺得神呼召我
[00:02:34.720 --> 00:02:37.880]  你猜我會選擇甚麼
[00:02:37.880 --> 00:02:41.800]  我當然選擇有空去旅行
[00:02:41.800 --> 00:02:44.120]  有空就快快樂樂
[00:02:44.120 --> 00:02:48.720]  你猜這樣做是很好嗎
[00:02:48.720 --> 00:02:52.040]  因為當我們覺得神有感召的時候
[00:02:52.040 --> 00:02:54.720]  我們就會有一種內在的出迫
[00:02:54.720 --> 00:02:56.720]  有些事情你不可以不說
