
[00:00:00.000 --> 00:00:03.600]  大家記得我們這個季度有一個主題
[00:00:03.600 --> 00:00:05.760]  不知道大家還有沒有印象
[00:00:05.760 --> 00:00:09.840]  我們整個季度是在說侍奉者的生命
[00:00:09.840 --> 00:00:11.440]  當我們說到侍奉者的時候
[00:00:11.440 --> 00:00:15.200]  不單單是在說某一些有崗位的弟兄姊妹
[00:00:15.200 --> 00:00:17.400]  而是在說每一位的教徒
[00:00:17.400 --> 00:00:20.320]  當你的生命是屬於神的時候
[00:00:20.320 --> 00:00:23.440]  我們人生的方向也是向著神
[00:00:23.440 --> 00:00:25.880]  我們的工作、我們的生活
[00:00:25.880 --> 00:00:28.560]  都是一種對神的侍奉
[00:00:28.560 --> 00:00:32.440]  所以每一個教徒都可以稱為侍奉者
[00:00:32.440 --> 00:00:37.480]  但最重要的是侍奉者的生命是神所喜悅的
[00:00:37.480 --> 00:00:40.960]  因此我們所做的工作 神都會悅拿
[00:00:40.960 --> 00:00:43.560]  所以在這個季度透過《林多後書》
[00:00:43.560 --> 00:00:47.960]  我們常常思想侍奉者的生命是怎樣的
[00:00:47.960 --> 00:00:49.960]  而今天我們特別思想的就是
[00:00:49.960 --> 00:00:53.800]  侍奉者是不憑血氣侍奉
[00:00:53.800 --> 00:00:57.600]  不是憑著人自己的血氣的力量
[00:00:57.600 --> 00:00:59.520]  人的才智策略
[00:00:59.520 --> 00:01:03.000]  而是神自己依靠他來服侍
[00:01:03.000 --> 00:01:05.080]  我們因此帶著這樣的心
[00:01:05.080 --> 00:01:07.360]  一起來看聖經的經文
[00:01:07.360 --> 00:01:08.160]  大家一起再見
[00:01:08.160 --> 00:01:15.200]  分享聖經的《林多後書》第十章
[00:01:15.200 --> 00:01:16.720]  我想首先分享一件事情
[00:01:16.720 --> 00:01:20.680]  就是我剛剛在加拿大回來香港幾天
[00:01:20.680 --> 00:01:23.800]  在當地有機會和一些教務的領袖
[00:01:23.800 --> 00:01:26.520]  來分享一些教會的事情
[00:01:26.520 --> 00:01:28.520]  大家一起討論到一個課題
[00:01:28.520 --> 00:01:31.920]  就是關於領袖的試探
[00:01:31.920 --> 00:01:34.160]  在當中討論的時候就會體會到
[00:01:34.160 --> 00:01:36.760]  當領袖面對一些挑戰
[00:01:36.760 --> 00:01:41.440]  或者一些權勢對他們的壓力的時候
[00:01:41.440 --> 00:01:43.880]  在當中會有一種自然的反應
[00:01:43.880 --> 00:01:46.600]  就很希望能夠透過不同的方式
[00:01:46.600 --> 00:01:50.800]  甚至有時候不經意用了一些所謂政治的手腕
[00:01:50.800 --> 00:01:53.080]  能夠找到其他的領袖
[00:01:53.080 --> 00:01:56.200]  一起聯成一種新的力量
[00:01:56.200 --> 00:01:59.320]  去抗衡那些權勢
[00:01:59.320 --> 00:02:01.200]  因此在不截的當中
[00:02:01.200 --> 00:02:04.160]  去依靠自己的勢力
[00:02:04.160 --> 00:02:06.960]  而不是依靠聖靈
[00:02:06.960 --> 00:02:09.320]  請提醒不是依靠勢力
[00:02:09.320 --> 00:02:10.760]  不是依靠才能
[00:02:10.760 --> 00:02:14.080]  那是依靠我的靈方能成事
[00:02:14.080 --> 00:02:15.200]  在那些情況之下
[00:02:15.200 --> 00:02:19.000]  就完全沒有按照這個原則去做
[00:02:19.000 --> 00:02:21.560]  沒有暫時面對著一些惡人
[00:02:21.560 --> 00:02:24.040]  一些不公正的事情
[00:02:24.040 --> 00:02:28.600]  但是何時當領袖嘗試用惡去糾正惡
[00:02:28.600 --> 00:02:32.000]  而自己就變成了惡
[00:02:32.000 --> 00:02:34.440]  大家在探討這個過程的時候
[00:02:34.440 --> 00:02:36.280]  都有一個感受就是
