
[00:00:00.000 --> 00:00:03.220]  你藉著聖靈將你的心意
[00:00:03.220 --> 00:00:06.220]  將你的奇妙的救恩的計畫
[00:00:06.220 --> 00:00:09.920]  已經向我們清清楚楚地顯明出來
[00:00:09.920 --> 00:00:13.120]  不但過去的,連將來你要做的
[00:00:13.120 --> 00:00:15.120]  也向我們顯明了
[00:00:15.120 --> 00:00:17.920]  我們看見在舊約中、新約中
[00:00:17.920 --> 00:00:19.920]  各樣的預言
[00:00:19.920 --> 00:00:22.920]  如何的、意義的、奇妙的應驗
[00:00:22.920 --> 00:00:24.920]  我們就深深知道
[00:00:24.920 --> 00:00:27.420]  這一切都是出於你
[00:00:27.420 --> 00:00:32.220]  所以我們在你的裡面真是有許多的保證
[00:00:32.220 --> 00:00:34.220]  我們被許多的見證人
[00:00:34.220 --> 00:00:36.220]  好像雲彩一樣的圍住
[00:00:36.220 --> 00:00:38.220]  不但人是這樣
[00:00:38.220 --> 00:00:43.220]  你的話語更是滿了各樣各樣的證據
[00:00:43.220 --> 00:00:48.220]  教我們面對你的話語的時候無可推諉
[00:00:48.220 --> 00:00:51.220]  所以我們願意在你的話語中近身
[00:00:51.220 --> 00:00:54.220]  求你常常地教導我們
[00:00:54.220 --> 00:00:58.220]  更豐富地、更完全地、更深入地認識你的話
[00:00:58.220 --> 00:01:02.220]  讓我們更完全地了解你的心意和尊敬
[00:01:02.220 --> 00:01:05.220]  求主這個時候幫助你的僕人
[00:01:05.220 --> 00:01:07.220]  將你的話語講得清楚
[00:01:07.220 --> 00:01:10.220]  也看我們每一個人的心竅
[00:01:10.220 --> 00:01:12.220]  讓我們看出你話語中的奇妙
[00:01:12.220 --> 00:01:16.220]  我們這樣求謝奉主耶穌基督的聖名
[00:01:16.220 --> 00:01:17.220]  阿們
[00:01:17.220 --> 00:01:23.220]  今天我們要把六到十都要看完
[00:01:23.220 --> 00:01:27.220]  所以稍微要趕一趕
[00:01:27.220 --> 00:01:30.220]  昨天我們看了
[00:01:30.220 --> 00:01:37.220]  《聖經》預言的象徵性和字面性融合在一起
[00:01:37.220 --> 00:01:43.220]  The Symbolical Literal Nature of Biblical Prophecy
[00:01:43.220 --> 00:01:46.220]  今天我們看第六點
[00:01:46.220 --> 00:01:50.220]  《聖經》預言的雙質性
[00:01:50.220 --> 00:01:55.220]  Double Reference of Biblical Prophecy
[00:01:55.220 --> 00:01:59.220]  《聖經》中有些預言具有雙質性
[00:01:59.220 --> 00:02:03.220]  就是一方面是指當時的事物而言
[00:02:03.220 --> 00:02:04.220]  而同時呢
[00:02:04.220 --> 00:02:06.220]  另外一方面呢
[00:02:06.220 --> 00:02:09.220]  在聖靈的奇妙安排之下
[00:02:09.220 --> 00:02:13.220]  指向未來要發生的事
[00:02:13.220 --> 00:02:14.220]  第一個例子
[00:02:14.220 --> 00:02:17.220]  詩篇69篇第九節
[00:02:17.220 --> 00:02:20.220]  大衛在這裡說
[00:02:20.220 --> 00:02:25.220]  為了神的殿心中焦急如同火燒
[00:02:25.220 --> 00:02:32.220]  這是大衛自己因為愛神而關心神的殿的表現
[00:02:32.220 --> 00:02:33.220]  他的心情
[00:02:33.220 --> 00:02:35.220]  他的感受
[00:02:35.220 --> 00:02:36.220]  同時呢
[00:02:36.220 --> 00:02:42.220]  又是預表主耶穌對聖殿的關懷
[00:02:42.220 --> 00:02:45.220]  所以《約翰福音》二章十七節
[00:02:45.220 --> 00:02:49.220]  記載主耶穌接近聖殿的時候
[00:02:49.220 --> 00:02:51.220]  就用了這句話
[00:02:51.220 --> 00:02:55.220]  門徒想起來就約這樣說
[00:02:55.220 --> 00:02:57.220]  而應驗在耶穌的身上
[00:02:57.220 --> 00:03:01.220]  他們就更加認識主了
[00:03:01.220 --> 00:03:03.220]  第二個例子呢
[00:03:03.220 --> 00:03:05.220]  是非常的重要
[00:03:05.220 --> 00:03:10.220]  因為這個和新派的解釋有關
[00:03:10.220 --> 00:03:13.220]  在新派的神學院裡頭
[00:03:13.220 --> 00:03:16.220]  一直到今天
[00:03:16.220 --> 00:03:19.220]  還是有不少的教授
[00:03:19.220 --> 00:03:21.220]  是這樣的解釋
[00:03:21.220 --> 00:03:23.220]  他們說
[00:03:23.220 --> 00:03:25.220]  《伊賽亞書》中的僕人
[00:03:25.220 --> 00:03:30.220]  包括了《伊賽亞書》五十三章的那個受苦的僕人在內
[00:03:30.220 --> 00:03:34.220]  都是指的以色列人整體而言
[00:03:34.220 --> 00:03:36.220]  不是個人性的預言
[00:03:36.220 --> 00:03:40.220]  乃是團體性的預言
[00:03:40.220 --> 00:03:42.220]  是指的以色列人說的
[00:03:42.220 --> 00:03:44.220]  意思就是說
[00:03:44.220 --> 00:03:49.220]  在神的救恩的計畫裡面
[00:03:49.220 --> 00:03:51.220]  在神將他的心意
[00:03:51.220 --> 00:03:55.220]  慈愛 公義 真理
[00:03:55.220 --> 00:03:57.220]  向世界的人
[00:03:57.220 --> 00:04:00.220]  啟示的過程裡面
[00:04:00.220 --> 00:04:05.220]  用了以色列人做實務教材
[00:04:05.220 --> 00:04:08.220]  做object lesson
[00:04:08.220 --> 00:04:10.220]  所以以色列人呢
[00:04:10.220 --> 00:04:13.220]  要付代價
[00:04:13.220 --> 00:04:16.220]  神藉著以色列人的經驗
[00:04:16.220 --> 00:04:18.220]  他們的國家的歷史
[00:04:18.220 --> 00:04:20.220]  他們的遭遇
[00:04:20.220 --> 00:04:22.220]  他們的制度等等
[00:04:22.220 --> 00:04:24.220]  來彰顯他的公義
[00:04:24.220 --> 00:04:25.220]  他的慈愛
[00:04:25.220 --> 00:04:26.220]  他的真理
