
[00:00:00.000 --> 00:00:03.480]  現在我和大家按照過去兩個月
[00:00:03.480 --> 00:00:06.240]  其實兩個月本來想說聖靈就說完了
[00:00:06.240 --> 00:00:09.240]  誰知上一次就說不完
[00:00:09.240 --> 00:00:13.080]  所以今天也將它說完
[00:00:13.080 --> 00:00:18.040]  就是關於聖靈第三方面很重要的真理
[00:00:18.040 --> 00:00:21.040]  我也不再重複以往所提過的
[00:00:21.040 --> 00:00:23.040]  我們在約翰福音裡面看到
[00:00:23.040 --> 00:00:25.200]  聖靈是我們的保衛師
[00:00:25.200 --> 00:00:26.680]  是我們的Counselor
[00:00:26.680 --> 00:00:30.560]  陪著我們24小時在我們裡面天地的主宰
[00:00:30.560 --> 00:00:32.200]  帶著我們的人生
[00:00:32.200 --> 00:00:34.680]  安慰我們 支持我們 與我們同行
[00:00:34.680 --> 00:00:37.600]  這是一個莫大的喜訊
[00:00:37.600 --> 00:00:40.600]  也是一個莫大的禮物和福分
[00:00:40.600 --> 00:00:44.600]  第二 羅馬書第八章前半章告訴我們
[00:00:44.600 --> 00:00:48.400]  聖靈令我們本來做不到的做得到
[00:00:48.400 --> 00:00:50.160]  這也是不可思議的
[00:00:50.160 --> 00:00:51.240]  我們本來是軟弱
[00:00:51.240 --> 00:00:52.480]  因為我們肉體的緣故
[00:00:52.480 --> 00:00:53.520]  我們面對很多罪
[00:00:53.520 --> 00:00:55.680]  我們人生很受捆綁
[00:00:55.680 --> 00:00:57.680]  但聖靈將我們釋放出來
[00:00:57.680 --> 00:00:59.680]  不可能釋放的釋放
[00:00:59.680 --> 00:01:01.680]  不可能勝過的罪可以勝過
[00:01:01.680 --> 00:01:03.680]  這也是莫大的喜訊
[00:01:03.680 --> 00:01:07.680]  今天第三個和大家一起思想的喜訊
[00:01:07.680 --> 00:01:09.680]  就是剛才我們所讀的聖經
[00:01:09.680 --> 00:01:10.680]  雖然長一點
[00:01:10.680 --> 00:01:12.680]  但是應該真的讀完它
[00:01:12.680 --> 00:01:15.680]  因為這段聖經寫得太美麗了
[00:01:15.680 --> 00:01:18.680]  是一種德性的樂歌
[00:01:18.680 --> 00:01:19.680]  一個頌歌
[00:01:19.680 --> 00:01:21.680]  如果你有手頭有聖經
[00:01:21.680 --> 00:01:25.680]  我也很想你和我一起打開羅馬書第八章
[00:01:25.680 --> 00:01:26.680]  羅馬書第八章
[00:01:26.680 --> 00:01:28.680]  我們看聖靈的第三個
[00:01:28.680 --> 00:01:31.680]  我們真的要看到的一個很大的
[00:01:31.680 --> 00:01:34.680]  很重要的好消息和一個大的禮物
[00:01:34.680 --> 00:01:36.680]  就是一個沒有盼望的日子裡
[00:01:36.680 --> 00:01:38.680]  竟然可以有盼望
[00:01:38.680 --> 00:01:41.680]  這是一個矛盾
[00:01:41.680 --> 00:01:44.680]  所以我一開始的時候就和大家說這個矛盾性
[00:01:44.680 --> 00:01:46.680]  這是什麼矛盾呢
[00:01:46.680 --> 00:01:54.680]  這個矛盾就是現實的悲情和樂觀的盼望
[00:01:54.680 --> 00:01:56.680]  為什麼這麼特別呢
[00:01:56.680 --> 00:01:57.680]  這個矛盾是從哪裡找來的呢
[00:01:57.680 --> 00:01:58.680]  不是
[00:01:58.680 --> 00:02:00.680]  就是聖經裡面有的
[00:02:00.680 --> 00:02:04.680]  首先我們看這個現實的悲情是什麼呢
[00:02:04.680 --> 00:02:06.680]  如果你看這段聖經剛才讀的時候
