
[00:00:00.000 --> 00:00:03.640]  今天我們繼續講《約翰福音》的訊息
[00:00:03.640 --> 00:00:07.760]  今天讀的經文是記載第七章的一至十三節
[00:00:07.760 --> 00:00:09.680]  七章的第一節這樣說
[00:00:09.680 --> 00:00:12.960]  「這是以後耶穌在加利利遊行
[00:00:12.960 --> 00:00:15.040]  不願再猶大遊行
[00:00:15.040 --> 00:00:18.160]  因為猶太人想要殺他」
[00:00:18.160 --> 00:00:19.800]  「這是以後」是指到什麼呢?
[00:00:19.800 --> 00:00:21.080]  應該是指到上文
[00:00:21.080 --> 00:00:27.960]  耶穌是用五餅二魚去餵飽幾千人的神蹟
[00:00:27.960 --> 00:00:29.320]  在這件事之後
[00:00:29.320 --> 00:00:31.760]  耶穌在加利利遊行
[00:00:31.760 --> 00:00:34.040]  即是傳道士服一段時間
[00:00:34.040 --> 00:00:38.000]  作者也說出了
[00:00:38.000 --> 00:00:39.680]  耶穌為什麼會這樣做呢?
[00:00:39.680 --> 00:00:43.160]  因為猶太人想要殺他
[00:00:43.160 --> 00:00:49.760]  在這裡很明顯應該回到第五章十八節裡的記載
[00:00:49.760 --> 00:00:55.120]  耶穌與一群猶大的宗教領袖有一個對話
[00:00:55.120 --> 00:00:57.280]  就是說應不應該受安息日
[00:00:57.280 --> 00:00:59.760]  耶穌在安息日裡治病
[00:00:59.760 --> 00:01:02.040]  治好了別人的疾病
[00:01:02.040 --> 00:01:03.880]  所以耶穌犯了安息日
[00:01:03.880 --> 00:01:06.120]  但是耶穌就說
[00:01:06.120 --> 00:01:10.600]  設立安息日的原意是為人
[00:01:10.600 --> 00:01:12.720]  人不是為了安息日
[00:01:12.720 --> 00:01:17.120]  所以惹怒了當時猶太人的宗教領袖
[00:01:17.120 --> 00:01:19.760]  而更重要的是什麼呢?
[00:01:19.760 --> 00:01:21.440]  在那裡耶穌說
[00:01:21.440 --> 00:01:25.800]  「我父作事,直到如今,我也作事」
[00:01:25.800 --> 00:01:29.800]  「將是自己與神當作平等」
[00:01:29.800 --> 00:01:32.760]  所以這些猶太人的宗教領袖
[00:01:32.760 --> 00:01:36.400]  看到耶穌竟然自比為上帝同等
[00:01:36.400 --> 00:01:39.120]  所以這個就已經是死罪了
[00:01:39.120 --> 00:01:40.440]  在那一刻開始
[00:01:40.440 --> 00:01:44.160]  猶太人就越發想要殺他
[00:01:44.160 --> 00:01:47.200]  在這裡說到這些猶太人
[00:01:47.200 --> 00:01:51.000]  是說到猶太人的宗教領袖
[00:01:51.000 --> 00:01:51.880]  在那個時間
