
[00:00:00.000 --> 00:00:03.740]  我們再看聖經我們正在讀的登山部分
[00:00:03.740 --> 00:00:06.740]  《馬太福音》第六章的經文
[00:00:06.740 --> 00:00:15.640]  我們看到信仰實踐是為了尋求主的賞賜
[00:00:15.640 --> 00:00:19.140]  大家會在年終的時候
[00:00:19.140 --> 00:00:21.940]  剛剛我們過了農曆年的年底
[00:00:21.940 --> 00:00:23.900]  很多人都有一個期望
[00:00:23.900 --> 00:00:27.000]  就是期望自己工作的公司或者機構
[00:00:27.000 --> 00:00:30.800]  能夠發放一筆特別的年終賞金
[00:00:30.800 --> 00:00:32.800]  或者年終的花紅
[00:00:32.800 --> 00:00:39.100]  很多時候都會期待著一些特別的利益和好處
[00:00:39.100 --> 00:00:41.600]  這個都是很多人都有的期待
[00:00:41.600 --> 00:00:47.200]  有時候基督徒我們都會不是很想講獎賞
[00:00:47.200 --> 00:00:49.700]  不是很想講賞賜
[00:00:49.700 --> 00:00:52.300]  因為感覺好像有些功利
[00:00:52.300 --> 00:00:55.200]  有些很自私想自己得到好處
[00:00:55.900 --> 00:00:58.000]  但是我們今天讀聖經的時候就發覺
[00:00:58.000 --> 00:01:00.800]  一開始主耶穌所講及的經文
[00:01:00.800 --> 00:01:05.900]  正正是告訴我們去尋求天父的賞賜
[00:01:05.900 --> 00:01:08.100]  主是提及賞賜的
[00:01:08.100 --> 00:01:10.400]  你看看第六章第一節
[00:01:10.400 --> 00:01:12.600]  在中間的說話說
[00:01:12.600 --> 00:01:17.600]  「如果這樣就得不到你們天父的賞賜了」
[00:01:17.600 --> 00:01:20.000]  要去尋求主的賞賜
[00:01:20.000 --> 00:01:22.600]  是主耶穌跟我們所講的說話
[00:01:22.600 --> 00:01:24.400]  然後你留意一下
[00:01:24.400 --> 00:01:28.000]  很多經文是提及到主會報答的
[00:01:28.000 --> 00:01:29.900]  譬如說第四節尾
[00:01:29.900 --> 00:01:32.300]  或者說第六節尾
[00:01:32.300 --> 00:01:35.500]  然後去到後面的第十八節下
[00:01:35.500 --> 00:01:40.100]  都提及主必定會報答的
[00:01:40.100 --> 00:01:43.600]  或者說主必定會有賞賜的
[00:01:43.600 --> 00:01:47.300]  主耶穌是常常講到賞賜的事情
[00:01:47.300 --> 00:01:50.400]  其實馬太福音其他地方譬如說第十章
[00:01:50.400 --> 00:01:52.500]  大家會熟悉的經文講到
[00:01:52.900 --> 00:01:56.100]  「如果你因為門徒的名的緣故
[00:01:56.100 --> 00:01:58.100]  將一杯涼水
[00:01:58.100 --> 00:02:01.200]  給一個小子當中一個最小的飲
[00:02:01.200 --> 00:02:02.600]  都不能不得」
[00:02:02.600 --> 00:02:03.800]  什麼?
[00:02:03.800 --> 00:02:05.700]  「賞賜」
[00:02:05.700 --> 00:02:08.000]  同樣提及賞賜
[00:02:08.000 --> 00:02:10.700]  是不會不得到賞賜的
[00:02:10.700 --> 00:02:13.500]  按照神的心意來行事
[00:02:13.500 --> 00:02:15.500]  是會得到賞賜的
[00:02:15.500 --> 00:02:17.400]  去到新約的時候
[00:02:17.400 --> 00:02:19.300]  你讀到希伯來書第十一章
[00:02:19.300 --> 00:02:20.900]  我們常常會讀的
[00:02:21.000 --> 00:02:26.100]  「人非有信就不能得神的喜悅」
[00:02:26.100 --> 00:02:29.800]  因為來到神面前的人
[00:02:29.800 --> 00:02:33.000]  他必須信有神
[00:02:33.000 --> 00:02:39.000]  而且相信他會賞賜那些尋求他的人
[00:02:39.000 --> 00:02:42.200]  哪一個尋求一位的主
[00:02:42.200 --> 00:02:43.600]  也都意味著他的心
[00:02:43.600 --> 00:02:47.000]  是按照主的引導和教導
[00:02:47.000 --> 00:02:49.100]  來行事生活的
[00:02:49.500 --> 00:02:51.700]  他們不能不得賞賜
[00:02:51.700 --> 00:02:55.700]  聖經在很多地方提及賞賜
[00:02:55.700 --> 00:02:57.800]  賞賜不是指一種
[00:02:57.800 --> 00:03:01.700]  好像只是為了得賞賜而行善
[00:03:01.700 --> 00:03:02.900]  我做好人
[00:03:02.900 --> 00:03:04.900]  所以預備將來得賞賜
[00:03:04.900 --> 00:03:08.400]  不是這個心
[00:03:08.400 --> 00:03:10.300]  而是內心知道
[00:03:10.300 --> 00:03:14.300]  上帝是會預備賞賜
[00:03:14.300 --> 00:03:16.500]  給願意信靠的人
[00:03:16.500 --> 00:03:18.900]  這個信心不單是說
[00:03:19.000 --> 00:03:20.500]  相信有一位神
[00:03:20.500 --> 00:03:24.300]  而是相信他真的會按照他的應許
[00:03:24.300 --> 00:03:28.300]  賜福給那些願意跟隨他
[00:03:28.300 --> 00:03:30.700]  又按他心意行的人
[00:03:30.700 --> 00:03:34.100]  或者大家很容易會想像到
[00:03:34.100 --> 00:03:36.500]  這個世界如果最終極
[00:03:36.500 --> 00:03:39.700]  是沒有公義的審判
