
[00:00:00.000 --> 00:00:05.520]  今天這段經文是講第三章1-22節
[00:00:05.520 --> 00:00:07.280]  我們一開始
[00:00:07.280 --> 00:00:08.820]  傳道者說
[00:00:08.820 --> 00:00:10.960]  在這個世界里很多都是虛空的
[00:00:10.960 --> 00:00:14.460]  智慧的人又死 愚蠢的人又死
[00:00:14.460 --> 00:00:17.300]  死了之後一樣的 沒有分別的 在地上
[00:00:17.300 --> 00:00:19.340]  智慧人一定長壽一點
[00:00:19.340 --> 00:00:22.500]  愚蠢人一定生命短一點
[00:00:22.500 --> 00:00:24.820]  不是的 大家都要面對死亡
[00:00:24.820 --> 00:00:26.100]  接著再說
[00:00:26.100 --> 00:00:29.280]  在地上你累積這麼多的資財
[00:00:29.280 --> 00:00:31.140]  用得很辛苦了
[00:00:31.140 --> 00:00:32.840]  日夜勞碌
[00:00:32.840 --> 00:00:36.260]  但是你的資財留給後人
[00:00:36.260 --> 00:00:38.880]  那個人究竟是什麼人 你不知道
[00:00:38.880 --> 00:00:41.840]  他可能一夜敗光你所有的東西
[00:00:41.840 --> 00:00:44.140]  你用一生很辛苦勞碌的
[00:00:44.140 --> 00:00:47.020]  他可能很短時間就浪費了
[00:00:47.020 --> 00:00:49.920]  他是智慧人 他是愚蠢人 你是不知道的
[00:00:49.920 --> 00:00:52.600]  他會不會善用你所擁有
[00:00:52.600 --> 00:00:55.080]  這麼辛苦累積的資源呢 都不知道的
[00:00:55.080 --> 00:00:57.040]  還有 就是後人
[00:00:57.040 --> 00:00:59.540]  更加不知道你是一個什麼人
[00:00:59.540 --> 00:01:02.360]  後人知道你是智慧人
[00:01:02.360 --> 00:01:04.040]  知道你原本都不知道
[00:01:04.040 --> 00:01:05.500]  所以傳道者說
[00:01:05.500 --> 00:01:07.800]  在人生里都是虛空的
[00:01:07.800 --> 00:01:11.700]  所以最好的 他就提議我們
[00:01:11.700 --> 00:01:12.880]  建議我們
[00:01:12.880 --> 00:01:16.140]  我們能夠擁有的就是我們今生的生活
[00:01:16.140 --> 00:01:18.180]  我們要在日常的活動裡面
[00:01:18.180 --> 00:01:20.480]  去享受一種快樂
[00:01:20.480 --> 00:01:23.380]  享受上帝給我們的福分
[00:01:23.380 --> 00:01:27.180]  所以傳道者就鼓勵我們要積極面對我們的人生
[00:01:27.180 --> 00:01:29.460]  好好善用我們的人生
[00:01:29.460 --> 00:01:31.500]  好好享受我們的人生
[00:01:31.500 --> 00:01:35.500]  這是上一次傳道者給我們的一個信息
