
[00:00:00.000 --> 00:00:05.000]  (這次的行動)
[00:00:05.000 --> 00:00:22.000]  傳媒就問女神
[00:00:22.000 --> 00:00:25.200]  拿一幅全家福給我們登一下行不行?
[00:00:25.200 --> 00:00:28.320]  即是說所謂有爸爸、有媽媽、有我
[00:00:28.320 --> 00:00:30.320]  全家福是沒有的
[00:00:30.320 --> 00:00:31.800]  其實在我腦海裏面
[00:00:31.800 --> 00:00:36.920]  都沒有一幅這樣的記憶圖畫
[00:00:36.920 --> 00:00:40.200]  所以如果你問我家庭關係
[00:00:40.200 --> 00:00:44.600]  對家的感覺其實就是冰冷的
[00:00:44.600 --> 00:00:46.320]  不開心的
[00:00:46.320 --> 00:00:48.600]  和沒有安全感的
[00:00:48.600 --> 00:00:51.000]  小時候讀書成績真的差到極點
[00:00:51.000 --> 00:00:53.440]  基本上我的分數全部都是零
[00:00:53.440 --> 00:00:55.640]  最高分試過33分
[00:00:55.640 --> 00:00:56.920]  已經是最高分了
[00:00:56.920 --> 00:00:58.920]  其實我中學只讀到中一
[00:00:58.920 --> 00:01:00.120]  就被人踢出校了
[00:01:00.120 --> 00:01:02.800]  很大原因是和班主任的關係
[00:01:02.800 --> 00:01:05.840]  因為當時班主任寄了我36個缺點
[00:01:05.840 --> 00:01:07.000]  44個小個
[00:01:07.000 --> 00:01:15.120]  從前我是一個全身名牌
[00:01:15.120 --> 00:01:16.840]  要有名牌的包包
[00:01:16.840 --> 00:01:18.720]  出街我會和人困袋
[00:01:18.720 --> 00:01:20.880]  亦不會希望和人撞衫
[00:01:20.880 --> 00:01:23.800]  我會刻意就是你有的我就不要有
[00:01:23.800 --> 00:01:26.280]  但我想如果在坐牢的時候
[00:01:26.280 --> 00:01:28.760]  當我見到大家在監獄裏面
[00:01:28.760 --> 00:01:29.920]  一些所願
[00:01:29.920 --> 00:01:32.040]  其實我們都是穿著同一套衣服
[00:01:32.040 --> 00:01:33.960]  同一條啡色的格仔裙
[00:01:33.960 --> 00:01:35.760]  同一對啡色的拖鞋
[00:01:35.760 --> 00:01:36.800]  對於我來說
[00:01:36.800 --> 00:01:38.680]  當我們不再有任何比較
[00:01:38.680 --> 00:01:41.720]  而今天你和我都是穿著同一款式的衣服
[00:01:41.720 --> 00:01:43.200]  其實在這個情況裏面
[00:01:43.200 --> 00:01:46.160]  我才會發覺這才是真正的我
[00:01:46.160 --> 00:01:47.960]  由零分到博士學位
[00:01:47.960 --> 00:01:50.480]  有沒有令到我走出自卑呢
[00:01:50.480 --> 00:01:53.480]  我想可以說六成
[00:01:53.480 --> 00:01:56.080]  但如果你問我自不自卑呢
[00:01:56.080 --> 00:01:58.160]  我會告訴你不自卑
[00:01:58.160 --> 00:02:00.600]  因為真是信仰令到我
[00:02:00.600 --> 00:02:03.160]  其實在天父、爸爸那裏
[00:02:03.160 --> 00:02:05.440]  得到真正的肯定
[00:02:05.440 --> 00:02:07.040]  我重新去尋覓的時候
[00:02:07.040 --> 00:02:08.160]  我用了不少的時間
[00:02:08.160 --> 00:02:09.680]  用了起碼一年兩年的時間
[00:02:09.680 --> 00:02:11.080]  去重新尋找自己
[00:02:11.080 --> 00:02:12.080]  而到最後的時候
[00:02:12.080 --> 00:02:13.160]  我明白到一個道理
[00:02:13.160 --> 00:02:14.160]  就是在禱告裏面
[00:02:14.160 --> 00:02:15.760]  上帝很清楚告訴我
[00:02:15.760 --> 00:02:18.520]  我是祂的那顆珍珠
[00:02:18.520 --> 00:02:20.320]  我就是祂的珍珠
[00:02:20.320 --> 00:02:21.880]  我就是祂的珍珠
[00:02:21.880 --> 00:02:23.800]  祂的那顆珍珠
[00:02:23.800 --> 00:02:30.600]  今日這個分享
[00:02:30.600 --> 00:02:33.040]  可能會令你對人生有新的想法
[00:02:33.040 --> 00:02:34.400]  請以熱烈的掌聲
[00:02:34.400 --> 00:02:35.760]  歡迎呂Sir、Kathy
[00:02:35.760 --> 00:02:38.480]  分享他們完全變態的故事
[00:02:38.480 --> 00:02:40.400]  早晨
[00:02:40.400 --> 00:02:42.240]  早晨
[00:02:42.240 --> 00:02:43.440]  各位同學早晨
[00:02:43.440 --> 00:02:45.240]  早晨
[00:02:45.240 --> 00:02:47.400]  我剛才在旁邊聽
[00:02:47.400 --> 00:02:49.960]  一聽的時候聽到兩幕
[00:02:49.960 --> 00:02:51.760]  大家是很激動的
[00:02:51.760 --> 00:02:53.240]  很有反應的
[00:02:53.240 --> 00:02:56.000]  第一幕就是我們書的書名
[00:02:56.000 --> 00:02:58.000]  《完全變態》
[00:02:58.000 --> 00:03:00.400]  一個華麗轉生的故事
[00:03:00.400 --> 00:03:02.000]  有時候我都會覺得
[00:03:02.000 --> 00:03:03.160]  為什麼大家一聽到這個名字
[00:03:03.160 --> 00:03:05.040]  這麼搞笑呢
[00:03:05.040 --> 00:03:07.000]  剛才莫博士又說得很好
[00:03:07.000 --> 00:03:08.120]  這個字
[00:03:08.120 --> 00:03:09.680]  變態這個字
[00:03:09.680 --> 00:03:11.960]  其實在心理學
[00:03:11.960 --> 00:03:14.200]  或者希臘文
[00:03:14.200 --> 00:03:16.480]  是很有意思的
[00:03:16.480 --> 00:03:17.440]  希臘文
[00:03:17.440 --> 00:03:18.960]  如果你之後看我書的書名
[00:03:18.960 --> 00:03:20.640]  就叫做《Metamorphosis》
[00:03:20.640 --> 00:03:22.880]  這是希臘文的說法
[00:03:22.880 --> 00:03:23.960]  就是一個變態
[00:03:23.960 --> 00:03:26.400]  一個轉變的意思
[00:03:26.400 --> 00:03:27.200]  變態
[00:03:27.200 --> 00:03:27.920]  如果你讀理科
[00:03:27.920 --> 00:03:28.760]  你都知道
[00:03:28.760 --> 00:03:30.640]  有些什麼是由什麼
[00:03:30.640 --> 00:03:31.880]  然後就變成什麼
[00:03:31.880 --> 00:03:33.960]  然後很精彩、很漂亮的
[00:03:33.960 --> 00:03:34.640]  是啊
[00:03:34.640 --> 00:03:36.320]  你們有見識的嘛
[00:03:36.320 --> 00:03:37.560]  那些是蝴蝶
[00:03:37.560 --> 00:03:39.720]  這個名字取材自
[00:03:39.720 --> 00:03:42.480]  一會兒這個主人翁
[00:03:42.480 --> 00:03:43.840]  就要和大家分享
[00:03:43.840 --> 00:03:45.080]  還有剛才另一個
[00:03:45.080 --> 00:03:47.080]  就是你們很激動的時候
[00:03:47.080 --> 00:03:48.600]  就是他記了多少個小個
[00:03:48.600 --> 00:03:51.800]  記了多少個缺點呢
[00:03:51.800 --> 00:03:52.280]  嘩
[00:03:52.280 --> 00:03:53.000]  真是厲害
[00:03:53.000 --> 00:03:53.680]  記得的
[00:03:53.680 --> 00:03:55.800]  這樣都記得的
[00:03:55.800 --> 00:03:56.520]  是不是
[00:03:56.520 --> 00:03:57.560]  那有些人說
[00:03:57.560 --> 00:03:58.200]  啊
[00:03:58.200 --> 00:03:59.400]  加拿大是不是啊
[00:03:59.400 --> 00:04:00.200]  那不是的
[00:04:00.200 --> 00:04:01.920]  他是在香港的中學
[00:04:01.920 --> 00:04:04.760]  被人記了很多很多的個個缺點
[00:04:04.760 --> 00:04:08.080]  然後讀到中一就沒有讀那個
