
[00:00:00.000 --> 00:00:07.500]  師班的侍奉在教會裡面有很重要的地位
[00:00:07.500 --> 00:00:15.200]  關於師班的侍奉,平常有三種的觀念
[00:00:15.200 --> 00:00:17.100]  第一種的觀念
[00:00:17.100 --> 00:00:26.200]  那就是師班是表演他們歌唱的天才
[00:00:26.200 --> 00:00:30.900]  是增加了禮拜裡面的一個節目,是娛樂性的節目
[00:00:30.900 --> 00:00:34.300]  是增加教會裡面一個節目,娛樂性的節目
[00:00:34.300 --> 00:00:36.200]  有的教會真是這樣
[00:00:36.200 --> 00:00:37.900]  有的教會真是這樣的
[00:00:37.900 --> 00:00:40.100]  這個當然是一個錯誤的觀念
[00:00:40.100 --> 00:00:42.500]  這個當然是一個錯誤的觀念
[00:00:42.500 --> 00:00:44.400]  第二個觀念
[00:00:44.400 --> 00:00:51.800]  就是師班代替會眾來敬拜神
[00:00:51.800 --> 00:00:53.300]  這也是一個錯誤的觀念
[00:00:53.300 --> 00:00:55.500]  這個也是一個錯誤的觀念
[00:00:55.500 --> 00:00:59.400]  因為道主面前來的每一個人
[00:00:59.400 --> 00:01:02.900]  自己直接的敬拜贊美神
[00:01:02.900 --> 00:01:05.000]  因為道主面前來的每一個人
[00:01:05.000 --> 00:01:08.100]  是直接的在他心裡面來敬拜神
[00:01:08.100 --> 00:01:10.800]  第三個觀念
[00:01:10.800 --> 00:01:17.700]  那就是師班把從神領受的音樂的恩賜
[00:01:17.700 --> 00:01:20.900]  發揮出來奉獻給神
[00:01:20.900 --> 00:01:25.600]  把從神領受的音樂的恩賜
[00:01:25.600 --> 00:01:29.300]  在眾人之中發揮之後奉獻給神
[00:01:29.300 --> 00:01:33.000]  把榮耀感謝贊美歸給父神
[00:01:33.000 --> 00:01:36.200]  把榮耀感謝贊美歸給父神
[00:01:36.200 --> 00:01:42.200]  而且他們也帶起來會眾的感謝贊美敬拜
[00:01:42.200 --> 00:01:45.600]  他們也帶起來會眾的感謝敬拜
[00:01:45.600 --> 00:01:51.800]  這是一個很重要的一個侍奉裡面的因素
[00:01:51.800 --> 00:01:54.200]  這是一個很重要侍奉的因素
[00:01:54.200 --> 00:01:56.500]  因為要奉獻給神
[00:01:56.500 --> 00:01:59.200]  我們要把最好的獻上
[00:01:59.200 --> 00:02:00.400]  因為要奉獻給神
[00:02:00.400 --> 00:02:02.700]  我們要把最好的來到獻上
[00:02:02.700 --> 00:02:07.100]  所以師班追求卓越
[00:02:07.100 --> 00:02:10.400]  所以師班應該追求卓越
[00:02:10.400 --> 00:02:12.900]  把最好的歌聲
[00:02:12.900 --> 00:02:16.900]  把最好的敬拜奉獻給神
[00:02:16.900 --> 00:02:20.000]  把最好的歌聲和敬拜奉獻給神
[00:02:20.000 --> 00:02:23.000]  基督教是一個歌唱的宗教
[00:02:23.000 --> 00:02:25.400]  基督教是一個歌唱的宗教
[00:02:25.400 --> 00:02:26.500]  為什麼歌唱
[00:02:26.500 --> 00:02:27.700]  為什麼要歌唱呢
[00:02:27.700 --> 00:02:29.100]  因為有喜樂
[00:02:29.100 --> 00:02:30.400]  因為有喜樂
[00:02:30.400 --> 00:02:32.200]  但是喜樂從哪裡來呢
[00:02:32.200 --> 00:02:33.700]  但是喜樂從哪裡來的呢
[00:02:33.700 --> 00:02:37.100]  這是我們今天要領受的信息
[00:02:37.100 --> 00:02:40.100]  這個就是我們今天要領受的信息
[00:02:40.100 --> 00:02:43.500]  我要用四個字來傳達這個信息
[00:02:43.500 --> 00:02:46.100]  我要用四個字來傳達這個信息
[00:02:46.100 --> 00:02:48.500]  就是夜伴歌聲
[00:02:48.500 --> 00:02:50.500]  就是夜伴歌聲
[00:02:50.500 --> 00:02:55.100]  在聖經裡面至少有四次提到夜伴歌聲
[00:02:55.100 --> 00:02:59.100]  在聖經裡面至少有四次提到夜伴歌聲
[00:02:59.100 --> 00:03:01.300]  這四次的夜伴歌聲
[00:03:01.300 --> 00:03:04.900]  把我們喜樂的源頭告訴我們
[00:03:04.900 --> 00:03:06.900]  這四次的夜伴歌聲
[00:03:06.900 --> 00:03:09.700]  把我們喜樂的源頭告訴我們
[00:03:09.700 --> 00:03:14.500]  第一次是在《路加福音》第二章
[00:03:14.500 --> 00:03:20.500]  第一次是在《路加福音》第二章
[00:03:20.500 --> 00:03:23.000]  《路加福音》第二章
[00:03:23.000 --> 00:03:25.700]  《路加福音》第二章
