
[00:00:00.000 --> 00:00:03.120]  當我們思想到呼喚人預備主的路
[00:00:03.120 --> 00:00:05.380]  大家會知道這句說話很多時候
[00:00:05.380 --> 00:00:07.300]  形容施洗約翰
[00:00:07.300 --> 00:00:08.840]  當然大家都明白
[00:00:08.840 --> 00:00:10.040]  不單單是約翰
[00:00:10.040 --> 00:00:11.240]  更加是我們每一個人
[00:00:11.240 --> 00:00:14.640]  都可以回應神對我們這一份呼喚
[00:00:14.640 --> 00:00:17.240]  我自己在很多年之前
[00:00:17.240 --> 00:00:20.840]  在我讀神學之前曾經做過社工
[00:00:20.840 --> 00:00:24.440]  在當時有一個經歷是比較深刻的
[00:00:24.440 --> 00:00:27.640]  我記得有一次去到一些基層的家庭
[00:00:27.640 --> 00:00:29.040]  去探訪他們
[00:00:29.560 --> 00:00:32.360]  但發覺進了門口之後
[00:00:32.360 --> 00:00:33.960]  進不了客廳
[00:00:33.960 --> 00:00:36.000]  大家知不知道為什麼
[00:00:36.000 --> 00:00:37.400]  進了門口
[00:00:37.400 --> 00:00:38.560]  但去不到客廳
[00:00:38.560 --> 00:00:41.440]  因為在門口一條小的通道
[00:00:41.440 --> 00:00:43.800]  是塞滿著很多的雜物
[00:00:43.800 --> 00:00:46.880]  他們自己可以塞一下就過了去
[00:00:46.880 --> 00:00:48.960]  但我就過不了去
[00:00:48.960 --> 00:00:52.920]  直至到後來他們搬開幾件大的物品
[00:00:52.920 --> 00:00:55.360]  我才可以進到他們的房間
[00:00:55.360 --> 00:00:57.720]  當然客廳其實都很窄很小
[00:00:59.080 --> 00:01:01.560]  這個印象在我心裏就會想
[00:01:01.560 --> 00:01:05.080]  門口有物品阻塞著
[00:01:05.080 --> 00:01:07.560]  客人是不可以進去的
[00:01:07.560 --> 00:01:10.960]  我是想說在人的生命當中
[00:01:10.960 --> 00:01:13.280]  如果有一些罪
[00:01:13.280 --> 00:01:15.480]  是堆塞著你的生命
[00:01:15.480 --> 00:01:18.360]  我們主的臨在
[00:01:18.360 --> 00:01:19.960]  是會被阻礙的
[00:01:19.960 --> 00:01:23.040]  如果你要經歷神的同在
[00:01:23.040 --> 00:01:25.000]  你要小心將這些物品
[00:01:25.000 --> 00:01:27.360]  這些阻礙生命的罪
[00:01:27.360 --> 00:01:28.760]  將它清除
[00:01:29.360 --> 00:01:30.880]  你就經歷神的恩
[00:01:30.880 --> 00:01:32.840]  當施主漢來到的時候
[00:01:32.840 --> 00:01:33.640]  他說什麼呢
[00:01:33.640 --> 00:01:35.560]  他說天國近了
[00:01:35.560 --> 00:01:36.960]  你們應當
[00:01:36.960 --> 00:01:38.120]  什麼呢
[00:01:38.120 --> 00:01:39.320]  悔改
[00:01:39.320 --> 00:01:43.640]  天國不是在說一個地域
[00:01:43.640 --> 00:01:44.760]  一個地方
[00:01:44.760 --> 00:01:47.080]  更加是在說神的權能
[00:01:47.080 --> 00:01:49.120]  神的大能力
[00:01:49.120 --> 00:01:50.960]  拯救人生命的能力
[00:01:50.960 --> 00:01:52.880]  是怎樣臨到我們的呢
[00:01:52.880 --> 00:01:55.320]  是因為悔改
[00:01:55.320 --> 00:01:57.560]  當人悔改的時候
[00:01:57.560 --> 00:01:59.720]  天國就臨到他的身上
[00:01:59.720 --> 00:02:01.840]  就彰顯出神的能力
[00:02:01.840 --> 00:02:03.720]  不單只能夠讓他
[00:02:03.720 --> 00:02:05.240]  經歷神的拯救
[00:02:05.240 --> 00:02:08.440]  也經歷生命不斷不斷的更新
[00:02:08.440 --> 00:02:10.960]  因此天國近了
[00:02:10.960 --> 00:02:12.200]  應當悔改
[00:02:12.200 --> 00:02:14.440]  不單只在順主那一刻領受
[00:02:14.440 --> 00:02:17.320]  也要常常提醒自己
[00:02:17.320 --> 00:02:19.480]  要經歷天國的能力
[00:02:19.480 --> 00:02:21.960]  我們需要警覺著
[00:02:21.960 --> 00:02:23.640]  將自己的生命
[00:02:23.640 --> 00:02:25.200]  交在神的手當中
[00:02:25.400 --> 00:02:28.000]  去為罪悔改
[00:02:28.000 --> 00:02:30.080]  在剛才讀的聖經
[00:02:30.080 --> 00:02:33.280]  大家再遣返去《馬太福音》第十一章
[00:02:33.280 --> 00:02:39.440]  在《馬太福音》第十一章
[00:02:39.440 --> 00:02:40.840]  當時聖經提及
[00:02:40.840 --> 00:02:43.640]  約翰被捉拿到監牢裡
[00:02:43.640 --> 00:02:47.920]  在那時候耶穌就講論到他的身份
[00:02:47.920 --> 00:02:50.440]  講出究竟約翰是什麼人
[00:02:50.440 --> 00:02:53.040]  在第十一章第七節開始
