
[00:00:00.000 --> 00:00:05.000]  當我們講到方言的真理的時候
[00:00:05.000 --> 00:00:06.000]  很多人都會問
[00:00:06.000 --> 00:00:10.000]  究竟聖經所說的方言究竟是什麼呢?
[00:00:10.000 --> 00:00:11.000]  很簡單來說
[00:00:11.000 --> 00:00:13.000]  方言在聖經的意義
[00:00:13.000 --> 00:00:17.000]  就是一種超自然的語言的能力
[00:00:17.000 --> 00:00:19.000]  是未經過學習
[00:00:19.000 --> 00:00:23.000]  但是可以認識另一個國家或者民族的語言
[00:00:23.000 --> 00:00:25.000]  可以說這些語言
[00:00:25.000 --> 00:00:28.000]  所以是一種超自然的能力
[00:00:28.000 --> 00:00:30.000]  而聖經提及方言的真理
[00:00:30.000 --> 00:00:32.000]  在歷代的教會裡面
[00:00:32.000 --> 00:00:34.000]  各地區的教會裡面
[00:00:34.000 --> 00:00:39.000]  都曾經出現過一些混亂的教導和混亂的追求
[00:00:39.000 --> 00:00:40.000]  所以我們更加要小心
[00:00:40.000 --> 00:00:43.000]  要明白聖經的真理是怎樣
[00:00:43.000 --> 00:00:48.000]  而正確地去認識追求有關方言的事情
[00:00:48.000 --> 00:00:50.000]  當然有人會問你很多問題
[00:00:50.000 --> 00:00:51.000]  譬如說
[00:00:51.000 --> 00:00:54.000]  是不是所有的基督徒都應該講方言呢?
[00:00:54.000 --> 00:00:56.000]  是不是呢?
[00:00:56.000 --> 00:00:58.000]  如果有些基督徒不懂得講方言
[00:00:58.000 --> 00:01:02.000]  他是不是比較沒有那麼熟悉靈呢?
[00:01:02.000 --> 00:01:04.000]  是不是呢?
[00:01:04.000 --> 00:01:07.000]  又或者說當你想追求聖靈的充滿的時候
[00:01:07.000 --> 00:01:12.000]  是不是一定要有方言才算是聖靈充滿呢?
[00:01:12.000 --> 00:01:15.000]  這些說法是很多人都在說
[00:01:15.000 --> 00:01:17.000]  但是要問一個問題
[00:01:17.000 --> 00:01:20.000]  究竟聖經怎樣講述這些道理呢?
[00:01:20.000 --> 00:01:23.000]  我們大家就一起小心看看聖經
[00:01:23.000 --> 00:01:24.000]  首先我們思想的就是
[00:01:24.000 --> 00:01:28.000]  究竟聖經對恩賜的基本教導是甚麼呢?
[00:01:28.000 --> 00:01:33.000]  大家先看前面的第十二章
[00:01:33.000 --> 00:01:38.000]  臨前十二章第七節
[00:01:38.000 --> 00:01:39.000]  聖經說
[00:01:39.000 --> 00:01:45.000]  「聖靈顯在各人身上,是叫人得益處。」
[00:01:45.000 --> 00:01:47.000]  這句說話很清楚地說出
[00:01:47.000 --> 00:01:50.000]  聖靈是顯在各人的身上
[00:01:50.000 --> 00:01:53.000]  前面說的恩賜也意味著
[00:01:53.000 --> 00:01:58.000]  每一個的教徒都有神賜給我們的恩賜
[00:01:58.000 --> 00:02:04.000]  有些人他們有比較強烈的那種安慰人的恩賜
[00:02:04.000 --> 00:02:07.000]  某些說話很快就叫人心得到安慰
[00:02:07.000 --> 00:02:10.000]  我們說他有一種安慰人的恩賜
[00:02:10.000 --> 00:02:12.000]  有些人有施捨的恩賜
[00:02:12.000 --> 00:02:16.000]  很能夠去付出給別人幫助
[00:02:16.000 --> 00:02:17.000]  各有不同
[00:02:17.000 --> 00:02:21.000]  但是必然的每一個人都有神給你不同的恩賜
[00:02:21.000 --> 00:02:23.000]  因為聖經清楚說明
[00:02:23.000 --> 00:02:29.000]  是將這種恩賜聖靈顯在各人的身上
[00:02:29.000 --> 00:02:31.000]  聖經再說
[00:02:31.000 --> 00:02:34.000]  「叫人得益處。」
[00:02:34.000 --> 00:02:39.000]  領受恩賜的目的是叫別人得到益處
[00:02:39.000 --> 00:02:41.000]  叫別人得到助就
[00:02:41.000 --> 00:02:43.000]  不是為了自己
[00:02:43.000 --> 00:02:44.000]  所以領受恩賜的時候
[00:02:44.000 --> 00:02:47.000]  你不要說因為我比較敬虔
[00:02:47.000 --> 00:02:49.000]  所以神給我一些獎賞
[00:02:49.000 --> 00:02:51.000]  讓我可以幫助自己
[00:02:51.000 --> 00:02:54.000]  或者安慰自己
[00:02:54.000 --> 00:02:57.000]  恩賜不是給你來幫助自己的
[00:02:57.000 --> 00:03:00.000]  是給你去服侍別人
[00:03:00.000 --> 00:03:01.000]  為教會
[00:03:01.000 --> 00:03:04.000]  為其他人的好處來發揮出來
[00:03:04.000 --> 00:03:05.000]  所以你會記得
[00:03:05.000 --> 00:03:09.000]  同時在聖經的彼得前書第四章第十節
[00:03:09.000 --> 00:03:11.000]  就提到「按所得的恩賜
[00:03:11.000 --> 00:03:17.000]  彼此服侍作臣百般恩賜的好管家」
[00:03:17.000 --> 00:03:19.000]  是有百般恩賜的
[00:03:19.000 --> 00:03:21.000]  不單止一種兩種
[00:03:21.000 --> 00:03:25.000]  然後提到領受恩賜是要來服侍別人
[00:03:25.000 --> 00:03:27.000]  不是服侍自己
[00:03:27.000 --> 00:03:31.000]  這是聖經提到的一些基本的形式
[00:03:31.000 --> 00:03:32.000]  所以你記得了
[00:03:32.000 --> 00:03:36.000]  領受恩賜是給每一個的教徒
[00:03:36.000 --> 00:03:39.000]  目的是為了服侍別人
[00:03:39.000 --> 00:03:41.000]  助就別人
[00:03:41.000 --> 00:03:44.000]  而在當中我們忠心作管家
[00:03:44.000 --> 00:03:46.000]  善用所得的恩賜
[00:03:46.000 --> 00:03:48.000]  第二方面我們再看聖經提到
[00:03:48.000 --> 00:03:50.000]  甚麼是先知講道呢?
[00:03:50.000 --> 00:03:53.000]  你看看聖經第十二第十四章
[00:03:53.000 --> 00:03:56.000]  是講到有關恩賜的問題
[00:03:56.000 --> 00:03:59.000]  而第十四章就特別強調到關於方言
[00:03:59.000 --> 00:04:02.000]  而十三章大家知道是講甚麼了
[00:04:02.000 --> 00:04:04.000]  是甚麼章呢?
[00:04:04.000 --> 00:04:06.000]  是愛章
[00:04:06.000 --> 00:04:09.000]  講恩賜的時候必須要強調講愛心
[00:04:09.000 --> 00:04:12.000]  如果不帶著愛心運用恩賜
[00:04:12.000 --> 00:04:14.000]  這些恩賜是沒有意思的
[00:04:14.000 --> 00:04:16.000]  是沒有價值的
[00:04:16.000 --> 00:04:18.000]  當保羅講到方言的時候
[00:04:18.000 --> 00:04:21.000]  其實他看出當時教會有一些錯誤
[00:04:21.000 --> 00:04:23.000]  對方言的認識
[00:04:23.000 --> 00:04:26.000]  因此從一個糾正的角度
[00:04:26.000 --> 00:04:29.000]  提出哪些地方要小心
[00:04:29.000 --> 00:04:31.000]  不要錯誤地了解
[00:04:31.000 --> 00:04:34.000]  以至能夠幫教會正確地追求
[00:04:34.000 --> 00:04:36.000]  一個合適的方向
[00:04:36.000 --> 00:04:38.000]  所以他會發覺
[00:04:38.000 --> 00:04:40.000]  聖經講到很多小心
[00:04:40.000 --> 00:04:41.000]  不要走錯路
[00:04:41.000 --> 00:04:43.000]  一種糾正性的提醒
[00:04:43.000 --> 00:04:45.000]  所以你看到第十四章第一節
[00:04:45.000 --> 00:04:48.000]  一開始的時候就這樣說
[00:04:48.000 --> 00:04:50.000]  第十四章第一節
[00:04:50.000 --> 00:04:52.000]  你們要追求愛
[00:04:52.000 --> 00:04:55.000]  也要切勿贖名的恩賜
[00:04:55.000 --> 00:04:57.000]  其中更要羡慕的
[00:04:57.000 --> 00:04:59.000]  是作先知講道
[00:04:59.000 --> 00:05:00.000]  追求愛
[00:05:00.000 --> 00:05:03.000]  但同時要切勿
[00:05:03.000 --> 00:05:06.000]  當然聖經講到恩賜不是我們自己
[00:05:06.000 --> 00:05:08.000]  強求可以得來的
[00:05:08.000 --> 00:05:11.000]  在聖經前面臨前十二章十一節提到
[00:05:11.000 --> 00:05:15.000]  是聖靈隨己意分給各人
[00:05:15.000 --> 00:05:17.000]  是按著神的意思
[00:05:17.000 --> 00:05:18.000]  他按他最高的美意
[00:05:18.000 --> 00:05:21.000]  分給我們不同的恩賜
[00:05:21.000 --> 00:05:24.000]  但我們仍然可以去切勿
[00:05:24.000 --> 00:05:27.000]  去渴望能夠得到恩賜去造就別人
[00:05:27.000 --> 00:05:29.000]  但始終得到哪一方面的恩賜
[00:05:29.000 --> 00:05:33.000]  是按神的意思來決定的
[00:05:33.000 --> 00:05:37.000]  但聖經提出要特別羡慕的是做什麼呢?
[00:05:37.000 --> 00:05:39.000]  做先知講道
[00:05:39.000 --> 00:05:41.000]  這裡所講的講道
[00:05:41.000 --> 00:05:43.000]  不一定是在講台上的講道
[00:05:43.000 --> 00:05:48.000]  而是你能夠去幫助別人明白聖經
[00:05:48.000 --> 00:05:51.000]  讓人可以了解聖經的真理
[00:05:51.000 --> 00:05:55.000]  這個切勿很明顯是相對於對方言講的
[00:05:55.000 --> 00:05:58.000]  切勿能夠叫別人明白聖經
[00:05:58.000 --> 00:06:00.000]  多過切勿得方言
[00:06:00.000 --> 00:06:02.000]  這是聖經的含義
[00:06:02.000 --> 00:06:04.000]  而且特別提到
[00:06:04.000 --> 00:06:08.000]  何時我們能夠用真道建立教會
[00:06:08.000 --> 00:06:12.000]  這個恩賜就更值得我們去追求
[00:06:12.000 --> 00:06:13.000]  因此我們說
[00:06:13.000 --> 00:06:15.000]  沒錯,恩賜有所不同
[00:06:15.000 --> 00:06:18.000]  有些人有某一種
[00:06:18.000 --> 00:06:20.000]  當我們衷心運用的時候
[00:06:20.000 --> 00:06:23.000]  在神面前同得恩典
[00:06:23.000 --> 00:06:25.000]  同得獎賞
[00:06:25.000 --> 00:06:27.000]  但在教會裡面
[00:06:27.000 --> 00:06:30.000]  很明顯恩賜的價值有所不同
[00:06:30.000 --> 00:06:32.000]  有輕重之分
[00:06:32.000 --> 00:06:35.000]  最能夠建立教會的恩賜
[00:06:35.000 --> 00:06:38.000]  是算為重要的恩賜
[00:06:38.000 --> 00:06:41.000]  一些所謂比較次要的恩賜
[00:06:41.000 --> 00:06:44.000]  不等於在神面前不被神所看重
[00:06:44.000 --> 00:06:48.000]  仍然領受神給我們的那種獎賞
[00:06:48.000 --> 00:06:51.000]  但的確聖經叫我們要留心追求
[00:06:51.000 --> 00:06:54.000]  能夠用真理去建立別人
[00:06:54.000 --> 00:06:56.000]  這是聖經裡面所提的
[00:06:56.000 --> 00:06:57.000]  或者你會問
[00:06:57.000 --> 00:07:00.000]  先知講道是什麼意思呢?
[00:07:00.000 --> 00:07:03.000]  究竟什麼叫先知講道呢?
[00:07:03.000 --> 00:07:06.000]  我請大家看看聖經的二忽所書
[00:07:06.000 --> 00:07:08.000]  你翻到後面
[00:07:08.000 --> 00:07:15.000]  二忽所書第二章第二十節
[00:07:15.000 --> 00:07:25.000]  聖經的一千七百五十五頁
[00:07:25.000 --> 00:07:27.000]  第二章第二十節
[00:07:27.000 --> 00:07:28.000]  這裡提及的是
[00:07:28.000 --> 00:07:31.000]  神的家教會是怎樣的呢?
[00:07:31.000 --> 00:07:32.000]  二十節
[00:07:32.000 --> 00:07:36.000]  「並且被建造在使徒和先知的根基上
[00:07:36.000 --> 00:07:40.000]  由基督耶穌自己為防國石」
[00:07:40.000 --> 00:07:43.000]  神的教會是建立在什麼的根基上?
[00:07:43.000 --> 00:07:47.000]  在使徒和先知的根基上
[00:07:47.000 --> 00:07:48.000]  在教育聖經裡面
[00:07:48.000 --> 00:07:49.000]  我們見到很多先知
[00:07:49.000 --> 00:07:52.000]  他們領受神給他們的指示
[00:07:52.000 --> 00:07:56.000]  將有關神的真理啟示給我們知道
[00:07:56.000 --> 00:07:57.000]  在新約的時候
[00:07:57.000 --> 00:08:00.000]  有使徒領受特別的身份
[00:08:00.000 --> 00:08:03.000]  他們也領受神給他們的啟示
[00:08:03.000 --> 00:08:07.000]  將有關神的真理向我們介紹
[00:08:07.000 --> 00:08:09.000]  向我們傳講出來
[00:08:09.000 --> 00:08:10.000]  我們常常說
[00:08:10.000 --> 00:08:13.000]  我們自己不能夠明白神的事
[00:08:13.000 --> 00:08:14.000]  憑自己不能夠明白
[00:08:14.000 --> 00:08:19.000]  因此神就主動地向我們介紹祂自己
[00:08:19.000 --> 00:08:22.000]  我們稱為「自我啟示」
[00:08:22.000 --> 00:08:26.000]  神向我們自我啟示祂自己
[00:08:26.000 --> 00:08:27.000]  但這種啟示
[00:08:27.000 --> 00:08:29.000]  當新約完成了之後
[00:08:29.000 --> 00:08:33.000]  連同舊約就成為一個完整的啟示
[00:08:33.000 --> 00:08:36.000]  因此稱為「正典」
[00:08:36.000 --> 00:08:37.000]  而我們今天所讀的聖經
[00:08:37.000 --> 00:08:40.000]  已經將神要對我們所啟示的真理
[00:08:40.000 --> 00:08:46.000]  完全地、完整地顯示出來、啟示出來
[00:08:46.000 --> 00:08:49.000]  因此我們不需要有新的啟示
[00:08:49.000 --> 00:08:50.000]  如果有人告訴你
[00:08:50.000 --> 00:08:53.000]  我將一些關於神的新啟示告訴你知道
[00:08:53.000 --> 00:08:56.000]  你要加上你的聖經裡面
[00:08:56.000 --> 00:09:00.000]  你大概可以想這是異端
[00:09:00.000 --> 00:09:05.000]  因為聖經的真理已經是完整神給我們的啟示
[00:09:05.000 --> 00:09:07.000]  所以從這個角度思想
[00:09:07.000 --> 00:09:08.000]  嚴格來說
[00:09:08.000 --> 00:09:14.000]  今天不再有使徒和先知
[00:09:14.000 --> 00:09:16.000]  因為聖經所說到
[00:09:16.000 --> 00:09:19.000]  一些根基已經建立起來
[00:09:19.000 --> 00:09:20.000]  很簡單地說
[00:09:20.000 --> 00:09:22.000]  如果大家去到一些建築物
[00:09:22.000 --> 00:09:24.000]  你看到有一個地基
[00:09:24.000 --> 00:09:25.000]  插了很多磚
[00:09:25.000 --> 00:09:27.000]  上面建了房屋
