
[00:00:00.000 --> 00:00:06.140]  我真是很有負擔想將羅馬書裏面幾個我覺得很重要的真理
[00:00:06.140 --> 00:00:10.740]  真是很重要的真理 或者你聽過但你沒有從這個角度去了解
[00:00:10.740 --> 00:00:14.840]  來回答我們心裏面很多時候我們的
[00:00:14.840 --> 00:00:16.120]  掙扎
[00:00:16.120 --> 00:00:17.400]  我們的困難
[00:00:17.400 --> 00:00:23.040]  所以今晚我想和大家一直這樣在聖經裏面看
[00:00:23.040 --> 00:00:27.900]  如果你有帶聖經的就請你無論如何都翻開羅馬書第八章
[00:00:28.160 --> 00:00:30.720]  因為聖經才是今晚我們的主角
[00:00:30.720 --> 00:00:33.780]  我只是講聖經裏面的事
[00:00:33.780 --> 00:00:36.860]  但是真是的信息就在聖經裏面
[00:00:36.860 --> 00:00:38.640]  羅馬書第八章
[00:00:38.640 --> 00:00:42.740]  如果你沒有帶聖經的你有那些
[00:00:42.740 --> 00:00:48.880]  三星那些有iphone那些 拿出來也不怕的
[00:00:48.880 --> 00:00:52.220]  不過關了聲音不要又收WhatsApp
[00:00:52.220 --> 00:00:56.060]  又發WhatsApp 我們專心看聖經
[00:00:56.320 --> 00:00:59.640]  從旁邊看也好 好不好 我真是希望大家是
[00:00:59.640 --> 00:01:01.180]  看著聖經 因為很多
[00:01:01.180 --> 00:01:01.940]  很多
[00:01:01.940 --> 00:01:04.500]  聖經是很重要的和大家
[00:01:04.500 --> 00:01:07.320]  我一起來思想的
[00:01:07.320 --> 00:01:11.940]  找到了 找到聖經
[00:01:11.940 --> 00:01:14.740]  不如先祈禱 我們再求主幫助我們
[00:01:14.740 --> 00:01:22.940]  我們主我們的神 我們知道你將我們帶在這個時代面對這些挑戰都不是偶然
[00:01:22.940 --> 00:01:24.980]  都在你的計劃當中
[00:01:25.760 --> 00:01:29.600]  我不知道為什麼你這麼看得起我們在這麼困難的時代裏面仍然
[00:01:29.600 --> 00:01:32.920]  讓我們認識你並且我們可以成為你的兒女
[00:01:32.920 --> 00:01:36.500]  但我們心裏面特別是多掙扎也多困惑
[00:01:36.500 --> 00:01:41.120]  因為在這段日子當中我們見到周圍這個世界
[00:01:41.120 --> 00:01:44.440]  甚至我們身邊所發生的事越來越令我們失望
[00:01:44.440 --> 00:01:46.500]  也越來越令我們困惑
[00:01:46.500 --> 00:01:49.820]  今晚我們就是帶著這些我們的心境
[00:01:49.820 --> 00:01:52.120]  我們的掙扎來到你的面前
[00:01:52.380 --> 00:01:55.720]  還有我們求你用你自己的說話來教導我們
[00:01:55.720 --> 00:01:59.560]  求你用你的說話來帶我們去一個新的方向
[00:01:59.560 --> 00:02:01.860]  以致我們離開這個時候
[00:02:01.860 --> 00:02:05.960]  還有因為我們看到你的說話 因為我們有你自己的真理
[00:02:05.960 --> 00:02:09.020]  因為有你自己與我們同在和你自己的聖靈
[00:02:09.020 --> 00:02:11.080]  的帶領和感動
[00:02:11.080 --> 00:02:13.120]  還有我們不再一樣
[00:02:13.120 --> 00:02:15.420]  我們帶著不同的心情離開這裏
[00:02:15.420 --> 00:02:17.720]  不同的體會離開這裏
[00:02:17.980 --> 00:02:23.360]  主讓我們帶著這樣的期待到你面前來 希望接下來這一個小時的時刻
[00:02:23.360 --> 00:02:26.680]  主讓你真的幫助我們 憐憫我們
[00:02:26.680 --> 00:02:28.480]  加倍的恩待我們
[00:02:28.480 --> 00:02:30.780]  聽我們的禱告奉耶穌基督的名求
[00:02:30.780 --> 00:02:31.800]  Amen
[00:02:31.800 --> 00:02:33.340]  好
[00:02:33.340 --> 00:02:38.200]  那我想我就不和大家講一些
[00:02:38.200 --> 00:02:40.240]  開場白了
