
[00:00:00.000 --> 00:00:04.720]  我們一起思想馴服和榮耀之間的關係
[00:00:04.720 --> 00:00:07.080]  當說到榮耀的時候
[00:00:07.080 --> 00:00:09.720]  可能大家會想起很多不同的場景
[00:00:09.720 --> 00:00:13.400]  人在當中得著稱讚、得著榮耀
[00:00:13.400 --> 00:00:18.040]  很多時候你看一些運動會
[00:00:18.040 --> 00:00:20.800]  到尾聲的時候有頒獎禮
[00:00:20.800 --> 00:00:26.080]  很多運動員站在獎台上拿獎的時刻
[00:00:26.080 --> 00:00:27.760]  特別是奧運會的時候
[00:00:27.760 --> 00:00:29.160]  大家都有深刻的印象
[00:00:29.160 --> 00:00:32.000]  就是當運動員站在獎台上
[00:00:32.000 --> 00:00:37.600]  然後有人將很漂亮的獎牌加在他們身上
[00:00:37.600 --> 00:00:39.720]  然後他們很感動地
[00:00:39.720 --> 00:00:42.640]  望著自己國家的國旗隨隨升高
[00:00:42.640 --> 00:00:44.960]  然後大家一起聽
[00:00:44.960 --> 00:00:49.040]  唱頌出、歌頌出他們國家的國歌
[00:00:49.040 --> 00:00:52.840]  這段時間好像全世界的目光
[00:00:52.840 --> 00:00:56.000]  集中在這些得勝者的身上
[00:00:56.280 --> 00:00:59.480]  一個很光榮、一個很滿足的時刻
[00:00:59.480 --> 00:01:02.240]  我想大家都會體會
[00:01:02.240 --> 00:01:06.320]  其實人內心是會渴望得到榮耀的
[00:01:06.320 --> 00:01:10.200]  人的內心很想得到人的肯定
[00:01:10.200 --> 00:01:12.080]  別人的誇讚
[00:01:12.080 --> 00:01:14.560]  別人給自己的光彩
[00:01:14.560 --> 00:01:17.600]  沒錯,人有這樣的渴望
[00:01:17.600 --> 00:01:19.760]  聖經也有說到榮耀
[00:01:19.760 --> 00:01:21.800]  但聖經所說的榮耀
[00:01:21.800 --> 00:01:24.360]  不是人給人的榮耀
[00:01:24.800 --> 00:01:28.440]  是說到神給人的榮耀
[00:01:28.440 --> 00:01:31.080]  而神給人的榮耀
[00:01:31.080 --> 00:01:35.440]  這條路徑不是從人方面得到
[00:01:35.440 --> 00:01:38.400]  而是當人願意去馴服上帝
[00:01:38.400 --> 00:01:40.720]  在馴服的過程當中
[00:01:40.720 --> 00:01:44.040]  神賜下他給人的榮耀
[00:01:44.040 --> 00:01:46.520]  因此當我們看到主耶穌
[00:01:46.520 --> 00:01:49.120]  祂願意來到耶路撒冷
[00:01:49.120 --> 00:01:53.040]  接受其中所承受的羞辱和痛苦
[00:01:53.160 --> 00:01:55.160]  在這條馴服的路上
[00:01:55.160 --> 00:01:58.840]  祂清楚領受上帝給祂的榮耀
[00:01:58.840 --> 00:02:02.200]  而祂呼籲所有信靠祂的人
[00:02:02.200 --> 00:02:03.520]  祂在哪裡
[00:02:03.520 --> 00:02:06.440]  跟隨祂的人都當在哪裡
[00:02:06.440 --> 00:02:08.720]  走這條馴服的路
[00:02:08.720 --> 00:02:11.680]  因此我們從這個角度思想
[00:02:11.680 --> 00:02:13.600]  主耶穌進入耶路撒冷
[00:02:13.600 --> 00:02:16.120]  這段重要的聖經記載
[00:02:16.120 --> 00:02:17.320]  大家一起看看
[00:02:17.320 --> 00:02:20.760]  在聖經《約翰福音》第十二章第十二節
[00:02:22.400 --> 00:02:25.280]  當時很多人來到去擁戴耶穌
[00:02:25.280 --> 00:02:27.040]  但你小心讀的時候就發覺
