
[00:00:00.000 --> 00:00:02.000]  弟孫姊妹平安
[00:00:02.000 --> 00:00:10.000]  來到這裡特別的覺得有溫馨的感覺
[00:00:10.000 --> 00:00:17.000]  因為其實我自己的教會也是希伯倫的那個菜會
[00:00:17.000 --> 00:00:21.000]  或者是後來的宣導菜會的同一個系列
[00:00:21.000 --> 00:00:25.000]  其實我幾十年以前已經來這裡開會
[00:00:25.000 --> 00:00:29.000]  今天還看見我中學的一個師兄
[00:00:29.000 --> 00:00:34.000]  所以特別覺得有一種溫馨的感覺
[00:00:34.000 --> 00:00:40.000]  很感謝主讓我有這個機會來這裡征道
[00:00:40.000 --> 00:00:45.000]  我的講題就是教會的定海神針
[00:00:45.000 --> 00:00:49.000]  我相信你們的古典文學
[00:00:49.000 --> 00:00:53.000]  中國的古典文學一定比我好
[00:00:53.000 --> 00:00:57.000]  你們都會認識這裡的出去
[00:00:57.000 --> 00:01:00.000]  定海神針哪裡出來的?
[00:01:00.000 --> 00:01:05.000]  西遊記當然你們看過了
[00:01:05.000 --> 00:01:07.000]  我都沒有看過
[00:01:07.000 --> 00:01:09.000]  我是念外國文學的
[00:01:09.000 --> 00:01:13.000]  所以很多中國的東西我都慢慢學
[00:01:13.000 --> 00:01:15.000]  要慢慢學
[00:01:15.000 --> 00:01:23.000]  當然定海神針就是虛無空的金箍棒
[00:01:23.000 --> 00:01:29.000]  可以在海浪很大的任何情況下
[00:01:29.000 --> 00:01:32.000]  它都可以穩定這個海
[00:01:32.000 --> 00:01:35.000]  那麼我們想一下
[00:01:35.000 --> 00:01:41.000]  我們教會裡面的定海神針又是什麼呢?
[00:01:41.000 --> 00:01:48.000]  我覺得波蘭的教會歷史可以給我們一點啟示
[00:01:54.000 --> 00:01:57.000]  波蘭都是天主教會
[00:01:57.000 --> 00:02:02.000]  當前蘇聯入侵波蘭的時候
[00:02:02.000 --> 00:02:07.000]  有一位牧者
[00:02:07.000 --> 00:02:12.000]  他又是團結工會的一個牧者
[00:02:12.000 --> 00:02:16.000]  又是顧問
[00:02:16.000 --> 00:02:26.000]  這位牧師寫過一些東西我以前看過
[00:02:26.000 --> 00:02:28.000]  他說什麼呢?
[00:02:28.000 --> 00:02:32.000]  他說在一個被外國軍隊霸佔的地方
[00:02:32.000 --> 00:02:35.000]  首先不是要去改革社會
[00:02:35.000 --> 00:02:41.000]  你知道他們波蘭教會天主教會是很參與社會改革的
[00:02:41.000 --> 00:02:45.000]  可是他說不是先去改革社會
[00:02:45.000 --> 00:02:53.000]  因為外敵也會設法來影響教會 滲透教會
[00:02:53.000 --> 00:03:00.000]  所以穩妥的做法是首先保持教會的團結
[00:03:00.000 --> 00:03:07.000]  首先是教會的團結
[00:03:07.000 --> 00:03:21.000]  其實不單是這位牧者他自己親自的體會
[00:03:21.000 --> 00:03:27.000]  也是耶穌基督他被抓之前 受害之前
[00:03:27.000 --> 00:03:31.000]  他在跟使徒分離之前
[00:03:31.000 --> 00:03:35.000]  最後的禱告的核心內容
[00:03:35.000 --> 00:03:42.000]  所以我今天就會從約翰福音17章
[00:03:42.000 --> 00:03:46.000]  有解經家說是大濟西的禱告
[00:03:46.000 --> 00:03:51.000]  抽一些經文跟大家分享
[00:03:51.000 --> 00:04:01.000]  首先我們看見在17章裡面
[00:04:01.000 --> 00:04:08.000]  有四次耶穌提過和而為一
[00:04:08.000 --> 00:04:12.000]  那我就讀給大家聽
[00:04:12.000 --> 00:04:13.000]  11節
[00:04:13.000 --> 00:04:19.000]  從今以後我不在世上 他們卻在世上
[00:04:19.000 --> 00:04:23.000]  我望你哪裡去 聖父啊
[00:04:23.000 --> 00:04:28.000]  求你依你所賜給我的名 保守他們
[00:04:28.000 --> 00:04:35.000]  叫他們和而為一 像我們一樣
[00:04:35.000 --> 00:04:37.000]  21節
[00:04:37.000 --> 00:04:43.000]  使他們都和而為一 正如你父在我裡面
[00:04:43.000 --> 00:04:48.000]  我在你裡面 使他們也在我們裡面
[00:04:48.000 --> 00:04:53.000]  叫詩人可以信你 拆了我來
[00:04:53.000 --> 00:04:54.000]  22節
[00:04:54.000 --> 00:04:59.000]  你所賜給我的榮耀 我已賜給他們
[00:04:59.000 --> 00:05:04.000]  使他們和而為一 像我們和而為一
[00:05:04.000 --> 00:05:05.000]  23節
[00:05:05.000 --> 00:05:08.000]  我在他們裡面 你在我裡面
[00:05:08.000 --> 00:05:13.000]  使他們完完全全的和而為一
[00:05:13.000 --> 00:05:16.000]  叫詩人都知道你拆了我來
[00:05:16.000 --> 00:05:22.000]  也知道你愛他們 如同愛我一樣
[00:05:22.000 --> 00:05:25.000]  在這裡很清楚
[00:05:25.000 --> 00:05:29.000]  每一節提到和而為一的時候
[00:05:29.000 --> 00:05:34.000]  耶穌基督都提像我跟你
[00:05:34.000 --> 00:05:36.000]  祂是向聖父禱告
[00:05:36.000 --> 00:05:40.000]  我跟聖父和而為一一樣
[00:05:40.000 --> 00:05:50.000]  原來我們和而為一的基礎
[00:05:50.000 --> 00:05:58.000]  就是三一神的合一
[00:05:58.000 --> 00:06:02.000]  三一真神的合一
[00:06:02.000 --> 00:06:07.000]  是我們基督教信仰的核心
[00:06:07.000 --> 00:06:16.000]  一些異端就不講三一真神
[00:06:16.000 --> 00:06:24.000]  其實三一神這個詞
[00:06:24.000 --> 00:06:26.000]  Holy Trinity
[00:06:26.000 --> 00:06:31.000]  三一神這個詞在聖經裡面沒有提過
[00:06:31.000 --> 00:06:35.000]  可是從舊約聖經到新約聖經
[00:06:35.000 --> 00:06:38.000]  以及神的啟示
[00:06:38.000 --> 00:06:43.000]  都是告訴我們神是獨一的真神
[00:06:43.000 --> 00:06:50.000]  可是呢 神又是有三個位格的
[00:06:50.000 --> 00:06:54.000]  又是有三個位格的
[00:06:54.000 --> 00:06:57.000]  這裡沒有pointer
[00:06:57.000 --> 00:07:01.000]  就好像你們看到這個盾牌
[00:07:01.000 --> 00:07:05.000]  這個盾牌中間deal就是神
[00:07:05.000 --> 00:07:13.000]  然後有三個間 左上就是father
[00:07:13.000 --> 00:07:16.000]  神是聖父
[00:07:16.000 --> 00:07:21.000]  然後右邊上面的神是聖子
[00:07:21.000 --> 00:07:28.000]  然後下面的那個間就是神是聖靈
[00:07:28.000 --> 00:07:31.000]  所以又是獨一的神
[00:07:31.000 --> 00:07:36.000]  可是又有三個位格
[00:07:36.000 --> 00:07:42.000]  他不是說神是在不同的時間
[00:07:42.000 --> 00:07:45.000]  有不同的形態的表現
[00:07:45.000 --> 00:07:47.000]  不是這裡 不是這樣子的
[00:07:47.000 --> 00:07:51.000]  就好像是耶穌受洗的時候
[00:07:51.000 --> 00:07:52.000]  你還記得嗎
[00:07:52.000 --> 00:07:56.000]  他受洗的時候有什麼降臨
[00:07:56.000 --> 00:07:59.000]  聖靈降臨在他身上
[00:07:59.000 --> 00:08:02.000]  然後天上有什麼聲音說
[00:08:02.000 --> 00:08:06.000]  這是我愛子 我所喜悅的
[00:08:06.000 --> 00:08:09.000]  所以聖父 聖子 聖靈
[00:08:09.000 --> 00:08:15.000]  在耶穌受洗的時候是一起的 相見的
[00:08:15.000 --> 00:08:18.000]  然後這個盾呢
[00:08:18.000 --> 00:08:21.000]  還有就是連起來的
[00:08:21.000 --> 00:08:23.000]  是連起來的
[00:08:23.000 --> 00:08:25.000]  連起來他說什麼呢
[00:08:25.000 --> 00:08:28.000]  就是聖父不是聖子
[00:08:28.000 --> 00:08:30.000]  聖子不是聖靈
[00:08:30.000 --> 00:08:36.000]  聖靈不是聖父
[00:08:36.000 --> 00:08:46.000]  所以他們有獨立的位格
[00:08:46.000 --> 00:08:59.000]  你再想像如果神是人想像出來的神呢
