
[00:00:00.000 --> 00:00:02.000]  大家好 我是Christina
[00:00:02.000 --> 00:00:04.000]  來自香港中文大學
[00:00:04.000 --> 00:00:06.000]  崇基學院 神學院
[00:00:06.000 --> 00:00:10.000]  我想和大家介紹一本書
[00:00:10.000 --> 00:00:13.000]  《香港研究作為方法》
[00:00:13.000 --> 00:00:15.000]  由G.耀慧博士
[00:00:15.000 --> 00:00:20.000]  在2016年中華書局出版
[00:00:20.000 --> 00:00:22.000]  這本書有什麼特色呢
[00:00:22.000 --> 00:00:24.000]  從文化研究的角度
[00:00:24.000 --> 00:00:28.000]  去看96年至今
[00:00:28.000 --> 00:00:32.000]  回到96年至2014年
[00:00:32.000 --> 00:00:35.000]  的一些作品
[00:00:35.000 --> 00:00:40.000]  探討香港作為方法的特色
[00:00:40.000 --> 00:00:42.000]  裡面分三部分
[00:00:42.000 --> 00:00:45.000]  包括哪個定義的香港
[00:00:45.000 --> 00:00:47.000]  他們在用什麼方法
[00:00:47.000 --> 00:00:49.000]  和本土主義
[00:00:49.000 --> 00:00:54.000]  混雜文化之間存在的張力
[00:00:54.000 --> 00:00:56.000]  這本書有趣的地方
[00:00:56.000 --> 00:01:01.000]  就是想嘗試打破過去二元的觀念
[00:01:01.000 --> 00:01:05.000]  一是從西 二是從東
[00:01:05.000 --> 00:01:09.000]  就是東西之間的文化張力
[00:01:09.000 --> 00:01:14.000]  又或者是從傳統和現代之間的張力
[00:01:14.000 --> 00:01:18.000]  提出我們要進入一個
[00:01:18.000 --> 00:01:21.000]  香港的歷史處境
[00:01:21.000 --> 00:01:28.000]  拆除了後設的想法
[00:01:28.000 --> 00:01:31.000]  包括國族主義和殖民主義
[00:01:31.000 --> 00:01:38.000]  再回到當時香港的處境和歷史
[00:01:38.000 --> 00:01:42.000]  去講述當時的意義在哪裡
[00:01:42.000 --> 00:01:45.000]  整個學術研究裡
[00:01:45.000 --> 00:01:48.000]  我要提出香港的研究
[00:01:48.000 --> 00:01:51.000]  本身在2019年之前
[00:01:51.000 --> 00:01:54.000]  充滿了很多邊緣性
[00:01:54.000 --> 00:01:59.000]  第一 他們進入不了國際學術的討論
[00:01:59.000 --> 00:02:01.000]  第二 香港的討論
[00:02:01.000 --> 00:02:08.000]  通常被歸納在中國的研究範圍裡
[00:02:08.000 --> 00:02:12.000]  香港很少在一個獨立的議題裡
[00:02:12.000 --> 00:02:13.000]  重新發言
[00:02:13.000 --> 00:02:15.000]  香港作為方法
[00:02:15.000 --> 00:02:20.000]  可以讓我們重新在基督教研究裡
[00:02:20.000 --> 00:02:22.000]  有三部分的理解
[00:02:22.000 --> 00:02:27.000]  第一 我們可以從處境神學
[00:02:27.000 --> 00:02:30.000]  一個後殖民理論的角度裡
[00:02:30.000 --> 00:02:33.000]  去看社會文化的變遷
[00:02:33.000 --> 00:02:38.000]  從而去看神學的新想像和反省
[00:02:38.000 --> 00:02:41.000]  第二 可以讓我們重新理解
[00:02:41.000 --> 00:02:44.000]  香港人身份的糾結問題
[00:02:44.000 --> 00:02:49.000]  第三 如果我們從香港基督教歷史的角度裡
[00:02:49.000 --> 00:02:52.000]  我們就要回到當時的語境
[00:02:52.000 --> 00:02:54.000]  當時的處境裡
[00:02:54.000 --> 00:02:58.000]  重新思考當時的社會狀況和意義
[00:02:58.000 --> 00:03:02.000]  我相信香港作為方法
[00:03:02.000 --> 00:03:05.000]  可以成為我們接下來
[00:03:05.000 --> 00:03:08.000]  在香港基督教的研究裡
[00:03:08.000 --> 00:03:10.000]  有很多參考的價值
[00:03:10.000 --> 00:03:11.000]  要交代一點
[00:03:11.000 --> 00:03:13.000]  關於香港作為方法的背景
[00:03:13.000 --> 00:03:17.000]  最早提出這個說法的就是陳冠中
[00:03:17.000 --> 00:03:19.000]  他大概在2004年
[00:03:19.000 --> 00:03:25.000]  他已經是用一個香港文化的混雜性
[00:03:25.000 --> 00:03:29.000]  去提出香港作為方法來做討論
[00:03:29.000 --> 00:03:33.000]  在雨傘運動差不多結束之後
[00:03:33.000 --> 00:03:35.000]  在2014年的12月
[00:03:35.000 --> 00:03:39.000]  香港大學就舉辦了一個
[00:03:39.000 --> 00:03:41.000]  香港作為方法的國際研討會
[00:03:41.000 --> 00:03:44.000]  當時陳冠中和李毆帆
[00:03:44.000 --> 00:03:46.000]  就有一個公開講座
[00:03:46.000 --> 00:03:49.000]  關於香港研究作為方法
[00:03:49.000 --> 00:03:55.000]  其中他講座的關心和他們的提出
[00:03:55.000 --> 00:03:58.000]  就輯錄在這本書裡
[00:03:58.000 --> 00:04:00.000]  《香港研究作為方法》
[00:04:00.000 --> 00:04:04.000]  去講他們的理解和看法
[00:04:04.000 --> 00:04:07.000]  而去到2016年
[00:04:07.000 --> 00:04:12.000]  香港大學的朱耀偉教授
[00:04:12.000 --> 00:04:17.000]  就輯錄了這本書
[00:04:17.000 --> 00:04:20.000]  是一個中文的著作
[00:04:20.000 --> 00:04:24.000]  去提出香港研究作為方法的可能性
[00:04:24.000 --> 00:04:30.000]  多謝您收睇時局新聞,再會!

