
[00:00:00.000 --> 00:00:04.000]  大家這段日子常常看很多電視
[00:00:04.000 --> 00:00:07.000]  都會看很多關於奧運的消息
[00:00:07.000 --> 00:00:09.000]  我記得今早早堂之後
[00:00:09.000 --> 00:00:12.000]  有位弟兄他就很快就走去天橋那邊
[00:00:12.000 --> 00:00:15.000]  我就問他去哪裏
[00:00:15.000 --> 00:00:18.000]  他說趕著回家看奧運
[00:00:18.000 --> 00:00:22.000]  這段時間大家都有很多興奮的感受
[00:00:22.000 --> 00:00:24.000]  見到我們中國人拿了很多金牌
[00:00:24.000 --> 00:00:28.000]  在當中都為中國的成績來自豪
[00:00:28.000 --> 00:00:31.000]  但同時這段時間大家都會體會到
[00:00:31.000 --> 00:00:33.000]  有些地方值得我們反省
[00:00:33.000 --> 00:00:36.000]  特別大家都會記得在開幕禮的時候
[00:00:36.000 --> 00:00:39.000]  那些造假的片段
[00:00:39.000 --> 00:00:43.000]  我們看報紙才知道原來天籟的同音
[00:00:43.000 --> 00:00:48.000]  原來唱歌的人和唱的聲音是兩個人
[00:00:48.000 --> 00:00:50.000]  大家都知道
[00:00:50.000 --> 00:00:53.000]  一看報紙才發覺好像被欺騙了
[00:00:53.000 --> 00:00:55.000]  原來是造假的
[00:00:55.000 --> 00:01:00.000]  又看到那些竹人從遠處一路的煙花
[00:01:00.000 --> 00:01:05.000]  放出來很美妙地去到運動場
[00:01:05.000 --> 00:01:08.000]  但後來才知道原來這麼美的煙花
[00:01:08.000 --> 00:01:10.000]  是電腦的技術
[00:01:10.000 --> 00:01:12.000]  是造假的
[00:01:12.000 --> 00:01:14.000]  看到的時候都有很多的感受
[00:01:14.000 --> 00:01:17.000]  但當然很多的負責人就公開地來解釋
[00:01:17.000 --> 00:01:19.000]  很多不同的原因解釋
[00:01:19.000 --> 00:01:23.000]  然後才知道我們是有理由這樣做的
[00:01:23.000 --> 00:01:26.000]  是必須要這樣做的
[00:01:26.000 --> 00:01:29.000]  是合理的造假
[00:01:29.000 --> 00:01:31.000]  所以難怪有些時候你會發覺
[00:01:31.000 --> 00:01:33.000]  中國人有一種很出名的地方
[00:01:33.000 --> 00:01:37.000]  就是出名有假貨
[00:01:37.000 --> 00:01:39.000]  很多時候看新聞都聽到很多假的物品
[00:01:39.000 --> 00:01:43.000]  假的貨品在市面上流傳
[00:01:43.000 --> 00:01:48.000]  當人去面對承認那些問題的時候
[00:01:48.000 --> 00:01:51.000]  就不會有動機去改變
[00:01:51.000 --> 00:01:53.000]  有些時候我們都想
[00:01:53.000 --> 00:01:55.000]  在神面前當我們祈禱的時候
[00:01:55.000 --> 00:01:58.000]  我們實際上沒有什麼可以在神面前隱瞞的
[00:01:58.000 --> 00:02:02.000]  我們不可以將一件事放在神面前
[00:02:02.000 --> 00:02:04.000]  但背後的心是不純正
[00:02:04.000 --> 00:02:06.000]  神知道的
[00:02:06.000 --> 00:02:09.000]  沒有什麼可以在神面前造假的
[00:02:09.000 --> 00:02:11.000]  因此有些時候當我們祈禱的時候
[00:02:11.000 --> 00:02:13.000]  以為很有理由求一件事
[00:02:13.000 --> 00:02:15.000]  甚至向神說是有理由的
[00:02:15.000 --> 00:02:16.000]  是必須要這樣做的
[00:02:16.000 --> 00:02:19.000]  神說你這樣成全
[00:02:19.000 --> 00:02:21.000]  直至到聖靈光照我們的心
[00:02:21.000 --> 00:02:25.000]  看見我們自己內心的動機不純正
[00:02:25.000 --> 00:02:27.000]  在那時候我們悔改
[00:02:27.000 --> 00:02:29.000]  神就赦免我們
[00:02:29.000 --> 00:02:32.000]  然後賜給我們正直的心去祈禱
[00:02:32.000 --> 00:02:35.000]  而神就應允我們禱告
