
[00:00:00.000 --> 00:00:05.320]  而我繼續會分享今年2022年在土告領袖
[00:00:05.320 --> 00:00:08.880]  透過十屆的訊息和大家分享
[00:00:08.880 --> 00:00:14.080]  為什麼呢?因為這個世代或者教會
[00:00:14.080 --> 00:00:17.400]  或者去到凱兒加我們教會
[00:00:17.400 --> 00:00:20.120]  都面對要擴展、擴堂
[00:00:20.120 --> 00:00:23.120]  或者在這個新世代的衝擊下
[00:00:23.120 --> 00:00:24.640]  新的階段
[00:00:24.640 --> 00:00:28.920]  就好比昔日以色列人進入迦南地
[00:00:28.920 --> 00:00:34.440]  他們要準備他們去到神賜福應許的地方
[00:00:34.440 --> 00:00:40.240]  並且他們要按著神吩咐的律法誡明
[00:00:40.240 --> 00:00:43.080]  去遵守、塑造他們的生命
[00:00:43.080 --> 00:00:46.040]  好像立國憲章一樣
[00:00:46.040 --> 00:00:48.840]  十誡他和上帝的律法
[00:00:48.840 --> 00:00:52.600]  到新約天國的大憲章就是登山補訓
[00:00:52.600 --> 00:01:00.520]  耶穌更加將律法的精義、豐富去解說
[00:01:00.520 --> 00:01:04.040]  我們希望今年和大家分享
[00:01:04.040 --> 00:01:08.080]  透過十屆很重要的訊息
[00:01:08.080 --> 00:01:10.720]  去建構我們信仰的生命
[00:01:10.720 --> 00:01:12.360]  以致我們預備了生命
[00:01:12.360 --> 00:01:17.360]  才能夠承載神吩咐我們要承擔所做的工作
[00:01:17.360 --> 00:01:21.840]  過去幾個月一至三屆很清楚說到
[00:01:21.840 --> 00:01:25.240]  神上主對信仰有一個很重要的核心基礎
[00:01:25.240 --> 00:01:27.160]  第四屆上個月很特別
[00:01:27.160 --> 00:01:28.600]  如果你留意
[00:01:28.600 --> 00:01:30.320]  是一個很巧妙
[00:01:30.320 --> 00:01:33.440]  是守安息日的吩咐
[00:01:33.440 --> 00:01:36.360]  是敬畏神為本的信仰精義
[00:01:36.360 --> 00:01:41.760]  但是安息日是以尊重人為用的實踐
[00:01:41.760 --> 00:01:45.440]  就好像剛剛的兩個面向去展示
[00:01:45.440 --> 00:01:46.800]  轉接下來
[00:01:46.800 --> 00:01:51.320]  去提到創造的秩序和拯救的重要
[00:01:51.320 --> 00:01:57.560]  有時候六八感覺令人要遵守也不容易
[00:01:57.560 --> 00:02:01.360]  總比我們現在很辛苦
[00:02:01.360 --> 00:02:03.040]  面對朝令夕改
[00:02:03.040 --> 00:02:06.080]  不同的時間又有新的政策
[00:02:06.080 --> 00:02:07.360]  又繁複又沉
[00:02:07.360 --> 00:02:11.640]  不過我和身邊的人最近都提醒
[00:02:11.640 --> 00:02:15.320]  安息日上個月去思想時
[00:02:15.320 --> 00:02:17.120]  安息日是為人
[00:02:17.120 --> 00:02:18.960]  人為了安息日
[00:02:18.960 --> 00:02:20.040]  一樣而已
[00:02:20.040 --> 00:02:23.200]  甚麼措施安心出行
[00:02:23.200 --> 00:02:24.240]  是為了甚麼
[00:02:24.240 --> 00:02:27.640]  是為了人的安全或有關
[00:02:27.640 --> 00:02:30.120]  我們人不是為了這些措施生活
[00:02:30.120 --> 00:02:32.280]  所以不要搞亂我們
[00:02:32.280 --> 00:02:35.520]  無論你的生活是麻煩了
[00:02:35.520 --> 00:02:36.760]  好像多了工作
[00:02:36.760 --> 00:02:40.480]  但我們回到家去敬拜也是一樣
[00:02:40.480 --> 00:02:42.680]  核心都是對準神
[00:02:42.680 --> 00:02:44.040]  不要影響我們的心情
[00:02:44.040 --> 00:02:46.960]  雖然知道有些政策影響了
[00:02:46.960 --> 00:02:52.520]  有些弟兄姊妹或身邊的家人的生活
[00:02:52.520 --> 00:02:56.120]  但求神給我們智慧如何補這些不足
[00:02:56.120 --> 00:02:59.000]  因為上帝是那位活的主
[00:02:59.000 --> 00:03:01.080]  信靠上主的核心
[00:03:01.080 --> 00:03:04.040]  進到第五到第十屆
[00:03:04.040 --> 00:03:07.400]  其實就是我們生活的日常關係倫理裏面
[00:03:07.400 --> 00:03:08.800]  很重要
[00:03:08.800 --> 00:03:12.200]  今日的經文可能一讀就很熟的感覺
[00:03:12.200 --> 00:03:15.680]  因為好像很熟悉的東西
