
[00:00:00.000 --> 00:00:02.560]  在我們聚會當中
[00:00:02.560 --> 00:00:06.360]  撒旦能不能工作
[00:00:06.360 --> 00:00:08.640]  能
[00:00:08.640 --> 00:00:12.640]  我們把我們的心向撒旦彎起來
[00:00:12.640 --> 00:00:16.240]  我們的心向聖靈開放
[00:00:16.240 --> 00:00:18.880]  我們對撒旦說不
[00:00:18.880 --> 00:00:21.800]  對我們的主說是
[00:00:21.800 --> 00:00:26.200]  撒旦連我們唱詩的時候都會做功
[00:00:26.200 --> 00:00:28.120]  當我們唱的那首詩
[00:00:28.120 --> 00:00:30.520]  這路不容易走
[00:00:30.520 --> 00:00:35.920]  撒旦跟聖靈說阿們
[00:00:35.920 --> 00:00:39.600]  撒旦又說唱下去唱下去還有副歌
[00:00:39.600 --> 00:00:40.720]  更精彩
[00:00:40.720 --> 00:00:45.400]  副歌這路真是不容易走阿們
[00:00:45.400 --> 00:00:49.560]  這路真是不容易走阿們阿們
[00:00:49.560 --> 00:00:54.200]  那最後他說既然不容易走何苦來
[00:00:54.200 --> 00:00:57.440]  不走了
[00:00:57.440 --> 00:01:01.920]  我們的心很容易單單聽見
[00:01:01.920 --> 00:01:04.880]  撒旦要我們聽見的
[00:01:04.880 --> 00:01:07.920]  感受撒旦要我們感受的
[00:01:07.920 --> 00:01:11.520]  但是聖靈來抬抬我們的肩膀說
[00:01:11.520 --> 00:01:16.240]  你這熟身的人唱下半句
[00:01:16.240 --> 00:01:19.480]  但諸與我同行
[00:01:19.480 --> 00:01:21.840]  我前途光明
[00:01:21.840 --> 00:01:25.520]  祂是我的重擔便為輕省
[00:01:25.520 --> 00:01:28.440]  聖靈說阿們阿們
[00:01:28.440 --> 00:01:30.720]  這個是我們心裡回應
[00:01:30.720 --> 00:01:32.720]  共鳴聖靈的話
[00:01:32.720 --> 00:01:33.680]  許願
[00:01:33.680 --> 00:01:35.920]  雖然這條路難走
[00:01:35.920 --> 00:01:38.320]  甚至真是難走
[00:01:38.320 --> 00:01:41.440]  但是有主與我同行
[00:01:41.440 --> 00:01:43.520]  我前路光明
[00:01:43.520 --> 00:01:46.840]  祂是我的重擔便為輕省
[00:01:46.840 --> 00:01:49.360]  那個時候我們就誇獻了
[00:01:49.360 --> 00:01:52.840]  我們說撒旦退往後面去吧
[00:01:52.840 --> 00:01:56.680]  我們心中的耳朵
[00:01:56.680 --> 00:02:00.680]  單單聽聖靈的聲音
[00:02:00.680 --> 00:02:05.840]  那微小而清楚而確定的聲音
[00:02:05.840 --> 00:02:09.840]  我們願意常常的聽見
[00:02:09.840 --> 00:02:19.280]  當我每次來聚會和散會
[00:02:19.280 --> 00:02:21.120]  回去宿舍的時候
[00:02:21.120 --> 00:02:23.640]  總看見去年人
[00:02:23.640 --> 00:02:26.800]  我看見他們一組一組
[00:02:26.800 --> 00:02:29.840]  一群一群在草地上
[00:02:29.840 --> 00:02:31.320]  在陽光下
[00:02:31.320 --> 00:02:33.400]  在那個廳房裡面
[00:02:33.400 --> 00:02:36.800]  我看見他們我就受感動
[00:02:36.800 --> 00:02:38.200]  弟兄姊妹
[00:02:38.200 --> 00:02:41.240]  不要忘記為他們禱告
[00:02:41.240 --> 00:02:44.520]  他們是教會的第二代
[00:02:44.520 --> 00:02:47.800]  聖靈也可以在他們的心中
[00:02:47.800 --> 00:02:51.320]  生活中大大的深入的
[00:02:51.320 --> 00:02:53.400]  有能力的工作
[00:02:53.400 --> 00:02:56.440]  求主在我們的第二代當中
[00:02:56.440 --> 00:02:58.520]  興起許許多多
[00:02:58.520 --> 00:03:04.200]  信主 愛主 侍奉主 榮耀主的人來
[00:03:04.200 --> 00:03:06.240]  他們太重要了
[00:03:06.240 --> 00:03:07.680]  太寶貴了
[00:03:07.680 --> 00:03:09.040]  太可愛了
[00:03:09.040 --> 00:03:13.240]  我們不能忘記為他們禱告
[00:03:13.240 --> 00:03:16.240]  求神是我們整個的夏令會
[00:03:16.240 --> 00:03:20.040]  成年人 青年人 兒童
[00:03:20.040 --> 00:03:22.240]  都在座的恩中
[00:03:22.240 --> 00:03:25.960]  恩上蒙恩
[00:03:25.960 --> 00:03:29.240]  今天晚上我們繼續在一幅手書裡面
[00:03:29.240 --> 00:03:32.440]  留受聖靈的工作
[00:03:32.440 --> 00:03:36.640]  請先看第二章十三節
[00:03:36.640 --> 00:03:43.360]  第二章十三節
[00:03:43.360 --> 00:03:46.640]  你們從前遠離神的人
[00:03:46.640 --> 00:03:49.440]  如今卻在基督的夜宿裡
[00:03:49.440 --> 00:03:54.440]  靠著祂的血已經得清淨了
[00:03:54.440 --> 00:03:57.240]  我們注意清淨兩個字
[00:03:57.240 --> 00:03:59.640]  清淨神
[00:03:59.640 --> 00:04:03.640]  怎麼得以清淨神呢
[00:04:03.640 --> 00:04:07.040]  就是說我們原來是遠離神的人
[00:04:07.040 --> 00:04:11.840]  但是如今現在在基督的夜宿裡
[00:04:11.840 --> 00:04:14.840]  靠著祂的十字架的寶血
[00:04:14.840 --> 00:04:18.840]  已經得以清淨了
[00:04:18.840 --> 00:04:20.240]  感謝神
[00:04:20.240 --> 00:04:22.840]  這是十字架的寶血
