
[00:00:00.000 --> 00:00:09.500]  今天的信息的題目是「十字架討厭的地方」
[00:00:09.500 --> 00:00:20.000]  請大家翻到加拉太書第五章第十一節
[00:00:20.000 --> 00:00:34.000]  加拉太書五章十一節:弟兄們,我若然救全國你,為甚麼還受逼迫呢?若是這樣那十字架討厭的地方就沒有了
[00:00:34.000 --> 00:00:42.000]  在這裡面有一句很特別的話是司徒保羅講的
[00:00:42.000 --> 00:00:48.000]  這句話就是十字架討厭的地方
[00:00:48.000 --> 00:00:53.000]  我們要從聖經裡面看幾方面
[00:00:53.000 --> 00:00:58.000]  第一,十字架之所以討厭
[00:00:58.000 --> 00:01:08.000]  因為十字架否定了一般宗教的觀念
[00:01:08.000 --> 00:01:13.000]  一般宗教的觀念有甚麼特點呢?
[00:01:13.000 --> 00:01:23.000]  至少有兩個特點,而這兩個特點都是十字架所否定的
[00:01:23.000 --> 00:01:29.000]  第一個特點就是靠善行得救
[00:01:29.000 --> 00:01:38.000]  自己要立功,要靠自己的功勞去博取救恩
[00:01:38.000 --> 00:01:45.000]  第二個特點就是一般的宗教很注重意識
[00:01:45.000 --> 00:01:53.000]  他們的意識和他們所說的救恩是連在一起的
[00:01:53.000 --> 00:02:01.000]  關於這兩點,我們看司徒保羅在加拉太書裡面怎樣講
[00:02:01.000 --> 00:02:08.000]  我們先看加拉太書二章第十六節
[00:02:08.000 --> 00:02:29.000]  (教育記者翻譯)
[00:02:29.000 --> 00:02:32.000]  保羅在這裡說
[00:02:32.000 --> 00:02:37.000]  我們不能因行律法而稱義
[00:02:37.000 --> 00:02:39.000]  他進一步講
[00:02:39.000 --> 00:02:42.000]  凡有血氣的人
[00:02:42.000 --> 00:02:48.000]  沒有一個能夠因行律法而稱義
[00:02:48.000 --> 00:02:52.000]  所以這方面是被否定
[00:02:52.000 --> 00:02:54.000]  保羅告訴我們
[00:02:54.000 --> 00:02:57.000]  我們之所以稱義
[00:02:57.000 --> 00:03:00.000]  是因為信耶穌基督
[00:03:00.000 --> 00:03:03.000]  因信稱義
[00:03:03.000 --> 00:03:08.000]  不是說我們不要善行
