
[00:00:00.000 --> 00:00:12.500]  這一次的大會的重點之一就是敬拜讚美
[00:00:12.500 --> 00:00:18.400]  這是非常好的一個重點
[00:00:18.400 --> 00:00:29.300]  我也看見參加敬拜會的弟兄姊妹們很整齊
[00:00:29.300 --> 00:00:34.700]  我相信這不是偶然的
[00:00:34.700 --> 00:00:41.700]  我們一天的程序是很忙很重
[00:00:41.700 --> 00:00:49.300]  要參加這個敬拜會需要早起來
[00:00:49.300 --> 00:00:52.100]  大家能夠參加出席
[00:00:52.100 --> 00:00:55.700]  這代表大家內心的一件事
[00:01:00.300 --> 00:01:03.300]  我們在末世的時候
[00:01:03.300 --> 00:01:05.300]  靠近七十六
[00:01:05.300 --> 00:01:12.300]  所預言更近的時候
[00:01:12.300 --> 00:01:16.300]  我們想到七十六裡面一個特點就是歌唱
[00:01:16.300 --> 00:01:22.300]  唱新歌
[00:01:22.300 --> 00:01:26.300]  唱新歌在七十六裡面是舊書的歌的意思
[00:01:29.300 --> 00:01:39.300]  但是我相信新的意思還有一個意思
[00:01:39.300 --> 00:01:43.300]  有一個姊妹這樣說
[00:01:43.300 --> 00:01:45.300]  這首是我唱了幾十年了
[00:01:45.300 --> 00:01:49.300]  今天受感動好像是第一次唱
[00:01:49.300 --> 00:01:52.300]  I've sung this hymn for many many years many many times
[00:01:52.300 --> 00:01:55.300]  But today when I sing it as if I'm singing it for the first time
[00:01:55.300 --> 00:01:59.300]  新歌就是從心裡唱的歌
[00:01:59.300 --> 00:02:01.300]  New song is a song you sing with your heart
[00:02:01.300 --> 00:02:03.300]  我們願意在敬拜上
[00:02:03.300 --> 00:02:05.300]  華人的教會的復興
[00:02:05.300 --> 00:02:07.300]  That in our singing our worship
[00:02:07.300 --> 00:02:09.300]  The Chinese Church must be revived
[00:02:09.300 --> 00:02:11.300]  我有一個預感
[00:02:11.300 --> 00:02:14.300]  And I have a sense that you beforehand
[00:02:14.300 --> 00:02:17.300]  華人教會下一次的復興
[00:02:17.300 --> 00:02:22.300]  很可能是從敬拜的復興引發出來的
[00:02:22.300 --> 00:02:27.300]  That the next revival of the Chinese Church may be ushered in by our worship
[00:02:27.300 --> 00:02:31.300]  我發現已經有越來越多的華人教會
[00:02:31.300 --> 00:02:35.300]  開始在敬拜讚美上注重
[00:02:35.300 --> 00:02:37.300]  I feel that the American Chinese Church
