
[00:00:00.000 --> 00:00:03.000]  來到聖經的《但願理書》第六章
[00:00:03.000 --> 00:00:05.760]  你會一路留意到聖經
[00:00:05.760 --> 00:00:08.160]  是一路透過不同的事情
[00:00:08.160 --> 00:00:11.640]  向人介紹神自己
[00:00:11.640 --> 00:00:16.400]  聖經是神自己對人的啟示
[00:00:16.400 --> 00:00:20.040]  特別是啟示他自己是一位怎樣的上帝
[00:00:20.040 --> 00:00:23.440]  而聖經裏面提到神的各種屬性的時候
[00:00:23.440 --> 00:00:26.640]  其中一點是聖經常常重覆地提及
[00:00:27.240 --> 00:00:30.840]  就是這位上帝是信實的神
[00:00:30.840 --> 00:00:33.840]  God is faithful
[00:00:33.840 --> 00:00:35.840]  他是信實的神
[00:00:35.840 --> 00:00:38.440]  亦意味著他所應運的事情
[00:00:38.440 --> 00:00:41.040]  他必定會造成
[00:00:41.040 --> 00:00:44.840]  他應運要設下足夠的恩典
[00:00:44.840 --> 00:00:48.240]  你必能夠得到足夠的恩典
[00:00:48.240 --> 00:00:54.040]  但聖經多數提及人要去經歷神的信實
[00:00:54.040 --> 00:00:56.440]  是必須透過信心
[00:00:57.240 --> 00:01:01.640]  因此人的信心和上帝的信實是接連的
[00:01:01.640 --> 00:01:06.840]  又或者說人的信心和人的信實相遇
[00:01:06.840 --> 00:01:09.640]  當人去信靠神的時候
[00:01:09.640 --> 00:01:12.240]  就真實地去經歷神的信實
[00:01:12.240 --> 00:01:15.240]  有些認識他是信實的神
[00:01:15.240 --> 00:01:18.840]  當我們今天讀到《但願理書》第六章的時候
[00:01:18.840 --> 00:01:20.840]  你會見到一位但願理
[00:01:20.840 --> 00:01:23.640]  他堅定地信靠神
[00:01:24.240 --> 00:01:25.840]  因此在他人生裡
[00:01:25.840 --> 00:01:29.240]  看到神很奇妙地顯出他的信實
[00:01:29.240 --> 00:01:32.240]  而我們都因為他的榜樣
[00:01:32.240 --> 00:01:35.840]  我們更知道這位神是信實的主
[00:01:35.840 --> 00:01:39.240]  第六章大家剛才讀的時候
[00:01:39.240 --> 00:01:41.440]  都會讀到有關的情節
[00:01:41.440 --> 00:01:43.640]  你知道在整個過程當中
[00:01:43.640 --> 00:01:45.640]  現在來到一個新的國家
[00:01:45.640 --> 00:01:47.640]  不再是巴菲倫帝國
[00:01:47.640 --> 00:01:50.440]  去到馬代波斯國
[00:01:50.840 --> 00:01:54.240]  但是這位但願理仍然得到君王的重用
[00:01:54.240 --> 00:02:01.240]  仍然是將他放在一個重要的國家領導的位置
[00:02:01.240 --> 00:02:05.640]  甚至這位君王預備讓他成為全國的首相
[00:02:05.640 --> 00:02:08.440]  統領全國的大大小小的事情
[00:02:08.440 --> 00:02:09.640]  為什麼?
[00:02:09.640 --> 00:02:11.040]  因為清楚
[00:02:11.040 --> 00:02:13.840]  但願理的生命流露出一種美善
[00:02:13.840 --> 00:02:16.840]  《聖經》的六章前面的第三節所說
[00:02:16.840 --> 00:02:19.640]  但願你有美好的名聲
[00:02:20.440 --> 00:02:21.640]  這裡所說的是兩方面
[00:02:21.640 --> 00:02:25.640]  一方面是說到他自己的工作能力是非常之高
[00:02:25.640 --> 00:02:28.640]  很超卓的一種工作能力
[00:02:28.640 --> 00:02:31.440]  第二是說到他的生命裡面有神
[00:02:31.440 --> 00:02:34.240]  在之前五章
[00:02:34.240 --> 00:02:38.640]  這位白沙薩王的太后都曾經說
[00:02:38.640 --> 00:02:42.040]  在他裡面有聖神的靈
[00:02:42.040 --> 00:02:44.240]  行事光明
[00:02:44.240 --> 00:02:47.640]  就算不認識神的人留意到他的生命
[00:02:47.640 --> 00:02:52.640]  也會發覺他裡面有神的形象
[00:02:52.640 --> 00:02:55.040]  好像神特別與他同在
[00:02:55.040 --> 00:02:57.240]  而表現在他的工作上
[00:02:57.240 --> 00:02:58.640]  很多人都察覺到
[00:02:58.640 --> 00:03:01.440]  他的工作不單超卓
[00:03:01.440 --> 00:03:05.640]  也只是在過程中他忠心可靠
[00:03:05.640 --> 00:03:10.240]  經文說到很多人嘗試找他的錯失的時候
[00:03:10.240 --> 00:03:14.840]  就發現他的工作找不到任何的錯誤過失
[00:03:16.040 --> 00:03:18.840]  這位與神很親密的人
[00:03:18.840 --> 00:03:21.840]  表現在他的工作生活上
[00:03:21.840 --> 00:03:24.040]  也是一位可靠的人
[00:03:24.040 --> 00:03:25.840]  一位忠實的人
[00:03:25.840 --> 00:03:29.240]  大家可能都會留意到
[00:03:29.240 --> 00:03:32.040]  這個階段是但願你去到他人生
[00:03:32.040 --> 00:03:34.240]  差不多很後期的階段
[00:03:34.240 --> 00:03:37.440]  這個時候其實他已經八十多歲了
[00:03:37.440 --> 00:03:40.440]  你記得他什麼時候開始來到
[00:03:40.440 --> 00:03:42.440]  被老走離開的呢?
[00:03:43.640 --> 00:03:47.040]  少年時期 相信是十六、七歲的時間
[00:03:47.040 --> 00:03:48.440]  一開始來到的時候
[00:03:48.440 --> 00:03:51.440]  巴比倫的帝國已經清楚表示
[00:03:51.440 --> 00:03:53.440]  他決心向神忠誠
[00:03:53.440 --> 00:03:55.840]  所以不願意接受王的膳食
[00:03:55.840 --> 00:03:56.840]  大家記得嗎?
