
[00:00:00.000 --> 00:00:03.200]  在這段經文之前我想先分享的是
[00:00:03.200 --> 00:00:06.680]  我聽過不少非基督徒
[00:00:06.680 --> 00:00:10.120]  他們曾經表示他們不想信耶穌
[00:00:10.120 --> 00:00:14.400]  原因是他們見過一些壞的榜樣
[00:00:14.400 --> 00:00:17.240]  曾經見過一些基督徒
[00:00:17.240 --> 00:00:21.640]  他們的言語行為很難令他們相信
[00:00:21.640 --> 00:00:23.640]  他們所信的是真神
[00:00:23.640 --> 00:00:26.840]  所以很多時候見到壞榜樣
[00:00:26.840 --> 00:00:29.440]  會難了人去信耶穌
[00:00:29.440 --> 00:00:32.720]  我記得幾年前有一個深刻的經歷
[00:00:32.720 --> 00:00:36.000]  我去到當地需要買一部二手車
[00:00:36.000 --> 00:00:38.920]  去到教會見到教會有些廣告
[00:00:38.920 --> 00:00:40.640]  是一些弟兄姊妹登出來的
[00:00:40.640 --> 00:00:42.120]  我就打電話去問
[00:00:42.120 --> 00:00:43.880]  一位弟兄就跟我說
[00:00:43.880 --> 00:00:46.440]  「是呀,有個二手車可以賣給你」
[00:00:46.440 --> 00:00:48.760]  當他說出價錢的時候
[00:00:48.760 --> 00:00:51.080]  我就知道超過我自己的預算
[00:00:51.080 --> 00:00:53.080]  所以我就打算不買
[00:00:53.080 --> 00:00:54.600]  一位弟兄就跟我說
[00:00:54.600 --> 00:00:56.360]  「不要緊的,可以商量一下」
[00:00:56.360 --> 00:00:57.880]  「價錢就這麼多」
[00:00:57.880 --> 00:01:00.880]  「不過有些方法可以少一點錢」
[00:01:00.880 --> 00:01:03.880]  我就問「是怎樣的方法呢?」
[00:01:03.880 --> 00:01:05.880]  「我們買了之後」
[00:01:05.880 --> 00:01:09.880]  「你就可以向政府申報這件事」
[00:01:09.880 --> 00:01:13.200]  「但我們大家同意把價錢寫低一點」
[00:01:13.200 --> 00:01:16.640]  「你給我錢,不過寫低一點」
[00:01:16.640 --> 00:01:19.120]  「到時候政府打稅的時候」
[00:01:19.120 --> 00:01:21.840]  「按照低一點的價錢打稅」
[00:01:21.840 --> 00:01:23.840]  「你就省了一筆」
[00:01:23.840 --> 00:01:26.800]  大家明白嗎?
[00:01:27.800 --> 00:01:29.440]  我突然間發覺
[00:01:29.440 --> 00:01:31.200]  原來這個基督徒弟兄
[00:01:31.200 --> 00:01:33.200]  正在教我去瞞稅
[00:01:33.200 --> 00:01:37.800]  讓我可以去賣他的車
[00:01:37.800 --> 00:01:40.800]  又讓我可以少一點的付出
[00:01:40.800 --> 00:01:43.200]  我真的想告訴他
[00:01:43.200 --> 00:01:45.200]  我是牧師來的
[00:01:45.200 --> 00:01:49.000]  無論是牧師還是不是牧師
[00:01:49.000 --> 00:01:50.600]  那個不是最關鍵
[00:01:50.600 --> 00:01:53.600]  而是一個真正信神的人
[00:01:53.600 --> 00:01:55.600]  在生活行為上
[00:01:55.600 --> 00:01:59.600]  生活和信仰是不一致的
[00:01:59.600 --> 00:02:01.600]  是互相矛盾的
[00:02:01.600 --> 00:02:03.600]  是不可能讓人知道
[00:02:03.600 --> 00:02:05.600]  這是真正的信仰
[00:02:05.600 --> 00:02:08.600]  因此我很快就放下電話
[00:02:08.600 --> 00:02:09.600]  有些時候你會發覺
[00:02:09.600 --> 00:02:11.600]  當我們的生活行為
[00:02:11.600 --> 00:02:14.600]  不能夠對應我們的信仰
[00:02:14.600 --> 00:02:17.600]  我們就會產生壞的見證
[00:02:17.600 --> 00:02:19.600]  好像一個人在天堂的門口
[00:02:19.600 --> 00:02:21.600]  他不是介紹人去天堂
[00:02:21.600 --> 00:02:23.600]  而是阻礙著路
[00:02:23.600 --> 00:02:25.600]  他不可以進去
[00:02:25.600 --> 00:02:27.600]  有些時候我們要常常提醒自己
[00:02:27.600 --> 00:02:30.600]  我們要見證我們的主
[00:02:30.600 --> 00:02:31.600]  讓我們的生活行為
[00:02:31.600 --> 00:02:35.600]  可以見證尊榮神的道
[00:02:35.600 --> 00:02:37.600]  讓人見到我們的行為的時候
[00:02:37.600 --> 00:02:41.600]  知道我們所信的是真的道理
[00:02:41.600 --> 00:02:44.600]  是永恆的道理
[00:02:44.600 --> 00:02:45.600]  北村家弟兄姊妹
[00:02:45.600 --> 00:02:46.600]  我們互相鼓勵
[00:02:46.600 --> 00:02:49.600]  不要滿足於單單聽道、明道
[00:02:49.600 --> 00:02:52.600]  是能夠見證神的道
[00:02:52.600 --> 00:02:55.600]  這正是今天我們要思想的重要訊息
[00:02:55.600 --> 00:02:57.600]  你看看聖經馬太福音
[00:02:57.600 --> 00:03:00.600]  剛才打開第五章的時候
[00:03:00.600 --> 00:03:03.600]  在第十八節你看看
[00:03:03.600 --> 00:03:06.600]  「我實在告訴你們
[00:03:06.600 --> 00:03:08.600]  就算到天地都廢去
[00:03:08.600 --> 00:03:11.600]  神的話律法的一點一劃
[00:03:11.600 --> 00:03:12.600]  也不能廢去
[00:03:12.600 --> 00:03:14.600]  都要成全
[00:03:14.600 --> 00:03:16.600]  所以無論何人廢掉
[00:03:16.600 --> 00:03:19.600]  這誡命中最少的一條
[00:03:19.600 --> 00:03:21.600]  有教訓人這樣做
[00:03:21.600 --> 00:03:23.600]  他在天國要稱為」
[00:03:23.600 --> 00:03:24.600]  什麼?
[00:03:24.600 --> 00:03:26.600]  「最少的
[00:03:26.600 --> 00:03:28.600]  但無論何人遵行這誡命
[00:03:28.600 --> 00:03:30.600]  有教訓人遵行
[00:03:30.600 --> 00:03:34.600]  他在天國要稱為大的」
[00:03:34.600 --> 00:03:35.600]  聖經很清楚地說
