
[00:00:00.000 --> 00:00:02.340]  講人間的苦難就一定
[00:00:02.340 --> 00:00:04.960]  不會是一個很輕鬆的題目 是不是?
[00:00:04.960 --> 00:00:07.000]  但是如果我們講人間的苦難
[00:00:07.000 --> 00:00:09.200]  一定不會是很輕鬆的題目 對嗎?
[00:00:09.200 --> 00:00:10.780]  你和我這樣的年紀
[00:00:10.780 --> 00:00:13.760]  大家都經歷人生有不同的苦難的時候
[00:00:13.760 --> 00:00:15.560]  你和我這樣的年齡的話
[00:00:15.560 --> 00:00:17.760]  我們經歷人生都會有不同的苦難
[00:00:17.760 --> 00:00:19.560]  有些弟兄姊妹比較熟悉我
[00:00:19.560 --> 00:00:22.400]  就知道在過去我人生都有很多高高低低
[00:00:22.400 --> 00:00:24.080]  很多的經歷
[00:00:24.080 --> 00:00:26.560]  那麼大家熟悉我的弟兄姐妹都會知道
[00:00:26.560 --> 00:00:29.720]  在我過去人生當中都有很多高高低低的經歷
[00:00:29.720 --> 00:00:33.640]  所以我肯定講的題目就不會只是一個理論
[00:00:33.640 --> 00:00:37.080]  所以我今天講的題目不僅僅是會從理論方面去講
[00:00:37.080 --> 00:00:39.800]  其實我自己都在問這個題目
[00:00:39.800 --> 00:00:42.760]  其實我自己都在問這個題目的問題
[00:00:42.760 --> 00:00:46.280]  如果一些不認識我的朋友
[00:00:46.280 --> 00:00:47.760]  如果是有認識我的朋友
[00:00:47.760 --> 00:00:49.400]  你不知道我發生什麼事
[00:00:49.400 --> 00:00:51.000]  你不知道我發生什麼事情
[00:00:51.000 --> 00:00:53.840]  我也都不想很詳細的告訴你
[00:00:53.840 --> 00:00:56.840]  我也不想很詳細的告訴你
[00:00:56.840 --> 00:01:01.560]  就是想告訴你我第一位太太是癌症離開世界
[00:01:01.560 --> 00:01:05.640]  我要告訴你我第一位太太是癌症離開了世界
[00:01:05.640 --> 00:01:07.760]  是我太太癌症離開世界
[00:01:07.760 --> 00:01:11.440]  那年我爸爸也都在醫院
[00:01:11.440 --> 00:01:13.720]  在他的老人院裏面在樓上
[00:01:13.720 --> 00:01:16.400]  那個樓梯跌下來又離開世界
[00:01:16.400 --> 00:01:18.480]  在我太太離世的那一年
[00:01:18.480 --> 00:01:21.480]  我的父親在老人院的樓梯上摔下來
[00:01:21.480 --> 00:01:22.960]  也就離開了世界
[00:01:22.960 --> 00:01:26.360]  兩個之間只是差四個月的時間
[00:01:26.360 --> 00:01:30.000]  他們兩個人之間的事情發生只是差了四個月的時間
[00:01:30.000 --> 00:01:34.480]  連香港那個威爾斯醫院那個死亡證的人都認得我的樣子
[00:01:34.480 --> 00:01:40.400]  連在那個開死亡證的這個機構的人都認得我的樣子
[00:01:40.400 --> 00:01:43.120]  辦完我爸爸的死亡證
[00:01:43.120 --> 00:01:44.880]  辦完我爸爸的死亡證之後
