
[00:00:00.000 --> 00:00:00.680]  各位弟子妹妹
[00:00:00.680 --> 00:00:03.160]  我們今天是父親節
[00:00:03.160 --> 00:00:06.680]  教會每一年都定父親節成為家庭主日
[00:00:06.680 --> 00:00:08.360]  是希望整個家庭
[00:00:08.360 --> 00:00:10.600]  無論是大的小的
[00:00:10.600 --> 00:00:13.120]  一起在神面前敬拜神
[00:00:13.120 --> 00:00:15.320]  一年只有一次兩次機會
[00:00:15.320 --> 00:00:17.040]  全個家庭可以坐在一起
[00:00:17.040 --> 00:00:19.120]  在崇拜當中來敬拜
[00:00:19.120 --> 00:00:22.240]  所以我們當中有不少小朋友在場
[00:00:22.240 --> 00:00:23.960]  我們也很歡迎他們
[00:00:23.960 --> 00:00:28.920]  如果大家聽到一些很純真的聖郎
[00:00:29.320 --> 00:00:30.960]  你也可以很安然地接受
[00:00:30.960 --> 00:00:32.520]  做父母也不需要介意
[00:00:32.520 --> 00:00:34.720]  我們很歡迎小朋友在我們中間
[00:00:34.720 --> 00:00:37.840]  我想問一下我們中間有多少個小朋友
[00:00:37.840 --> 00:00:40.640]  你是在讀幼稚園小學的
[00:00:40.640 --> 00:00:41.920]  你舉手給我看看
[00:00:41.920 --> 00:00:45.160]  哇
[00:00:45.160 --> 00:00:47.760]  在那邊也有很多
[00:00:47.760 --> 00:00:49.880]  在輔堂在課室的我看不見
[00:00:49.880 --> 00:00:51.680]  不過在旁邊的看見的
[00:00:51.680 --> 00:00:54.160]  很歡迎你們
[00:00:54.160 --> 00:00:57.240]  照過往的習慣
[00:00:57.760 --> 00:01:00.520]  在家庭主日師母才會說故事
[00:01:00.520 --> 00:01:03.560]  我告訴小朋友
[00:01:03.560 --> 00:01:05.680]  大朋友也可以聽
[00:01:05.680 --> 00:01:07.760]  一起聽故事
[00:01:07.760 --> 00:01:11.640]  故事說的小朋友讀三年級
[00:01:11.640 --> 00:01:13.040]  叫做小娟
[00:01:13.040 --> 00:01:15.760]  哥哥叫做小準
[00:01:15.760 --> 00:01:19.600]  他們兩個在家裡也經常一起玩
[00:01:19.600 --> 00:01:23.040]  但是小娟很多時候也不太開心
[00:01:23.040 --> 00:01:25.440]  你知道為什麼她不開心嗎?
[00:01:26.480 --> 00:01:28.240]  因為奶奶不喜歡她
[00:01:28.240 --> 00:01:31.240]  奶奶經常說我喜歡兒子不喜歡女兒
[00:01:31.240 --> 00:01:33.120]  所以有些事情
[00:01:33.120 --> 00:01:35.320]  她買一些禮物回來
[00:01:35.320 --> 00:01:37.720]  只是送給哥哥不送給妹妹
[00:01:37.720 --> 00:01:39.720]  不僅如此
[00:01:39.720 --> 00:01:42.880]  奶奶還經常罵小娟
[00:01:42.880 --> 00:01:45.120]  甚至很多人面前罵她
[00:01:45.120 --> 00:01:46.560]  你沒用的
[00:01:46.560 --> 00:01:49.200]  所以小娟很不開心
[00:01:49.200 --> 00:01:50.840]  也很生奶奶的氣
[00:01:50.840 --> 00:01:55.000]  有一次奶奶看見小娟不開心
[00:01:55.280 --> 00:01:57.200]  很想送一份禮物給她
[00:01:57.200 --> 00:02:00.040]  你猜奶奶送什麼禮物給小娟呢?
