
[00:00:00.000 --> 00:00:04.200]  今年教會也希望跟大家再一次思考
[00:00:04.200 --> 00:00:07.200]  祈禱的方向
[00:00:07.200 --> 00:00:10.900]  我們之前也說了祈禱有不同的元素
[00:00:10.900 --> 00:00:12.100]  其中一個元素就是
[00:00:12.100 --> 00:00:14.500]  在禱告當中我們學習感恩
[00:00:14.500 --> 00:00:16.100]  今天希望透過這段經文
[00:00:16.100 --> 00:00:19.700]  再跟大家思考這個主題的內容
[00:00:19.700 --> 00:00:24.100]  我們如何在禱告當中學習感恩呢
[00:00:24.100 --> 00:00:28.100]  這段經文記載在《馬太方案》20章的1至16節
[00:00:28.100 --> 00:00:34.700]  這個比喻可以說只是記載在《馬太福音》這本書中
[00:00:34.700 --> 00:00:39.500]  這個比喻最主要的對象不是那些工人
[00:00:39.500 --> 00:00:41.600]  可以說某種程度上
[00:00:41.600 --> 00:00:45.500]  跟工人沒有一個很嚴格的焦點關係
[00:00:45.500 --> 00:00:47.800]  焦點在哪裡呢?就是他的元主
[00:00:47.800 --> 00:00:50.400]  這個元主很奇妙的恩典
[00:00:50.400 --> 00:00:52.800]  以及他對人的憐憫
[00:00:52.800 --> 00:00:55.900]  在第20章的第一至第二節中這樣說
[00:00:55.900 --> 00:00:58.800]  「因為天國好象,家主清早去
[00:00:58.800 --> 00:01:01.300]  故人進他的葡萄園做工
[00:01:01.300 --> 00:01:04.400]  和工人講應一錢銀紙
[00:01:04.400 --> 00:01:07.300]  就打發他們進葡萄園去」
[00:01:07.300 --> 00:01:08.700]  天國好象
[00:01:08.700 --> 00:01:12.600]  耶穌藉著這個比喻去說天國的道理
[00:01:12.600 --> 00:01:17.100]  就是上帝跟人之間的直接關係的一些內容
[00:01:17.100 --> 00:01:20.000]  耶穌之後說了一個比喻
[00:01:20.000 --> 00:01:23.800]  這個比喻就是講工人跟僱主的關係
[00:01:23.800 --> 00:01:27.200]  在當時來說,如果不計算休息的時間
[00:01:27.200 --> 00:01:30.900]  正常的工作時間大約是十個小時左右
[00:01:30.900 --> 00:01:32.700]  在這個比喻裏面
[00:01:32.700 --> 00:01:35.800]  這個家主大約在早上六點鐘
[00:01:35.800 --> 00:01:39.400]  就出去市集裏面找第一批工人
[00:01:39.400 --> 00:01:42.300]  並且跟他們講定這個工錢
[00:01:42.300 --> 00:01:45.000]  工錢就是一天一千銀紙
[00:01:45.000 --> 00:01:49.900]  這個都是當時做散工的正常工資
[00:01:49.900 --> 00:01:52.400]  然後找了第一批工人
[00:01:52.400 --> 00:01:54.000]  接著第三節第七節
[00:01:54.000 --> 00:01:56.300]  繼續陸陸續續找不同
[00:01:56.300 --> 00:01:59.200]  在不同時間裏面找不同的工人
[00:01:59.200 --> 00:02:01.300]  進入葡萄園裏面工作
[00:02:01.300 --> 00:02:02.600]  第三節這樣說
[00:02:02.600 --> 00:02:04.800]  「若在自初出去
[00:02:04.800 --> 00:02:07.500]  看見市上還有閒暫的人
[00:02:07.500 --> 00:02:08.900]  就對他們說
[00:02:08.900 --> 00:02:10.700]  『你們也進葡萄園去
[00:02:10.700 --> 00:02:13.200]  所給的我必給你們』
[00:02:13.200 --> 00:02:14.700]  他們也進去了
[00:02:14.700 --> 00:02:17.800]  若在五正和新初又出去
[00:02:17.800 --> 00:02:19.300]  也是這樣行
[00:02:19.300 --> 00:02:21.600]  若在有初出去
[00:02:21.600 --> 00:02:24.200]  看見還有人站在那裏
[00:02:24.200 --> 00:02:25.600]  就問他們說
[00:02:25.600 --> 00:02:29.100]  『你們為甚麼整天在這裏閒站呢』
[00:02:29.100 --> 00:02:30.100]  他們說
[00:02:30.100 --> 00:02:31.700]  『因為沒有人顧我們』
[00:02:31.700 --> 00:02:34.800]  他說『你們也進葡萄園去』
[00:02:34.800 --> 00:02:36.500]  從黎明到日落
[00:02:36.500 --> 00:02:40.200]  大約這十二個小時的時間
[00:02:40.200 --> 00:02:43.900]  可以說是六點鐘、九點鐘、五正
[00:02:43.900 --> 00:02:45.700]  去到五點鐘
[00:02:45.700 --> 00:02:49.000]  這個不同的時間
[00:02:49.000 --> 00:02:51.300]  這個原主去到這個市集裏面
