
[00:00:00.000 --> 00:00:03.000]  《費利比書》2章5-9節
[00:00:03.000 --> 00:00:08.000]  你們當以基督耶穌的心為心
[00:00:08.000 --> 00:00:10.000]  祂本有上帝的形象
[00:00:10.000 --> 00:00:14.000]  卻不堅持自己與上帝同等
[00:00:14.000 --> 00:00:16.000]  反倒虛己
[00:00:16.000 --> 00:00:20.000]  取那奴僕的形象成為人的樣式
[00:00:20.000 --> 00:00:23.000]  既有人的樣子就謙卑自己
[00:00:23.000 --> 00:00:26.000]  存心順服 以致於死
[00:00:26.000 --> 00:00:29.000]  且死在實際架上
[00:00:29.000 --> 00:00:32.000]  所以上帝把他升為至高
[00:00:32.000 --> 00:00:35.000]  又賜給他超乎萬名之上的名
[00:00:35.000 --> 00:00:37.000]  這是上帝的話
[00:00:38.000 --> 00:00:41.000]  各位弟兄姊妹早安
[00:00:41.000 --> 00:00:44.000]  謝謝基隆邀請我跟大家來講道
[00:00:44.000 --> 00:00:45.000]  還是用普通話
[00:00:45.000 --> 00:00:47.000]  我是第一道的三個人
[00:00:47.000 --> 00:00:49.000]  所以就很抛愜
[00:00:49.000 --> 00:00:51.000]  我的普通話不是很標準
[00:00:51.000 --> 00:00:53.000]  所以有句話說
[00:00:53.000 --> 00:00:55.000]  天不怕地不怕
[00:00:55.000 --> 00:00:57.000]  最怕三個人說普通話
[00:00:57.000 --> 00:01:00.000]  希望今天沒有那麼可怕吧
[00:01:00.000 --> 00:01:04.000]  那我們今天談的一個題目就是
[00:01:04.000 --> 00:01:09.000]  怎麼封殺自我 謙卑自我
[00:01:09.000 --> 00:01:12.000]  我就是在基隆
[00:01:12.000 --> 00:01:13.000]  我以前的學生
[00:01:13.000 --> 00:01:15.000]  我現在還是在經會大學
[00:01:15.000 --> 00:01:19.000]  宗教哲學系那裡招數的
[00:01:19.000 --> 00:01:22.000]  但是我也是有辦一個
[00:01:22.000 --> 00:01:23.000]  基督教的機構
[00:01:23.000 --> 00:01:25.000]  就叫三省性文化學會
[00:01:25.000 --> 00:01:28.000]  今天不會談太多這個事情
[00:01:28.000 --> 00:01:31.000]  但是我有一些資料帶我來
[00:01:31.000 --> 00:01:34.000]  關於基督徒怎麼回應
[00:01:34.000 --> 00:01:37.000]  香港性文化的墮落
[00:01:37.000 --> 00:01:42.000]  開放 同性戀 同性婚姻等等的問題
[00:01:42.000 --> 00:01:45.000]  希望大家可以都拿一份回去
[00:01:45.000 --> 00:01:51.000]  慢慢看那個資料
[00:01:51.000 --> 00:01:55.000]  剛才這個經文我們都讀過了
[00:01:55.000 --> 00:02:01.000]  寶羅去年這個經卷
[00:02:01.000 --> 00:02:03.000]  我們叫菲利比書
[00:02:03.000 --> 00:02:05.000]  怎麼叫菲利比書
[00:02:05.000 --> 00:02:08.000]  其實就是Letter to the Philippines
