
[00:00:00.000 --> 00:00:05.320]  今天我們所讀的《應經文》是《氧方》第八章45到59節
[00:00:05.320 --> 00:00:07.960]  在第八章的最後一段經文
[00:00:07.960 --> 00:00:09.440]  其實在第八章上文裏面
[00:00:09.440 --> 00:00:13.600]  他講到耶穌和一羣猶太人的對話
[00:00:13.600 --> 00:00:15.760]  在對話過程裏面耶穌說
[00:00:15.760 --> 00:00:17.840]  你們不是屬於上帝的
[00:00:17.840 --> 00:00:20.200]  你們是屬於魔鬼的
[00:00:20.200 --> 00:00:21.560]  因爲這羣猶太人說
[00:00:21.560 --> 00:00:23.560]  我們的父就是阿伯拉罕
[00:00:23.560 --> 00:00:25.560]  我們的父就是上帝
[00:00:25.560 --> 00:00:28.920]  所以當耶穌說這段話的時候
[00:00:28.920 --> 00:00:34.000]  這羣猶太人引來很大的反擊
[00:00:34.000 --> 00:00:35.200]  反擊耶穌
[00:00:35.200 --> 00:00:40.040]  在這裏耶穌繼續教導他們
[00:00:40.040 --> 00:00:42.680]  繼續引導他們明白真理
[00:00:42.680 --> 00:00:45.240]  第45到47節耶穌這樣說
[00:00:45.240 --> 00:00:46.840]  我將真理告訴你們
[00:00:46.840 --> 00:00:48.640]  你們就因此不信我
[00:00:48.640 --> 00:00:51.400]  你們中間誰能指證我有罪呢
[00:00:51.400 --> 00:00:53.320]  我既將真理告訴你們
[00:00:53.320 --> 00:00:54.920]  爲什麼不信我呢
[00:00:54.920 --> 00:00:56.960]  出於神的必聽神的話
[00:00:56.960 --> 00:01:00.200]  你們不聽因爲你們不是出於神
[00:01:00.200 --> 00:01:04.320]  耶穌在這裏很簡單地去講一個真理
[00:01:04.320 --> 00:01:07.520]  上帝的兒女就必愛真理
[00:01:07.520 --> 00:01:11.240]  所以你們現在不相信我的說話
[00:01:11.240 --> 00:01:13.280]  因爲你們不愛真理
[00:01:13.280 --> 00:01:16.040]  魔鬼的兒女的特色是什麼呢
[00:01:16.040 --> 00:01:17.400]  就是講大話
[00:01:17.400 --> 00:01:20.880]  所以現在你們是在講大話
[00:01:20.880 --> 00:01:22.120]  你們說認識上帝
[00:01:22.120 --> 00:01:23.600]  其實你們不認識
[00:01:23.600 --> 00:01:26.520]  而且你們不接受我所講的真理
[00:01:26.520 --> 00:01:29.080]  所以你們是屬於魔鬼的
[00:01:29.080 --> 00:01:32.040]  在這裏耶穌講了這羣猶太人
[00:01:32.040 --> 00:01:33.640]  不相信你的原因
[00:01:33.640 --> 00:01:35.240]  不過耶穌在這裏講
[00:01:35.240 --> 00:01:37.240]  不是解釋什麼叫信心
[00:01:37.240 --> 00:01:39.920]  而是他在講上帝的工作
[00:01:39.920 --> 00:01:43.800]  在之前的經文裏面講到
[00:01:43.800 --> 00:01:47.240]  就算是一些真正跟從耶穌的門徒
