
[00:00:00.000 --> 00:00:03.320]  今日我想從一個比較獨特的角度
[00:00:03.320 --> 00:00:06.600]  去看二千年前
[00:00:06.600 --> 00:00:08.880]  耶穌基督來臨世間
[00:00:08.880 --> 00:00:11.600]  道成肉身所發生的事
[00:00:11.600 --> 00:00:14.120]  大家可以打開我們的程序單
[00:00:14.120 --> 00:00:16.680]  如果你中間那裡拔開了它
[00:00:16.680 --> 00:00:18.840]  就第三第四頁
[00:00:18.840 --> 00:00:20.840]  就是我們今天講到的大綱
[00:00:20.840 --> 00:00:22.840]  大家也可以打開
[00:00:22.840 --> 00:00:24.160]  接著看聖經
[00:00:24.160 --> 00:00:25.800]  今天主要我們是看
[00:00:25.800 --> 00:00:28.120]  是盧家福音第一第二章
[00:00:28.120 --> 00:00:31.000]  和馬太福音第一第二章
[00:00:31.000 --> 00:00:32.160]  如果有聖經在手
[00:00:32.160 --> 00:00:34.160]  待會我們看比較容易一點
[00:00:34.160 --> 00:00:35.560]  我們一起思想
[00:00:35.560 --> 00:00:37.680]  你留意到今天我們的題目叫做
[00:00:37.680 --> 00:00:42.320]  天使的訊息
[00:00:42.320 --> 00:00:46.200]  今天我們試試用天使的角度
[00:00:46.200 --> 00:00:48.200]  來看聖誕節
[00:00:48.200 --> 00:00:50.120]  我知道一想起聖誕節
[00:00:50.120 --> 00:00:51.520]  當然會想起天使
[00:00:51.520 --> 00:00:55.440]  就是想起我們家的聖誕樹上掛的公仔
[00:00:55.440 --> 00:00:56.880]  天使公仔
[00:00:56.880 --> 00:00:59.560]  天使公仔對於很多人來說
[00:00:59.560 --> 00:01:01.560]  甚至包括我們基督徒來說
[00:01:01.560 --> 00:01:04.560]  都是小朋友的玩意和裝飾
[00:01:04.560 --> 00:01:07.600]  從來都沒有什麼很深刻的想一想它
[00:01:07.600 --> 00:01:09.880]  究竟是什麼意思
[00:01:09.880 --> 00:01:13.200]  但是如果你真的留意到
[00:01:13.200 --> 00:01:14.880]  在過去這十幾二十年
[00:01:14.880 --> 00:01:16.280]  我們周圍的人
[00:01:16.280 --> 00:01:18.280]  尤其是一個這麼現代的社會
[00:01:18.280 --> 00:01:22.680]  反而有一種流行天使的熱潮
[00:01:22.680 --> 00:01:24.280]  我特意為了這件事
[00:01:24.280 --> 00:01:27.080]  去了Chapters和Indigo納一下
[00:01:27.080 --> 00:01:30.280]  看到書架上整排的說天使
[00:01:30.280 --> 00:01:33.920]  今天我想你們的同事、朋友
[00:01:33.920 --> 00:01:36.080]  就算是基督教的,不是基督徒的
[00:01:36.080 --> 00:01:37.680]  都會問起的時候
[00:01:37.680 --> 00:01:39.480]  都說最熟悉的一個字眼
[00:01:39.480 --> 00:01:41.880]  就是Guardian Angels
[00:01:41.880 --> 00:01:43.480]  守護天使
[00:01:43.480 --> 00:01:46.080]  一說起眼睛都會發亮
[00:01:46.080 --> 00:01:49.080]  原來發覺今天很多人在說這些東西
[00:01:49.080 --> 00:01:50.080]  在坊間
[00:01:50.080 --> 00:01:54.080]  在我們這個商業化的社會裡面
[00:01:54.080 --> 00:01:56.080]  出了很多書講天使的
[00:01:56.080 --> 00:01:57.480]  我看到那些思慮書
[00:01:57.480 --> 00:01:58.480]  什麼都有
[00:01:58.480 --> 00:02:00.480]  有天使手冊
[00:02:00.480 --> 00:02:03.080]  有天使大全
[00:02:03.080 --> 00:02:07.280]  有圖文並茂
[00:02:07.280 --> 00:02:08.080]  什麼都有
[00:02:08.080 --> 00:02:09.280]  我們發覺很多人
[00:02:09.280 --> 00:02:10.480]  今天真的禮真
[00:02:10.480 --> 00:02:11.880]  很認真的
