
[00:00:00.000 --> 00:00:05.480]  衷心感謝各位弟兄姊妹及志堅讀這麼長的經文
[00:00:05.480 --> 00:00:09.120]  再次代表宣導會區議員會向大家問安
[00:00:09.120 --> 00:00:12.560]  上次這個時候我講了以利沙一個故事
[00:00:12.560 --> 00:00:13.560]  不知道大家是否記得
[00:00:13.560 --> 00:00:15.680]  斧頭飄在水上
[00:00:15.680 --> 00:00:18.800]  這個繼續是以利沙的故事
[00:00:18.800 --> 00:00:21.360]  這個以利沙故事很特別
[00:00:21.360 --> 00:00:23.560]  雖然長但很簡單
[00:00:23.560 --> 00:00:27.600]  這個故事跟你們堂會成為
[00:00:27.600 --> 00:00:30.840]  門徒群體的重新出發很有關係
[00:00:30.840 --> 00:00:35.560]  這裡講到門徒應當看重的兩件事
[00:00:35.560 --> 00:00:37.800]  今天只有兩個重點
[00:00:37.800 --> 00:00:39.080]  很道地的
[00:00:39.080 --> 00:00:42.160]  第一看重神的說話
[00:00:42.160 --> 00:00:44.520]  第二看重神的使命
[00:00:44.520 --> 00:00:47.000]  我們先同心圖告
[00:00:47.000 --> 00:00:48.120]  天父多謝你
[00:00:48.120 --> 00:00:49.720]  因為我們很深信
[00:00:49.720 --> 00:00:53.280]  上帝你繼續在這個世代
[00:00:53.280 --> 00:00:55.720]  透過聖教會華記家
[00:00:55.720 --> 00:00:58.480]  作成主理美善的工作
[00:00:58.480 --> 00:01:00.040]  我們獻上感恩
[00:01:00.040 --> 00:01:03.400]  天父你今日仍在說話
[00:01:03.400 --> 00:01:05.120]  幫助我們眾人
[00:01:05.120 --> 00:01:07.320]  讓我們明白神的心意
[00:01:07.320 --> 00:01:10.120]  並且心意更新而變化
[00:01:10.120 --> 00:01:12.280]  活出上主的心意
[00:01:12.280 --> 00:01:14.560]  好叫我們的好行為
[00:01:14.560 --> 00:01:16.800]  在眾人的庚前
[00:01:16.800 --> 00:01:18.440]  展現的時候
[00:01:18.440 --> 00:01:20.520]  榮耀歸給三一真神
[00:01:20.520 --> 00:01:21.720]  聽我們的禱告
[00:01:21.720 --> 00:01:23.200]  奉耶穌聖名祈求
[00:01:23.200 --> 00:01:26.160]  阿們
[00:01:26.160 --> 00:01:28.880]  讓我簡單講這個故事
[00:01:28.880 --> 00:01:30.520]  是一個怎樣的故事
[00:01:30.520 --> 00:01:31.280]  再講一次
[00:01:31.280 --> 00:01:32.360]  因為經文太長
[00:01:32.360 --> 00:01:36.000]  可能大家未必捉到重點
[00:01:36.000 --> 00:01:38.000]  這個故事一開始
[00:01:38.000 --> 00:01:40.400]  以色列人有兩個危機
[00:01:40.400 --> 00:01:42.240]  一個是戰爭的危機
[00:01:42.240 --> 00:01:44.200]  阿南王 卞哈達
[00:01:44.200 --> 00:01:46.680]  他就差派軍隊圍困
[00:01:46.680 --> 00:01:50.280]  以色列的首都 撒瑪利亞城
[00:01:50.280 --> 00:01:52.840]  第二就是大饑荒
