
[00:00:00.000 --> 00:00:15.000]  最近香港各教會主辦一連串繁忙的特別聚會
[00:00:15.000 --> 00:00:22.000]  弟兄姊妹疲於奔命
[00:00:22.000 --> 00:00:27.000]  不容易參加
[00:00:27.000 --> 00:00:32.000]  但今天晚上各位仍然來赴會
[00:00:32.000 --> 00:00:38.000]  是很難得
[00:00:38.000 --> 00:00:47.000]  這兩天晚上我講的訊息主題
[00:00:47.000 --> 00:00:56.000]  是基督徒末世觀的重整
[00:00:56.000 --> 00:01:05.000]  重整兩個字有種意味在裏頭
[00:01:05.000 --> 00:01:12.000]  那就是今天一般信仰純正的基督徒的末世觀
[00:01:12.000 --> 00:01:15.000]  是不是完全符合聖經呢?
[00:01:15.000 --> 00:01:22.000]  有沒有和聖經的訊息有出入的地方呢?
[00:01:22.000 --> 00:01:31.000]  我們的末世觀有沒有需要重整、重新整頓的地方呢?
[00:01:31.000 --> 00:01:37.000]  我們的末世觀有沒有需要重整、重新整頓的地方呢?
[00:01:37.000 --> 00:01:47.000]  我們的末世觀有沒有需要重整、重新整頓的地方呢?
[00:01:47.000 --> 00:01:50.000]  我相信有些地方是需要的
[00:01:50.000 --> 00:01:59.000]  一般來說,信仰純正的基督徒對於末世是完全悲觀的
[00:01:59.000 --> 00:02:05.000]  一般信仰純正的信徒對於末世觀是完全悲觀的
[00:02:05.000 --> 00:02:10.000]  我相信大家也感受到這個事實
[00:02:10.000 --> 00:02:12.000]  我們相信大家都感受到這個事實
[00:02:12.000 --> 00:02:17.000]  一切都是越來越壞、越來越向下、越來越墮落
[00:02:17.000 --> 00:02:21.000]  一切的事都是越來越壞、越來越向下、越來越墮落
[00:02:21.000 --> 00:02:24.000]  但是聖經怎麼說的呢?
[00:02:24.000 --> 00:02:26.000]  但是聖經怎麼說的呢?
[00:02:26.000 --> 00:02:30.000]  聖經的訊息裏面有一個調和在裏頭
[00:02:30.000 --> 00:02:33.000]  聖經的訊息有一個調和的性質在裏頭
[00:02:33.000 --> 00:02:36.000]  一方面確實告訴我們
[00:02:36.000 --> 00:02:40.000]  末世的時候必有危險的日子來臨
[00:02:40.000 --> 00:02:42.000]  一方面確實告訴我們
[00:02:42.000 --> 00:02:45.000]  在末世的時候有危險的日子來臨
[00:02:45.000 --> 00:02:53.000]  在提摩提後書第三章第一段所說的
[00:02:53.000 --> 00:02:57.000]  那個末世危險的日子是什麼危險呢?
[00:02:57.000 --> 00:03:03.000]  那個末世危險的日子是什麼危險呢?
[00:03:03.000 --> 00:03:08.000]  那就是靈性的危險和道德的危險
[00:03:08.000 --> 00:03:12.000]  那就是靈性的危險和道德的危險
[00:03:12.000 --> 00:03:14.000]  確是如此
[00:03:14.000 --> 00:03:16.000]  確實如此
[00:03:16.000 --> 00:03:18.000]  聖經講的沒有錯
[00:03:18.000 --> 00:03:20.000]  所以聖經所說的完全沒錯
[00:03:20.000 --> 00:03:23.000]  保羅說惡人越久越惡
[00:03:23.000 --> 00:03:25.000]  保羅說惡人越來越惡
[00:03:25.000 --> 00:03:31.000]  世界的潮流是向下墮落的
[00:03:31.000 --> 00:03:32.000]  世界的潮流是向下墮落的
[00:03:32.000 --> 00:03:35.000]  但是在這一切之中
[00:03:35.000 --> 00:03:36.000]  但是在這一切之中
[00:03:36.000 --> 00:03:38.000]  我們需要發現
[00:03:38.000 --> 00:03:41.000]  我們需要注意
[00:03:41.000 --> 00:03:43.000]  我們需要掌握
[00:03:43.000 --> 00:03:44.000]  我們需要掌握
[00:03:44.000 --> 00:03:47.000]  聖經裏面樂觀的重點
[00:03:47.000 --> 00:03:50.000]  就是聖經裏面樂觀的一面
[00:03:50.000 --> 00:03:52.000]  什麼樂觀的方面呢?
[00:03:52.000 --> 00:03:54.000]  什麼叫樂觀的方面呢?
