
[00:00:00.000 --> 00:00:01.400]  弟兄姊妹們 平安
[00:00:01.400 --> 00:00:02.600]  平安
[00:00:02.600 --> 00:00:03.920]  時間過得很快
[00:00:03.920 --> 00:00:06.600]  我上一次來應該是去年的時候了
[00:00:06.600 --> 00:00:08.200]  是
[00:00:08.200 --> 00:00:10.640]  所以我看到一些老面孔
[00:00:10.640 --> 00:00:13.640]  但也還是有不少的新面孔
[00:00:13.640 --> 00:00:18.200]  那我不知道有沒有誰是第一次見到我的在這裏
[00:00:18.200 --> 00:00:20.120]  真是有新來的
[00:00:20.120 --> 00:00:22.640]  或者是我對你們是新來的
[00:00:22.640 --> 00:00:23.440]  好
[00:00:23.440 --> 00:00:24.760]  那這樣
[00:00:24.760 --> 00:00:26.720]  我本身是福建人
[00:00:26.720 --> 00:00:30.120]  然後呢我就大概年前 就今年年前呢
[00:00:30.120 --> 00:00:32.880]  就回福建老家過年
[00:00:32.880 --> 00:00:35.560]  過年的時候
[00:00:35.560 --> 00:00:39.760]  這個是不能用是吧
[00:00:39.760 --> 00:00:44.360]  好
[00:00:44.360 --> 00:00:47.400]  那過年的時候呢我就感覺呢自己
[00:00:47.400 --> 00:00:49.520]  我不知道現在大家是什麼感覺
[00:00:49.520 --> 00:00:51.720]  那個春節的時候就回家過年
[00:00:51.720 --> 00:00:55.200]  大家是已經沒感覺了還是怎樣
[00:00:55.200 --> 00:00:57.640]  我呢就覺得自己又老了一歲
[00:00:57.640 --> 00:01:00.320]  好 謝謝啊
[00:01:00.320 --> 00:01:01.920]  然後呢
[00:01:01.920 --> 00:01:04.640]  感覺的是什麼 人到中年
[00:01:04.640 --> 00:01:06.680]  我有種停滯感
[00:01:06.680 --> 00:01:08.680]  最明顯的是
[00:01:08.680 --> 00:01:10.080]  不敢面對自己的年齡
[00:01:10.080 --> 00:01:12.760]  我不敢去算自己幾歲了
[00:01:12.760 --> 00:01:16.000]  不敢看自己眼角多起來的皺紋
[00:01:16.000 --> 00:01:18.520]  頭上多起來的白頭髮
[00:01:18.520 --> 00:01:19.480]  肚子墜肉
[00:01:19.480 --> 00:01:23.920]  這個圖不是我 是豆包
[00:01:23.920 --> 00:01:25.200]  好 那
[00:01:25.200 --> 00:01:26.920]  很多東西好像都在變化
[00:01:26.920 --> 00:01:29.280]  但其他方面呢
[00:01:29.280 --> 00:01:31.080]  但有些卻停滯不前
[00:01:31.080 --> 00:01:32.240]  譬如
[00:01:32.240 --> 00:01:35.360]  工作上很容易拖延啊 倒退啊
[00:01:35.360 --> 00:01:37.240]  所以有的時候我不知道大家有沒有
[00:01:37.240 --> 00:01:38.680]  有這樣的一些時候
[00:01:38.680 --> 00:01:41.680]  就很難面對這樣的自己
[00:01:41.680 --> 00:01:46.320]  然後就春節回家我坐高鐵嘛
[00:01:46.320 --> 00:01:50.360]  是我的手勢有問題還是
[00:01:50.360 --> 00:01:51.280]  好
[00:01:51.280 --> 00:01:52.880]  就坐高鐵
[00:01:52.880 --> 00:01:57.000]  那這路上有個瞬間我就跟自己和解了
[00:01:57.000 --> 00:01:58.640]  就是當我看着
[00:01:58.640 --> 00:02:01.480]  你知道 像大家坐地鐵也好
[00:02:01.480 --> 00:02:02.480]  或者你坐高鐵也好
[00:02:02.480 --> 00:02:04.880]  你如果看那個窗外嘛
[00:02:04.880 --> 00:02:06.320]  你會看到
[00:02:06.320 --> 00:02:09.760]  其實列車它是在高速地向前行走
[00:02:09.760 --> 00:02:12.040]  對吧 但是你看外面的那個
[00:02:12.040 --> 00:02:14.960]  樹啊或者建築它是
[00:02:14.960 --> 00:02:17.200]  飛快地向另外一個方向去前進
[00:02:17.200 --> 00:02:18.400]  它本來是靜止的嘛
[00:02:18.400 --> 00:02:19.920]  但是你看到它是飛快地向
[00:02:19.920 --> 00:02:23.840]  另外一個方向在前進對吧 好
[00:02:23.840 --> 00:02:26.080]  所以當我自己坐在
[00:02:26.080 --> 00:02:28.800]  高速前行的那個高鐵上面
[00:02:28.800 --> 00:02:30.920]  我不覺得自己在很快地前進
[00:02:30.920 --> 00:02:33.360]  好像是靜止的 對吧
[00:02:33.360 --> 00:02:36.280]  更像是靜坐在車廂裏面
[00:02:36.280 --> 00:02:38.600]  另外一個就是其實大家現在
[00:02:38.600 --> 00:02:40.600]  站着這個地方或者坐在這上面
[00:02:40.600 --> 00:02:43.600]  其實這片土地我們覺得它是靜止的
[00:02:43.600 --> 00:02:46.120]  但如果 你一定要去算的話
[00:02:46.120 --> 00:02:48.080]  這個應該荷傳到是吧
[00:02:48.080 --> 00:02:50.440]  做科學哲學的
[00:02:50.440 --> 00:02:52.720]  實際上地球是繞着太陽最慢
[00:02:52.720 --> 00:02:54.720]  最慢也是每秒鐘
[00:02:54.720 --> 00:02:58.080]  29.3公里的速度在運轉前行
[00:02:58.080 --> 00:03:01.200]  所以呢我在想什麼是生命的停滯
[00:03:01.200 --> 00:03:03.680]  什麼又是生命的前行呢
[00:03:03.680 --> 00:03:06.000]  坐在高速前行的高鐵上
[00:03:06.000 --> 00:03:07.920]  我突然就試完了
[00:03:07.920 --> 00:03:10.520]  就是說換一個角度
[00:03:10.520 --> 00:03:13.040]  呃 我就看不
[00:03:13.040 --> 00:03:15.320]  我是看不見這塊
[00:03:15.320 --> 00:03:16.680]  換一個角度呢
[00:03:16.680 --> 00:03:18.720]  它停滯也是
[00:03:18.720 --> 00:03:21.560]  滯也是流 流也是滯
[00:03:21.560 --> 00:03:25.720]  如果說人生是一趟旅程
[00:03:25.720 --> 00:03:26.880]  一種體驗的話
[00:03:26.880 --> 00:03:30.320]  那麼無論是滯還是流
[00:03:30.320 --> 00:03:34.800]  一切都是我們生命的過程
[00:03:34.800 --> 00:03:39.360]  確實人生不是用來演繹完美的
[00:03:39.360 --> 00:03:41.520]  這一生我們不是
[00:03:41.520 --> 00:03:44.480]  不是一定要一直向上地伸展
[00:03:44.480 --> 00:03:47.560]  其實某個時候呢允許自己
[00:03:47.560 --> 00:03:48.560]  橫向發展
[00:03:48.560 --> 00:03:50.640]  包括身材發福
[00:03:50.640 --> 00:03:53.400]  接納自己年齡變大
[00:03:53.400 --> 00:03:54.720]  身高可能變矮
[00:03:54.720 --> 00:03:57.920]  老的時候據說是不是也會縮水
[00:03:57.920 --> 00:04:01.840]  這都是生命的一部分
[00:04:01.840 --> 00:04:03.440]  不存在滯
[00:04:03.440 --> 00:04:05.080]  也不存在流
[00:04:05.080 --> 00:04:10.000]  有的都只是生命的過程跟體驗
[00:04:10.000 --> 00:04:11.880]  所以我今天想分享的是
[00:04:11.880 --> 00:04:13.720]  生命分順這個主題
[00:04:13.720 --> 00:04:14.800]  因爲我在想
[00:04:14.800 --> 00:04:17.160]  無論我們認爲它是停滯
[00:04:17.160 --> 00:04:18.880]  還是認爲它在前行
[00:04:18.880 --> 00:04:21.000]  或者甚至向下走
[00:04:21.000 --> 00:04:24.320]  都只是生命的一個過程跟體驗的話
[00:04:24.320 --> 00:04:29.600]  都是建構我們平凡生命的一磚一瓦
[00:04:29.600 --> 00:04:36.680]  好 那我們先一起有一個的禱告
