
[00:00:00.000 --> 00:00:02.780]  好 今天正道的經文是
[00:00:02.780 --> 00:00:06.000]  來自《路加夫英》18章 18到30節
[00:00:06.000 --> 00:00:09.740]  正道的題目是 還缺少哪一件呢
[00:00:09.740 --> 00:00:12.700]  講員是賀自永 傳道
[00:00:12.700 --> 00:00:16.060]  我們先請讀經員 為我們讀出今天的經文
[00:00:16.060 --> 00:00:30.060]  (音樂)
[00:00:30.060 --> 00:00:42.060]  宣讀《路加夫英》第18章 18到30節
[00:00:42.060 --> 00:00:50.060]  有一個國安問耶穌說:
[00:00:50.060 --> 00:00:56.060]  善良的老師 我該做什麼事 才能承受永生?
[00:00:56.060 --> 00:00:59.060]  耶穌對他說:
[00:00:59.060 --> 00:01:02.060]  你為什麼稱我是善良的?
[00:01:02.060 --> 00:01:07.060]  除了上帝一位之外 再沒有善良的
[00:01:07.060 --> 00:01:15.060]  誡命你是知道的 不可姦淫 不可殺人 不可偷盜
[00:01:15.060 --> 00:01:19.060]  不可作假見證 當孝敬父母
[00:01:19.060 --> 00:01:25.060]  那人說:這一切我從小都遵守了
[00:01:25.060 --> 00:01:29.060]  耶穌聽見了 就對他說:
[00:01:29.060 --> 00:01:38.060]  你還缺少一件 要變賣你一切所有的
[00:01:38.060 --> 00:01:43.060]  分給窮人 就必有財寶在天上
[00:01:43.060 --> 00:01:46.060]  你還要來跟從我?
[00:01:46.060 --> 00:01:53.060]  他聽見這些話 就很憂愁 因為他很富有
[00:01:53.060 --> 00:01:58.060]  耶穌見他變得很憂愁 就說:
[00:01:58.060 --> 00:02:04.060]  有錢財的人進上帝的國 是何等的難啊?
[00:02:04.060 --> 00:02:10.060]  駱駝穿過箴言 比財主進上帝的國還容易呢?
[00:02:10.060 --> 00:02:17.060]  聽見的人說:這樣 誰能得救呢?
[00:02:17.060 --> 00:02:24.060]  耶穌說:在人所不能的事 在上帝都能
[00:02:24.060 --> 00:02:32.060]  彼得說:看啊 我們已經撇下自己所有的跟從你了
[00:02:32.060 --> 00:02:36.060]  耶穌對他們說:我實在告訴你們
[00:02:36.060 --> 00:02:40.060]  凡是為上帝的國撇下房屋
[00:02:40.060 --> 00:02:45.060]  或是妻子 兄弟 父母 兒女的
[00:02:45.060 --> 00:02:52.060]  沒有不在今世得更多倍 而在來世得永生的
[00:02:52.060 --> 00:02:55.060]  這是上主的話
[00:02:55.060 --> 00:03:00.060]  弟兄姊妹平安 聽這個聲音清楚嗎?
[00:03:00.060 --> 00:03:02.060]  OK啊 好的
[00:03:02.060 --> 00:03:05.060]  那我們一起有一個開始禱告
[00:03:05.060 --> 00:03:09.060]  親愛的天父 你的話語是何等的豐富
[00:03:09.060 --> 00:03:14.060]  你賜給我們的恩典是何等的美麗 有智慧
[00:03:14.060 --> 00:03:18.060]  讓你的靈今天在當中保守我們
[00:03:18.060 --> 00:03:22.060]  讓我們可以同感一靈 可以領受你話語當中
[00:03:22.060 --> 00:03:25.060]  給我們的生生不息的生命氣息
