
[00:00:00.000 --> 00:00:07.000]  第一個晚上是一位姊妹做見證
[00:00:07.000 --> 00:00:12.400]  第二晚是一位姊妹做見證
[00:00:12.400 --> 00:00:18.160]  第三晚是一位姊妹做見證
[00:00:18.160 --> 00:00:23.000]  就好像今天主席說的弟兄到哪去了
[00:00:23.000 --> 00:00:26.360]  好像今天的主席說的弟兄去了哪裡呢?
[00:00:26.360 --> 00:00:33.800]  我相信在天上得冠冕的人大多數是姊妹
[00:00:33.800 --> 00:00:37.440]  相信在天上得冠冕的人大多數都是姊妹
[00:00:37.440 --> 00:00:43.840]  我們可不可以說姊妹姊妹你的名字叫強者
[00:00:43.840 --> 00:00:48.760]  我們可不可以說姊妹姊妹你的名字為強者呢
[00:00:48.760 --> 00:00:50.440]  反過來說不好意思了
[00:00:50.440 --> 00:00:52.440]  反過來說就不太好意思了
[00:00:52.440 --> 00:00:55.800]  弟兄弟兄你的名字叫弱者
[00:00:55.800 --> 00:01:00.280]  弟兄弟兄你的名字叫弱者
[00:01:00.280 --> 00:01:04.920]  我們接受主的呼召
[00:01:04.920 --> 00:01:08.360]  來傳福音
[00:01:08.360 --> 00:01:13.080]  把我們自己擺上祭壇
[00:01:13.080 --> 00:01:16.120]  讓主來猜險
[00:01:16.120 --> 00:01:20.280]  你看我姊妹滿有喜樂
[00:01:20.280 --> 00:01:23.800]  她做見證你都感受到她祖內的喜樂
[00:01:23.800 --> 00:01:27.960]  她做見證你都感受到她祖內的喜樂
[00:01:27.960 --> 00:01:34.200]  為什麼有許多人跑到很難得人信主的地方去工作呢?
[00:01:34.200 --> 00:01:38.680]  為什麼有些人去到很難得人信主的地方呢?
[00:01:38.680 --> 00:01:44.280]  為什麼胡建榮弟兄夫婦跑到回教徒中間去傳福音呢?
[00:01:44.280 --> 00:01:49.560]  為什麼胡建榮弟兄夫婦要走到回教徒的地方傳福音呢?
[00:01:49.560 --> 00:01:53.480]  難道沒有其他更容易傳福音的地方嗎?
[00:01:53.480 --> 00:01:57.000]  難道沒有其他更容易傳福音的地方嗎?
[00:01:57.000 --> 00:02:01.160]  如果我們是功利主義或者成功主義
[00:02:01.160 --> 00:02:03.400]  那我們就到最容易的地方去
[00:02:03.400 --> 00:02:06.680]  如果我們是功利主義或者成功主義者
[00:02:06.680 --> 00:02:09.880]  我們就會去一些很容易傳福音的地方傳福音
[00:02:09.880 --> 00:02:13.000]  但是當我們體會神的心
[00:02:13.000 --> 00:02:16.680]  祂寶貴一個靈魂的時候
[00:02:16.680 --> 00:02:18.760]  但是當我們體會到神的心
[00:02:18.760 --> 00:02:21.160]  祂寶貴一個靈魂的時候
[00:02:21.160 --> 00:02:27.560]  就有人願意到最艱苦、孤單、困難的地方傳福音
[00:02:27.560 --> 00:02:32.440]  就有人願意到最艱難、困苦、孤單的地方傳福音
[00:02:32.440 --> 00:02:35.000]  泰國是這樣的地區之一
[00:02:35.000 --> 00:02:37.080]  泰國是這樣的地區之一
[00:02:37.080 --> 00:02:40.040]  巴基斯坦也是這樣的地區之一
[00:02:40.040 --> 00:02:43.160]  巴基斯坦也是這樣的地區之一
[00:02:43.160 --> 00:02:45.800]  保羅在他的《羅馬書》裡
[00:02:45.800 --> 00:02:47.720]  保羅在他的《羅馬書》裡
[00:02:47.720 --> 00:02:49.720]  第十六章
[00:02:49.720 --> 00:02:52.520]  提到他的同工
[00:02:52.520 --> 00:02:54.760]  我數一數
[00:02:54.760 --> 00:02:59.640]  他所敬佩的同工
[00:02:59.640 --> 00:03:03.240]  他所推薦的同工
[00:03:03.240 --> 00:03:07.640]  大多數是姊妹
[00:03:07.640 --> 00:03:14.520]  其中有一位保羅稱他為仕徒
[00:03:14.520 --> 00:03:15.720]  其中有一位保羅稱他為仕徒
[00:03:15.720 --> 00:03:18.040]  有女仕徒嗎?
[00:03:18.040 --> 00:03:19.400]  有
[00:03:19.400 --> 00:03:24.600]  保羅就把那位姊妹叫做女仕徒
[00:03:24.600 --> 00:03:27.960]  保羅就把那位姊妹叫做女仕徒
[00:03:27.960 --> 00:03:31.160]  我們在神的面前
[00:03:31.160 --> 00:03:35.640]  如果神的呼召臨到你
[00:03:35.640 --> 00:03:38.280]  要你做宣教士
[00:03:38.280 --> 00:03:40.680]  不要怕
[00:03:40.680 --> 00:03:43.560]  昨天晚上我們看到
[00:03:43.560 --> 00:03:46.520]  在主的右手中拿著七星
[00:03:46.520 --> 00:03:48.760]  在主的右手中拿著七星
[00:03:48.760 --> 00:03:52.520]  七星就是教會的使者
[00:03:52.520 --> 00:03:55.720]  也就是教會的領袖
[00:03:55.720 --> 00:03:58.280]  也就是傳道人
[00:03:58.280 --> 00:04:01.160]  也就是宣教士
[00:04:01.160 --> 00:04:03.480]  他們在哪裡?
