
[00:00:00.000 --> 00:00:10.880]  請大家回到《仕途行傳》第一章
[00:00:10.880 --> 00:00:19.220]  第十四節
[00:00:19.220 --> 00:00:34.860]  同心合意地行切禱告
[00:00:34.860 --> 00:00:40.200]  這是《使徒時代教會》的表現
[00:00:40.200 --> 00:00:46.580]  如果我們要效法《使徒時代教會》
[00:00:46.580 --> 00:00:52.660]  我們就必須走禱告的道路
[00:00:52.660 --> 00:00:55.540]  一連兩個主日
[00:00:55.540 --> 00:01:00.060]  我們的信息都是關於禱告
[00:01:00.060 --> 00:01:01.660]  目的呢?
[00:01:01.660 --> 00:01:03.220]  就是要我們每一個人
[00:01:03.220 --> 00:01:06.500]  自己的禱告生活得到建立
[00:01:06.500 --> 00:01:14.740]  同時讓我們整個教會追求禱告
[00:01:14.740 --> 00:01:21.700]  希望在主的恩待之下
[00:01:21.700 --> 00:01:23.540]  本堂能夠建立起來
[00:01:23.540 --> 00:01:31.780]  一個強而有力的教會性的禱告會
[00:01:31.780 --> 00:01:39.660]  我們永遠不能滿足於例行公事的禱告
[00:01:39.660 --> 00:01:42.260]  我們所需要的
[00:01:42.260 --> 00:01:46.020]  就是有能力的禱告
[00:01:46.020 --> 00:01:51.060]  如果我們對自己的禱告不滿意
[00:01:51.060 --> 00:01:55.300]  那就是蒙恩的開始
[00:01:55.300 --> 00:02:00.060]  求主給我們新的恩典
[00:02:00.060 --> 00:02:01.940]  上一個主日
[00:02:01.940 --> 00:02:05.300]  我講了三個重點
[00:02:05.300 --> 00:02:06.740]  第一
[00:02:06.740 --> 00:02:14.180]  禱告是一個重生了的人生命的流露
[00:02:14.180 --> 00:02:15.460]  第二
[00:02:15.460 --> 00:02:19.540]  禱告是恩典的出口
[00:02:19.540 --> 00:02:20.700]  第三
[00:02:20.700 --> 00:02:25.060]  禱告是能力的出口
[00:02:25.060 --> 00:02:28.020]  今天我要講的是
[00:02:28.020 --> 00:02:34.780]  集中在如何禱告這方面
[00:02:34.780 --> 00:02:41.300]  這是我們實際做的時候要注意的
[00:02:41.300 --> 00:02:43.140]  第一點
[00:02:43.140 --> 00:02:54.220]  約翰一書五章十四節
[00:02:54.220 --> 00:02:57.660]  在這裡告訴我們
[00:02:57.660 --> 00:03:06.540]  (閩)
[00:03:06.540 --> 00:03:12.260]  如果我們照神的旨意去求
[00:03:12.260 --> 00:03:16.540]  神就聽我們的禱告
[00:03:16.540 --> 00:03:18.380]  不然的話
[00:03:18.380 --> 00:03:21.580]  神就不聽
[00:03:21.580 --> 00:03:23.260]  這節聖經讓我們想到
[00:03:23.260 --> 00:03:26.100]  《雅各書》第四章三節
[00:03:26.100 --> 00:03:29.980]  (閩)
[00:03:29.980 --> 00:03:31.620]  在那裡說
[00:03:31.620 --> 00:03:34.700]  (閩)
[00:03:34.700 --> 00:03:38.260]  你們得不著是因為你們不求
[00:03:38.260 --> 00:03:39.220]  接著就說
[00:03:39.220 --> 00:03:42.860]  (閩)
[00:03:42.860 --> 00:03:47.260]  你們求都得不到是因為你們妄求
[00:03:47.260 --> 00:03:51.060]  (閩)
[00:03:51.060 --> 00:03:54.140]  妄求就是你們不合神的旨意來求
[00:03:54.140 --> 00:03:58.100]  (閩)
[00:03:58.100 --> 00:04:01.380]  如果一個基督徒想做一件不合神旨意的事
[00:04:01.380 --> 00:04:05.180]  (閩)
[00:04:05.180 --> 00:04:08.340]  而他竟然求神幫助他做成功
[00:04:08.340 --> 00:04:09.700]  (閩)
[00:04:09.700 --> 00:04:11.260]  那就是妄求
[00:04:11.260 --> 00:04:13.180]  (閩)
[00:04:13.180 --> 00:04:14.860]  是不應該做的
[00:04:14.860 --> 00:04:17.180]  (閩)
[00:04:17.180 --> 00:04:19.300]  在歷史裡面有一件出名的事
[00:04:19.300 --> 00:04:20.700]  (閩)
[00:04:20.700 --> 00:04:22.420]  和一句出名的話
[00:04:22.420 --> 00:04:24.820]  當美國南北戰爭的時候
[00:04:24.820 --> 00:04:26.900]  (閩)
[00:04:26.900 --> 00:04:28.780]  有一個南軍的人禱告
[00:04:28.780 --> 00:04:30.580]  (閩)
[00:04:30.580 --> 00:04:31.460]  他說神啊
[00:04:31.460 --> 00:04:32.180]  (閩)
[00:04:32.180 --> 00:04:34.260]  求你站在我們這一邊
[00:04:34.260 --> 00:04:35.780]  讓我們打勝仗
[00:04:35.780 --> 00:04:38.900]  (閩)
[00:04:38.900 --> 00:04:42.220]  當林肯總統聽到這個禱告的時候
[00:04:42.220 --> 00:04:45.460]  (閩)
[00:04:45.460 --> 00:04:46.060]  他說
[00:04:46.060 --> 00:04:46.820]  他就說了
[00:04:46.820 --> 00:04:47.500]  神啊
[00:04:47.500 --> 00:04:48.300]  神啊
[00:04:48.300 --> 00:04:52.380]  求你幫助我們站在你的那一邊
[00:04:52.380 --> 00:04:56.660]  (閩)
[00:04:56.660 --> 00:04:58.460]  這是一個正確的禱告
[00:04:58.460 --> 00:05:00.260]  (閩)
[00:05:00.260 --> 00:05:02.620]  我們不是要神救我們
[00:05:02.620 --> 00:05:05.060]  (閩)
[00:05:05.060 --> 00:05:09.740]  禱告的目的是幫助我們站在神那邊
[00:05:09.740 --> 00:05:13.420]  (閩)
[00:05:13.420 --> 00:05:16.220]  禱告的目的是要幫助我們
[00:05:16.220 --> 00:05:18.100]  想到神的旨意
