
[00:00:00.000 --> 00:00:05.120]  基於昨日經文提到神對人所發的恩情
[00:00:05.120 --> 00:00:07.480]  給我們安慰和激勵
[00:00:07.480 --> 00:00:12.280]  昨天經文提到神對人發出恩情的安慰話語帶來激勵
[00:00:12.280 --> 00:00:16.200]  使我們縱然在困境逆境之中
[00:00:16.200 --> 00:00:18.640]  都能得到鼓舞和希望
[00:00:18.640 --> 00:00:21.640]  縱然在困擾逆境當中
[00:00:21.640 --> 00:00:23.520]  我們仍然得到鼓舞和希望
[00:00:23.520 --> 00:00:26.560]  現在先知提出一個果效出來
[00:00:26.560 --> 00:00:28.560]  先知現在提出的一個果效
[00:00:28.560 --> 00:00:33.400]  就是神會在我們的身上做一件新事
[00:00:33.400 --> 00:00:36.160]  神在我們的身上要做一件新事
[00:00:36.160 --> 00:00:38.760]  祂要我們忘記過去的問題
[00:00:38.760 --> 00:00:41.200]  祂要我們忘記過去的問題
[00:00:41.200 --> 00:00:45.000]  意思就是說要我們在思想上做一個調整
[00:00:45.000 --> 00:00:47.240]  做一個更新、做一個革新
[00:00:47.240 --> 00:00:50.240]  要我們的思想做調整、更新、革新
[00:00:50.240 --> 00:00:52.960]  神不只是舊時代的神
[00:00:52.960 --> 00:00:55.120]  神不單單是舊時代的神
[00:00:55.120 --> 00:00:57.880]  根本神就是超時空的神
[00:00:57.880 --> 00:00:59.680]  神是超越時空的
[00:00:59.680 --> 00:01:02.160]  Out of time and out of space
[00:01:02.160 --> 00:01:03.960]  超越時間和空間
[00:01:03.960 --> 00:01:05.440]  祂沒有新舊之分
[00:01:05.440 --> 00:01:07.880]  沒有新沒有舊之分
[00:01:07.880 --> 00:01:09.560]  我們自己有新舊之分
[00:01:09.560 --> 00:01:14.000]  所以神是讓我們看到祂要永遠都向前推向
[00:01:14.000 --> 00:01:18.680]  一個劃時代的創造的新事情的一位神
[00:01:18.680 --> 00:01:21.880]  神要我們看見祂永遠是要推向前面的
[00:01:21.880 --> 00:01:24.880]  要劃時代有新事情做成的神
[00:01:24.880 --> 00:01:26.760]  所以第十九節和漢
[00:01:26.760 --> 00:01:30.120]  「我要做一件新事,如今要顯明」
[00:01:30.120 --> 00:01:32.080]  你們不知道嗎?
[00:01:32.080 --> 00:01:34.640]  十九節就說看到「我要行一件新事」
[00:01:34.640 --> 00:01:35.840]  如今就要顯明
[00:01:35.840 --> 00:01:37.360]  你們豈不知道嗎?
[00:01:37.360 --> 00:01:42.280]  根據英文的NIV的譯本和中文的新譯本
[00:01:42.280 --> 00:01:44.080]  它直接的翻譯就是
[00:01:44.080 --> 00:01:45.200]  是怎樣呢?
[00:01:45.200 --> 00:01:46.840]  它說
