
[00:00:00.000 --> 00:00:01.720]  我們以前也曾經提過
[00:00:01.720 --> 00:00:05.800]  以色列記裡面最重要當然是建耶和華的殿
[00:00:05.800 --> 00:00:08.240]  重建這個聖殿
[00:00:08.240 --> 00:00:11.000]  以色列人被擄亡國
[00:00:11.000 --> 00:00:14.000]  但是在波斯帝國的皇帝手下
[00:00:14.000 --> 00:00:15.400]  神恩代他們
[00:00:15.400 --> 00:00:17.600]  讓波斯的皇帝對以色列人
[00:00:17.600 --> 00:00:19.400]  對猶太人是很好的
[00:00:19.400 --> 00:00:22.680]  讓他們有機會重新回到耶路撒冷
[00:00:22.680 --> 00:00:26.480]  由他們被擄的地方回到耶路撒冷
[00:00:26.480 --> 00:00:28.040]  重建這個聖殿
[00:00:28.040 --> 00:00:32.000]  我們一直在以色列記裡看了他們所碰見的困難
[00:00:32.000 --> 00:00:35.000]  他們所掙扎的問題
[00:00:35.000 --> 00:00:37.000]  和他們所面對的態度
[00:00:37.000 --> 00:00:41.320]  今天第七章就講到以色列自己了
[00:00:41.320 --> 00:00:43.040]  你留意剛才我們說
[00:00:43.040 --> 00:00:45.040]  以色列第六節那裡
[00:00:45.040 --> 00:00:48.880]  當然我們今天讀了的經文就不止這麼多
[00:00:48.880 --> 00:00:49.840]  因為還有很多
[00:00:49.840 --> 00:00:51.440]  所以你打開聖經就好一點了
[00:00:51.440 --> 00:00:52.080]  好嗎?
[00:00:52.080 --> 00:00:53.400]  第七章第八章
[00:00:53.400 --> 00:00:56.200]  待會我們也會跳過來看
[00:00:57.560 --> 00:00:58.920]  剛才我們讀第六節那裡
[00:00:58.920 --> 00:01:01.960]  開始說以色列是一位經學家
[00:01:01.960 --> 00:01:07.000]  是精通耶和華以色列神賜給他摩西的律法
[00:01:07.000 --> 00:01:10.560]  這個就是主角進場了
[00:01:10.560 --> 00:01:12.360]  今天我們的時間不是很多
[00:01:12.360 --> 00:01:14.960]  但是我想和大家一起去研究一個問題
[00:01:14.960 --> 00:01:18.560]  就是以色列怎麼看待自己的工程
[00:01:18.560 --> 00:01:20.960]  就是他用第一身自己的角度
[00:01:20.960 --> 00:01:22.560]  用一個什麼觀點
[00:01:22.560 --> 00:01:24.360]  用一個什麼眼光
[00:01:24.360 --> 00:01:25.960]  用一個什麼意識
[00:01:25.960 --> 00:01:30.560]  我們可以說是看他自己要去做一個這麼大的project
[00:01:30.560 --> 00:01:33.560]  我們今天就叫做工程
[00:01:33.560 --> 00:01:36.760]  這個工程就是要建耶和華的殿
[00:01:36.760 --> 00:01:39.160]  要建一個殿一點都不簡單
[00:01:39.160 --> 00:01:42.360]  因為你看到其實是很多很直接
[00:01:42.360 --> 00:01:45.360]  也是很多很有挑戰性的問題
[00:01:45.360 --> 00:01:48.960]  譬如我們看到這裡其實有些地方我們沒有讀到
[00:01:48.960 --> 00:01:51.760]  因為讀了就悶死你了
[00:01:51.760 --> 00:01:52.960]  譬如第七章開始
[00:01:52.960 --> 00:01:54.360]  為什麼不讀前面幾節呢?
[00:01:54.360 --> 00:01:56.160]  全部都是名字
[00:01:56.160 --> 00:01:57.160]  一堆名字
[00:01:57.160 --> 00:01:59.560]  他們是什麼人什麼人
[00:01:59.560 --> 00:02:01.760]  一起來耶路撒冷
[00:02:01.760 --> 00:02:02.760]  然後呢
[00:02:02.760 --> 00:02:04.360]  然後又會有一大堆什麼呢?
[00:02:04.360 --> 00:02:05.760]  剛才我們讀到的小小
[00:02:05.760 --> 00:02:07.760]  你都覺得快點讀完它
[00:02:07.760 --> 00:02:09.360]  就是那些數目字
[00:02:09.360 --> 00:02:10.560]  油是多少
[00:02:10.560 --> 00:02:12.760]  那些墨是多少
[00:02:12.760 --> 00:02:15.160]  可以有多少個銀子
