
[00:00:00.000 --> 00:00:03.920]  詩篇七十三篇提到當時的詩人
[00:00:03.920 --> 00:00:07.080]  見到世界上有很多不公平的事情
[00:00:07.080 --> 00:00:09.520]  他心裏面有很多的怨憤
[00:00:09.520 --> 00:00:12.400]  但當他去親近神的時候
[00:00:12.400 --> 00:00:14.640]  突然間有一種新的亮光
[00:00:14.640 --> 00:00:16.960]  一種屬靈的透視出現
[00:00:16.960 --> 00:00:20.600]  看到真正屬靈的現實是怎樣
[00:00:20.600 --> 00:00:22.280]  因此他得到安慰
[00:00:22.280 --> 00:00:23.480]  得到剛強
[00:00:23.480 --> 00:00:26.000]  他就繼續堅定地跟隨神
[00:00:26.000 --> 00:00:27.760]  而今天我們都思想
[00:00:27.760 --> 00:00:30.880]  如何在一切的處境當中我們去尋求神
[00:00:30.880 --> 00:00:32.120]  去親近神
[00:00:32.120 --> 00:00:34.880]  領受神給我們的力量
[00:00:34.880 --> 00:00:37.040]  大家先看回第四節
[00:00:37.040 --> 00:00:39.040]  去到第十二節
[00:00:39.040 --> 00:00:42.520]  這幾節的經文提到詩人描述著
[00:00:42.520 --> 00:00:45.560]  整個世界那種不公不義的事情
[00:00:45.560 --> 00:00:47.360]  惡人得勢的事情
[00:00:47.360 --> 00:00:49.040]  在第四節說
[00:00:49.040 --> 00:00:52.040]  「他們死的時候沒有疼痛
[00:00:52.040 --> 00:00:54.920]  他們的力氣卻也壯實
[00:00:54.920 --> 00:00:56.760]  他們不像別人受苦
[00:00:56.760 --> 00:00:59.400]  也不像別人遭災」
[00:00:59.400 --> 00:01:01.960]  聖經提到一些惡人
[00:01:01.960 --> 00:01:04.080]  他們不需要面對一般人所面對的
[00:01:04.080 --> 00:01:06.920]  因為生活的貧窮
[00:01:06.920 --> 00:01:10.720]  產生很多的飢餓疾病的苦難
[00:01:10.720 --> 00:01:12.840]  他們有很豐富的生活
[00:01:12.840 --> 00:01:14.080]  他們也強壯
[00:01:14.080 --> 00:01:16.360]  不需要面對著很多的苦難
[00:01:16.360 --> 00:01:19.560]  災難和很多的困難
[00:01:19.560 --> 00:01:21.440]  詩人感受到很不公平的情況
[00:01:21.440 --> 00:01:23.960]  為何他們會這樣呢?
[00:01:23.960 --> 00:01:25.360]  大家都會記得早前
[00:01:25.360 --> 00:01:28.320]  我們香港有世貿進行的時候
[00:01:28.320 --> 00:01:29.600]  一群韓國的農民
[00:01:29.600 --> 00:01:33.040]  他們就在街上示威的情形
[00:01:33.040 --> 00:01:36.280]  在最近我看了一份中文的雜誌
[00:01:36.280 --> 00:01:38.680]  整篇的雜誌就強調一件事情
[00:01:38.680 --> 00:01:40.320]  沒錯,韓國的農民
[00:01:40.320 --> 00:01:42.440]  他們有很多很艱難
[00:01:42.440 --> 00:01:45.200]  但是最艱難的
[00:01:45.200 --> 00:01:46.480]  是哪些?
[00:01:46.480 --> 00:01:49.880]  是中國的八億的農民
[00:01:49.880 --> 00:01:51.840]  韓國人可以上街示威
[00:01:51.840 --> 00:01:53.840]  表示他們的訴求
[00:01:53.840 --> 00:01:55.320]  但是中國的農民
[00:01:55.320 --> 00:01:57.360]  不懂得怎樣組織自己
[00:01:57.360 --> 00:01:59.840]  也不懂得去訴求
[00:01:59.840 --> 00:02:03.000]  他們只是默默承受很多的苦難
[00:02:03.000 --> 00:02:05.040]  八億至九億的農民
[00:02:05.040 --> 00:02:09.440]  他們絕大多數都沒有溫飽的機會
[00:02:09.440 --> 00:02:11.040]  他們說當他們生病的時候
[00:02:11.040 --> 00:02:12.000]  要入醫院
[00:02:12.000 --> 00:02:14.320]  稍為入醫院幾天
[00:02:14.320 --> 00:02:17.880]  的費用就等於他們全年的收入
[00:02:17.880 --> 00:02:18.880]  因此當他們生病的時候
[00:02:18.880 --> 00:02:20.080]  有什麼方法呢?
[00:02:20.080 --> 00:02:23.640]  他們就說小病就治癒
[00:02:23.640 --> 00:02:25.640]  自己等它痊癒
[00:02:25.640 --> 00:02:28.840]  大病就等死
[00:02:28.840 --> 00:02:30.040]  是沒有什麼出路
[00:02:30.040 --> 00:02:33.840]  可以解決他們疾病和生活的問題
[00:02:33.840 --> 00:02:36.920]  但是在雪上加霜
[00:02:36.920 --> 00:02:39.240]  當地很多農地裡面
[00:02:39.240 --> 00:02:42.560]  是被很多商人來垂簷
[00:02:42.560 --> 00:02:45.920]  一些商人勾結一些幹部
[00:02:45.920 --> 00:02:46.840]  用很多方法
[00:02:46.840 --> 00:02:49.920]  很賤價地去買農田
[00:02:49.920 --> 00:02:52.040]  買了之後自己有很多的發展
[00:02:52.040 --> 00:02:54.240]  但是農夫沒有了田地之後
[00:02:54.240 --> 00:02:57.240]  完全沒有了生計的倚靠
[00:02:57.240 --> 00:02:59.640]  很快就沒有了一切的幫助
[00:02:59.640 --> 00:03:02.120]  只能夠等死
[00:03:02.120 --> 00:03:04.440]  這些情況你看到的時候覺得很不公平
[00:03:04.440 --> 00:03:06.520]  為什麼世界有這樣的事情
[00:03:06.520 --> 00:03:08.040]  我相信私人的感受
[00:03:08.040 --> 00:03:11.040]  也是今天我們很多人的感受
[00:03:11.040 --> 00:03:12.120]  為什麼呢?
[00:03:12.120 --> 00:03:14.240]  為什麼他們不像別人受苦
[00:03:14.240 --> 00:03:16.720]  也不像別人遭災呢?
[00:03:16.720 --> 00:03:17.440]  特洛茨說
[00:03:17.440 --> 00:03:19.240]  所以驕傲如鏈子
[00:03:19.240 --> 00:03:21.440]  帶在他們項上
[00:03:21.440 --> 00:03:25.320]  強暴像衣裳遮住他們的身體
[00:03:25.320 --> 00:03:28.920]  他們的眼睛因體半而突出
[00:03:28.920 --> 00:03:33.520]  他們所得的過於心裡所想的
[00:03:33.520 --> 00:03:34.840]  又說到他們的驕傲
[00:03:34.840 --> 00:03:36.320]  他們的強暴
[00:03:36.320 --> 00:03:39.120]  成為他們最突出的地方
[00:03:39.120 --> 00:03:42.320]  他們眼睛因體半而突出
[00:03:42.320 --> 00:03:44.640]  大家不要太快落結論
[00:03:44.640 --> 00:03:46.040]  有些人很胖的時候
[00:03:46.040 --> 00:03:48.320]  甚至眼睛真的突出的時候
[00:03:48.320 --> 00:03:51.040]  一定是驕傲的人
[00:03:51.040 --> 00:03:53.920]  一定是很奸惡的
[00:03:53.920 --> 00:03:55.040]  史經所說的是
[00:03:55.040 --> 00:03:58.440]  有些人有一個很強度的自信
[00:03:58.440 --> 00:04:00.840]  認為他要得到的一定得到
[00:04:00.840 --> 00:04:02.640]  他要做的一定會做到
[00:04:02.640 --> 00:04:04.840]  那種驕傲的心態
[00:04:04.840 --> 00:04:06.840]  因此他的神情
[00:04:06.840 --> 00:04:08.040]  他的眼神
[00:04:08.040 --> 00:04:12.320]  都表現出這種自信
[00:04:12.320 --> 00:04:14.520]  這些人好像沒有問題
[00:04:14.520 --> 00:04:18.120]  生活上沒有事情能夠難倒他們
[00:04:18.120 --> 00:04:20.720]  因此私人覺得很不公道
[00:04:20.720 --> 00:04:22.440]  第八節他繼續說
[00:04:22.440 --> 00:04:24.200]  他們譏笑人
[00:04:24.200 --> 00:04:27.040]  憑惡意說欺壓人的話
