
[00:00:00.000 --> 00:00:14.000]  今晚分題是《真是奉》,經文是《約翰福音》第七章第十八節。
[00:00:14.000 --> 00:00:36.000]  人憑著自己說,是求自己的榮耀,唯有求那猜測來者的榮耀。這人是真的,在他心裡沒有不疑。
[00:00:36.000 --> 00:00:46.000]  在這裡提到「真」這個字,講到「真的是奉」。
[00:00:46.000 --> 00:01:15.000]  這節聖經有四個重點。第一是猜者,就是神,神是猜險者。第二是被猜者,在這裡是指著主耶穌自己講的。
[00:01:15.000 --> 00:01:36.000]  但是這位被猜的主耶穌,祂也說:父怎麼樣猜我,我照樣猜你們。
[00:01:36.000 --> 00:01:52.000]  所以主被猜前的那個心智,祂的完成使命的心智是我們的榜樣。
[00:01:52.000 --> 00:02:14.000]  第三個要點,就是侍奉者的心態,求猜者的榮耀,求神的榮耀,不是求自己的好處,
[00:02:14.000 --> 00:02:29.000]  不是求自己的地位、利益享受滿足,而是求神的榮耀。
[00:02:29.000 --> 00:02:47.000]  第四點,這樣就是真是奉。所以這節聖經是很寶貴的一節聖經。
[00:02:47.000 --> 00:03:09.000]  那麼我們來講到主耶穌自己的榜樣。我在讀約翰福音的時候,我發現主耶穌三十九次用猜這個字。
[00:03:09.000 --> 00:03:25.000]  父猜我,父猜我,父猜我,父猜我,三十九次。那就表示主耶穌一生念念不忘,祂是父猜來的。
[00:03:25.000 --> 00:03:44.000]  祂有很強的使命感,父猜我,我要完成祂給我的使命。
[00:03:44.000 --> 00:04:00.000]  你看主一生從開始一直到最後都是表達了這個強的使命感。
[00:04:00.000 --> 00:04:16.000]  大家記得他十二歲的時候,在聖殿裏說的話,豈不知我應當以父的事為念嗎?
[00:04:16.000 --> 00:04:39.000]  那麼小的年紀已經是以父的事為念。他到十字架上臨死的時候,大聲的呼喊,成了。成了什麼呢?
[00:04:39.000 --> 00:04:56.000]  成就了父的託付。你看他的使命感從人生開始一直到結束的時候,一直在他心裏那麼強烈。
[00:04:56.000 --> 00:05:19.000]  你想一個人死在十字架上的時候,他多麼痛苦。換另外一個人他心裏所注意的、想的、感受的,就是我多麼苦啊。
[00:05:19.000 --> 00:05:38.000]  但是主耶穌所想的是成了,他完成了父神的託付。
[00:05:38.000 --> 00:05:53.000]  在這兩次的中間,三十七次,他說,付差我,付差我,付差我。
[00:05:53.000 --> 00:06:11.000]  我們想一想主耶穌怎麼樣侍奉神呢?同時我們想一想主耶穌要我們怎麼樣侍奉祂呢?
[00:06:11.000 --> 00:06:21.000]  我們看約翰福音第十二章,二十六節,
[00:06:21.000 --> 00:06:41.000]  若有人服侍我,就當跟從我。我在那裏,服侍我的人也要在那裏。若有人服侍我,我必必尊重他。主耶穌說,我在那裏,服侍我的人也要在那裏。
[00:06:41.000 --> 00:06:58.000]  主耶穌說,我在那裏,服侍我的人也要在那裏。那麼我們要問,主耶穌在那裏?上文告訴我們。二十四節,
[00:06:58.000 --> 00:07:24.000]  我實實在在地告訴你們,一粒墨紙不落在地裏死了,仍舊是一粒,若是死了,就結出許多二粒落。二十五節,愛惜自己生命的,就失去生命。在這世上,恨惡自己生命的,就要保守生命到永生。
[00:07:24.000 --> 00:07:47.000]  在這裏主講一粒墨紙,落在地裏,如果不死,它仍然只有一粒,如果死了,就結出許多二粒落。
[00:07:47.000 --> 00:08:13.000]  這是主用來形容他自己的比喻,主耶穌將他自己的生命擺上,他放下了自己的生命,好像一粒墨紙落在地裏死了。
[00:08:13.000 --> 00:08:33.000]  我們的主真是向自己死了,他真是捨己,他擺上自己,獻上自己,以致於死。
[00:08:33.000 --> 00:08:49.000]  結果呢?從他的死就結出許多許多的子粒來,從他的死就結出許多許多的子粒落。世界上千千萬萬的得救的人,都是因為主的死而得救。
[00:08:49.000 --> 00:09:15.000]  這是主走的路,所以跟著二十六節,我們剛才讀過的,若有人要服侍我,就要跟從我。
[00:09:15.000 --> 00:09:35.000]  我在那裏,他們也要在那裏,跟從主走他的路,這就是主的路,像一粒麥子的路。
[00:09:35.000 --> 00:09:49.000]  這是主所在的地方,不是主在那裏,服侍他的人也要在那裏。
