
[00:00:00.000 --> 00:00:04.280]  其實很感謝家庭更新會給我們機會
[00:00:04.280 --> 00:00:08.340]  可以在這幾個晚上和下午一起
[00:00:08.340 --> 00:00:11.340]  在這裡和大家有機會
[00:00:11.340 --> 00:00:13.240]  本來不認識的很多個家庭
[00:00:13.240 --> 00:00:15.240]  現在我們認識了幾對夫妻
[00:00:15.240 --> 00:00:19.640]  希望我們可以在雪梨這段日子認識多幾個
[00:00:19.640 --> 00:00:24.640]  昨晚我們就說到婚姻之間的問題
[00:00:24.640 --> 00:00:30.240]  今天我們說到弟弟、兒女的成長
[00:00:30.240 --> 00:00:32.440]  昨晚我都說過
[00:00:32.440 --> 00:00:37.640]  我們不敢說經驗是代表所有人
[00:00:37.640 --> 00:00:39.640]  一方面我自己讀神學
[00:00:39.640 --> 00:00:43.840]  我自己特別深感受的是
[00:00:43.840 --> 00:00:48.440]  我們的神很喜愛弟弟
[00:00:48.440 --> 00:00:51.440]  主耶穌曾經說得很清楚
[00:00:51.440 --> 00:00:55.240]  讓弟弟來到祂那裡,因為天國就像他們一樣
[00:00:55.240 --> 00:00:57.640]  主耶穌特別喜愛弟弟
[00:00:57.640 --> 00:01:01.440]  我更加記得神說我不想有一個人沉淪
[00:01:01.440 --> 00:01:05.440]  是願意每個人都能夠得著神自己的恩典
[00:01:05.440 --> 00:01:08.440]  如果神對任何一個人都是這樣
[00:01:08.440 --> 00:01:10.040]  又更加喜歡弟弟
[00:01:10.040 --> 00:01:14.040]  我相信你和我弟弟在神的照顧底下
[00:01:14.040 --> 00:01:16.240]  祂是會應許照顧他
[00:01:16.240 --> 00:01:21.440]  不過當然不是等於路上沒有風浪、沒有困難
[00:01:21.440 --> 00:01:23.640]  而且我們也承認、也知道
[00:01:23.640 --> 00:01:26.640]  我們現在這個世界是越來越難
[00:01:26.640 --> 00:01:30.040]  有些人因為怕了這個世界的困難
[00:01:30.040 --> 00:01:31.840]  想過不生弟弟
[00:01:31.840 --> 00:01:35.040]  這個我相信也是很真實的一個掙扎
[00:01:35.040 --> 00:01:39.440]  說真的,教小孩的那種辛苦
[00:01:39.440 --> 00:01:42.440]  我想為人父母大家都很同意
[00:01:42.440 --> 00:01:45.840]  我記得我上個月去另一間教會說
[00:01:45.840 --> 00:01:48.840]  就和一個家庭團體說怎樣教小孩
[00:01:48.840 --> 00:01:50.640]  那個領事很幽默
[00:01:50.640 --> 00:01:54.240]  他選了一首歌是背負十字架
[00:01:54.240 --> 00:01:56.440]  他說教小孩的那種重擔
[00:01:56.440 --> 00:01:59.040]  壓得好像背著十字架一樣
[00:01:59.040 --> 00:02:02.840]  每一步都步履為間
[00:02:02.840 --> 00:02:04.640]  其實真的很辛苦
[00:02:04.640 --> 00:02:07.040]  不過我們開始說之前
[00:02:07.040 --> 00:02:08.640]  Milton也說了
[00:02:08.640 --> 00:02:10.240]  神會和我們一起走
[00:02:10.240 --> 00:02:12.440]  但是我們作為父母有我們
[00:02:12.440 --> 00:02:13.840]  神給了子女我們
[00:02:13.840 --> 00:02:16.440]  我們有我們應該面對的事情
[00:02:16.440 --> 00:02:18.440]  但是我們又不太認識你們
[00:02:18.440 --> 00:02:21.040]  我們想了解一下
[00:02:21.040 --> 00:02:23.240]  你們有多少個小朋友
[00:02:23.240 --> 00:02:28.240]  或者有些子女是小學以下的
[00:02:28.240 --> 00:02:29.440]  就是還沒讀一年級的
[00:02:29.440 --> 00:02:30.840]  有子女是小學以下的
[00:02:30.840 --> 00:02:33.440]  先看看那些形勢怎樣
[00:02:33.440 --> 00:02:35.240]  因為不同的
[00:02:35.240 --> 00:02:36.840]  OK
[00:02:36.840 --> 00:02:39.240]  這個階段的小朋友
[00:02:39.240 --> 00:02:42.640]  我們叫焦慮期的父母
[00:02:42.640 --> 00:02:44.840]  什麼叫焦慮期呢
[00:02:44.840 --> 00:02:46.640]  經常纏著你的
[00:02:46.640 --> 00:02:48.840]  去廁所都拉著衣服
[00:02:48.840 --> 00:02:51.640]  你經常扭不動就哭了
[00:02:51.640 --> 00:02:54.240]  他進學校你比他緊張
[00:02:54.240 --> 00:02:56.040]  我教主的學校知道
[00:02:56.040 --> 00:02:58.040]  在學校我在教育部做
[00:02:58.040 --> 00:03:01.240]  又看到19月入學就慘了
[00:03:01.240 --> 00:03:02.640]  生病了
[00:03:02.640 --> 00:03:05.040]  又病了又嘔又哭了
[00:03:05.040 --> 00:03:07.240]  父母經常在窗口裝
