
[00:00:00.000 --> 00:00:03.500]  今天我們來到第四課
[00:00:03.500 --> 00:00:09.000]  就是七個金燈台的奧秘
[00:00:09.000 --> 00:00:11.500]  我們看經文
[00:00:11.500 --> 00:00:17.500]  在七十路第一章第二十節
[00:00:17.500 --> 00:00:25.500]  在七十路第一章第二十節
[00:00:28.000 --> 00:00:36.500]  論道:你所看見在我右手中的七星和七個金燈台的奧秘
[00:00:36.500 --> 00:00:40.500]  那七星就是七個教會的使者
[00:00:40.500 --> 00:00:44.500]  七燈台就是七個教會
[00:00:44.500 --> 00:00:50.500]  這裡提到奧秘兩個字
[00:00:50.500 --> 00:00:52.500]  什麼奧秘呢?
[00:00:52.500 --> 00:00:56.500]  七個金燈台的奧秘
[00:00:57.500 --> 00:01:03.000]  那麼這個七個金燈台是指著什麼說的呢?
[00:01:03.000 --> 00:01:07.000]  在我們的講義裡面告訴我們
[00:01:07.000 --> 00:01:14.500]  主耶穌在這裡用七個金燈台來代表眾教會
[00:01:14.500 --> 00:01:18.500]  所有的教會都包裹在裡面
[00:01:18.500 --> 00:01:24.000]  燈台就表示教會發光的作用
[00:01:24.500 --> 00:01:30.000]  那麼金燈台的金字是表示三個意思
[00:01:30.000 --> 00:01:34.000]  第一個意思是寶貴
[00:01:34.000 --> 00:01:39.500]  就是說教會在主的眼中是很寶貴的
[00:01:39.500 --> 00:01:42.000]  像金子一樣的寶貴
[00:01:42.000 --> 00:01:48.000]  聖經說基督愛教會為教會捨己
[00:01:48.500 --> 00:01:55.000]  由此可見基督是非常的以教會為寶貴
[00:01:55.000 --> 00:01:59.000]  第二個意思金子是不改變的
[00:01:59.000 --> 00:02:02.000]  不變色、不變質
[00:02:02.000 --> 00:02:07.000]  所以用來表示教會是不改變的
[00:02:07.000 --> 00:02:10.000]  教會裡的人會改變
[00:02:10.000 --> 00:02:14.000]  但是教會的主不改變
[00:02:14.500 --> 00:02:17.000]  所以在主的保守之下
[00:02:17.000 --> 00:02:23.000]  教會也繼續的站穩不改變
[00:02:23.000 --> 00:02:27.000]  金燈的三個意思
[00:02:27.000 --> 00:02:32.000]  在舊約裡面金有一個特別的意思
[00:02:32.000 --> 00:02:35.000]  就是代表屬神的
[00:02:35.000 --> 00:02:37.000]  代表屬神
[00:02:37.000 --> 00:02:40.000]  有神的性格
[00:02:40.000 --> 00:02:43.000]  有神的屬性
[00:02:43.500 --> 00:02:48.000]  It represents the attribute of God
[00:02:48.000 --> 00:02:51.000]  是神性的一個表示
[00:02:51.000 --> 00:02:55.000]  所以表示教會是屬神的
[00:02:55.000 --> 00:02:59.000]  這是金這個字所表示的三個意思
[00:02:59.000 --> 00:03:01.000]  和教會連在一起
[00:03:01.000 --> 00:03:06.000]  就是教會在主的眼中像金子一樣的寶貴
[00:03:06.000 --> 00:03:09.000]  教會像金子一樣的不改變
[00:03:09.000 --> 00:03:13.000]  第三教會是屬神的
[00:03:14.000 --> 00:03:15.500]  七個金燈台
[00:03:15.500 --> 00:03:18.500]  金燈台三個字我們已經看見了
[00:03:18.500 --> 00:03:23.500]  那麼還有七這個數字
[00:03:23.500 --> 00:03:27.500]  我們來看一看它的意思
[00:03:27.500 --> 00:03:30.500]  七在聖經裡面表示完全
[00:03:30.500 --> 00:03:36.500]  所以七個金燈台就代表所有的教會
[00:03:36.500 --> 00:03:40.500]  怎麼樣代表所有的教會呢?
[00:03:41.000 --> 00:03:45.500]  一方面它是代表當時在蕭亞西亞
[00:03:45.500 --> 00:03:51.500]  Asia Minor那個地區裡面的七間教會
[00:03:51.500 --> 00:03:56.500]  另外一方面也代表各時代的宗教會
[00:03:56.500 --> 00:04:01.500]  這就是說這七個金燈台的代表性
[00:04:01.500 --> 00:04:06.500]  有橫前面和縱前面
[00:04:07.000 --> 00:04:12.500]  橫前面就是代表每一個時代
[00:04:12.500 --> 00:04:16.500]  所有的各地區的宗教會
[00:04:16.500 --> 00:04:24.500]  縱前面代表歷史裡面每一個時期的宗教會
[00:04:24.500 --> 00:04:29.500]  橫前面是地區性的
[00:04:29.500 --> 00:04:35.500]  代表全世界各地區的宗教會
[00:04:36.000 --> 00:04:43.500]  縱前面是歷史裡面各時代的宗教會
[00:04:43.500 --> 00:04:50.500]  所以各時代的各地區的所有的教會都包裹在內
[00:04:50.500 --> 00:04:55.500]  就用七個金燈台來代表
[00:04:55.500 --> 00:04:58.500]  那麼為什麼我們認為
[00:04:58.500 --> 00:05:03.500]  七燈台有這麼廣泛的意義在裡面呢?
[00:05:04.000 --> 00:05:07.500]  我們有什麼根據這樣的解釋呢?
[00:05:07.500 --> 00:05:11.500]  在講義裡面告訴我們有四個理由
[00:05:11.500 --> 00:05:16.500]  第一個理由 七就是代表完全的
[00:05:16.500 --> 00:05:19.500]  所以它有泛指性
[00:05:19.500 --> 00:05:22.500]  在神奇妙的安排之下
[00:05:22.500 --> 00:05:26.500]  蕭亞西亞的七間教會的情況和需要
[00:05:27.000 --> 00:05:35.500]  剛剛符合各教會 各教會 眾教會的情況與需要
[00:05:35.500 --> 00:05:43.500]  所以這七封書信不單單是供應那七個教會的需要
[00:05:43.500 --> 00:05:48.500]  也供應所有的教會 一切的教會的需要
[00:05:48.500 --> 00:05:52.500]  所以今天我們還讀這七封書信
[00:05:53.000 --> 00:06:00.500]  主耶穌在這七封的書信裡頭把祂的心意表達給七個教會
[00:06:00.500 --> 00:06:04.500]  又藉著它們表達給眾教會
[00:06:04.500 --> 00:06:07.500]  第二個理由
[00:06:07.500 --> 00:06:11.500]  主耶穌在每一封的書信裡面都說
