
[00:00:00.000 --> 00:00:04.800]  我們再看一看曾經接受黎家前書第四章的經文
[00:00:04.800 --> 00:00:10.000]  我們今天讀到第十三節到第十八節的經文
[00:00:10.000 --> 00:00:13.200]  在看經文之前我提一件事情
[00:00:13.200 --> 00:00:17.500]  就是好幾年之前我有機會去到聖地
[00:00:17.500 --> 00:00:21.000]  在中東在耶路撒冷的地區
[00:00:21.000 --> 00:00:25.700]  去到的時候去到一個地方就是在耶路撒冷裏面的橄欖山
[00:00:25.700 --> 00:00:29.200]  大家看福音書都有讀過橄欖山的事情
[00:00:29.200 --> 00:00:32.000]  去到的時候發覺橄欖山有一個很特別的地方
[00:00:32.000 --> 00:00:35.000]  就是有很多墓地在那裏
[00:00:35.000 --> 00:00:39.800]  很多人的墳地安葬在那個地方
[00:00:39.800 --> 00:00:42.500]  我發覺這個地方很擠迫
[00:00:42.500 --> 00:00:46.400]  那些石碑是一個一個貼得很近
[00:00:46.400 --> 00:00:49.500]  問一問的時候發覺這個墓地是很昂貴的
[00:00:49.500 --> 00:00:53.300]  很貴才可以葬在這個地方
[00:00:53.300 --> 00:00:58.700]  我就問當地人為何會這麼喜歡葬在這個地方呢?
[00:00:58.700 --> 00:01:00.900]  他們說他們因為傳說
[00:01:00.900 --> 00:01:03.500]  就是當主耶穌再回來的時候
[00:01:03.500 --> 00:01:06.200]  就會在橄欖山顯現
[00:01:06.200 --> 00:01:12.300]  所以在橄欖山下葬的人就會首先復活
[00:01:12.300 --> 00:01:14.200]  所以他們很期望首先復活
[00:01:14.200 --> 00:01:18.500]  所以就個個爭相在這個地方下葬
[00:01:18.500 --> 00:01:21.700]  當然我欣賞他們那種渴慕神的心
[00:01:21.700 --> 00:01:24.000]  但是聖經絕對沒有說到
[00:01:24.000 --> 00:01:28.900]  說神在橄欖山下葬
[00:01:28.900 --> 00:01:33.000]  但當然我們都會想究竟主耶穌何時回來
[00:01:33.000 --> 00:01:37.500]  我們都很想知道主耶穌回來的時候的情況會是怎樣
[00:01:37.500 --> 00:01:40.500]  而聖經說我們會被提到魂中
[00:01:40.500 --> 00:01:45.100]  究竟在什麼狀態之下我們被提到魂中呢?
[00:01:45.100 --> 00:01:48.500]  當時我們會見到什麼呢?
[00:01:48.500 --> 00:01:51.700]  聖經怎樣說這件事情呢?
[00:01:51.700 --> 00:01:55.300]  今天大家會看到很多不同的小說或者電影
[00:01:55.300 --> 00:01:58.200]  是說到末日的情況
[00:01:58.200 --> 00:02:00.700]  也有些基督教的通俗小說
[00:02:00.700 --> 00:02:03.100]  說到主再來的情況
[00:02:03.100 --> 00:02:04.900]  但裡面有一些情節
[00:02:04.900 --> 00:02:07.900]  反而混亂了我們對聖經的了解
[00:02:07.900 --> 00:02:09.500]  所以我們都要小心看回
[00:02:09.500 --> 00:02:14.400]  究竟聖經怎樣說主耶穌再臨的時候的情況呢?
[00:02:14.400 --> 00:02:18.300]  我們因此再看聖經在四章第十三節
[00:02:18.300 --> 00:02:20.500]  提到主耶穌再來的時候
