
[00:00:00.000 --> 00:00:05.000]  今日的題目是同來同哀同助
[00:00:05.000 --> 00:00:08.000]  我想起一個經歷
[00:00:08.000 --> 00:00:15.000]  在上年十二月中,我跑了一場一百零三公里的賽事
[00:00:15.000 --> 00:00:19.000]  在這個賽事當中,也不是我第一次跑
[00:00:19.000 --> 00:00:21.000]  大家都知道我跑了好幾次
[00:00:21.000 --> 00:00:23.000]  不過這次是不同的
[00:00:23.000 --> 00:00:26.000]  因為這次由起步到完結
[00:00:26.000 --> 00:00:31.000]  是我和一個好朋友一起去展開的
[00:00:31.000 --> 00:00:33.000]  就是紅色圈那個
[00:00:33.000 --> 00:00:35.000]  我們一起起步
[00:00:35.000 --> 00:00:38.000]  在林村出發,也挺應景的
[00:00:38.000 --> 00:00:40.000]  在現在的生年期間,在林村出發
[00:00:40.000 --> 00:00:47.000]  總之在星界北部,那幾座大山,八仙嶺那些
[00:00:47.000 --> 00:00:49.000]  我們都去過了
[00:00:49.000 --> 00:00:51.000]  晚上出發,晚上十點
[00:00:51.000 --> 00:00:53.000]  出發當然是精神奕奕
[00:00:53.000 --> 00:00:57.000]  過了一夜,繼續進行
[00:00:57.000 --> 00:01:01.000]  到了第二天的黃昏入夜的時候
[00:01:01.000 --> 00:01:04.000]  我們剛剛完成了八十公里
[00:01:04.000 --> 00:01:07.000]  去到大帽山的一個檢查站
[00:01:07.000 --> 00:01:12.000]  那時候的周末,十二月中的周末
[00:01:12.000 --> 00:01:14.000]  非常冷
[00:01:14.000 --> 00:01:16.000]  只有單位數字,大帽山
[00:01:16.000 --> 00:01:19.000]  我和我的朋友說
[00:01:19.000 --> 00:01:21.000]  有衣服就穿吧
[00:01:21.000 --> 00:01:23.000]  背包上的衣服
[00:01:23.000 --> 00:01:26.000]  不要去背氣味的,全都穿上
[00:01:26.000 --> 00:01:29.000]  然後我們離開了檢查站
[00:01:29.000 --> 00:01:32.000]  補充完食物和體力之後
[00:01:32.000 --> 00:01:34.000]  怎麼這麼黑
[00:01:34.000 --> 00:01:36.000]  向左還是向右呢
[00:01:36.000 --> 00:01:38.000]  然後我的朋友說
[00:01:38.000 --> 00:01:41.000]  等等,先看看
[00:01:41.000 --> 00:01:44.000]  我們不如走這條路吧
[00:01:44.000 --> 00:01:45.000]  我們一起走
[00:01:45.000 --> 00:01:47.000]  沿著,真的有標記
[00:01:47.000 --> 00:01:49.000]  前幾步有標記
[00:01:49.000 --> 00:01:51.000]  一直走,走上大帽山
[00:01:51.000 --> 00:01:53.000]  大風又冷又震
[00:01:53.000 --> 00:01:55.000]  然後一步一步
[00:01:55.000 --> 00:01:57.000]  其實都很想回家睡覺
[00:01:57.000 --> 00:01:59.000]  但是就在這個時候
[00:01:59.000 --> 00:02:01.000]  因為身邊有同伴
[00:02:01.000 --> 00:02:04.000]  真的,在艱難當中有同伴真的很不同
[00:02:04.000 --> 00:02:07.000]  一步一步的,我看著他,他看著我
[00:02:07.000 --> 00:02:09.000]  兩個人就完成了
[00:02:09.000 --> 00:02:12.000]  從大帽山下去吳同寨
[00:02:12.000 --> 00:02:15.000]  上去大都仁,去到林村終點
[00:02:15.000 --> 00:02:17.000]  走了25個小時
[00:02:17.000 --> 00:02:19.000]  都很辛苦,回到家
[00:02:19.000 --> 00:02:21.000]  馬上,都要洗澡的
[00:02:21.000 --> 00:02:23.000]  但是馬上睡覺
[00:02:23.000 --> 00:02:25.000]  第二天就見到我回到教會
[00:02:25.000 --> 00:02:27.000]  其實不知道你們知不知道
[00:02:27.000 --> 00:02:31.000]  我那天是完成了艱難的賽事回到教會
[00:02:31.000 --> 00:02:34.000]  今天經過三個朋友
[00:02:34.000 --> 00:02:36.000]  約伯的三個朋友來探望
[00:02:36.000 --> 00:02:38.000]  一個受苦當中的約伯
[00:02:38.000 --> 00:02:40.000]  和他們同行
[00:02:40.000 --> 00:02:42.000]  當中有一些很寶貴的
[00:02:42.000 --> 00:02:45.000]  宿靈的教導讓我們一起學習
[00:02:45.000 --> 00:02:48.000]  經文當中我們會發覺
[00:02:48.000 --> 00:02:50.000]  其實在第一第二章
[00:02:50.000 --> 00:02:53.000]  無論是我,Candle傳道都說了
[00:02:53.000 --> 00:02:56.000]  約伯是一個很正直的人
[00:02:56.000 --> 00:02:58.000]  在神眼中看為義的人
[00:02:58.000 --> 00:03:00.000]  不過他受了很多艱難
[00:03:00.000 --> 00:03:02.000]  失去了他們的財產
[00:03:02.000 --> 00:03:04.000]  十個兒女
[00:03:04.000 --> 00:03:06.000]  失去了身體的健康
[00:03:06.000 --> 00:03:10.000]  被太太所辱罵等等
[00:03:10.000 --> 00:03:13.000]  生心靈都很痛苦
[00:03:13.000 --> 00:03:18.000]  所以第一第二章給了我們一個很重要的神學思想
[00:03:18.000 --> 00:03:21.000]  一個人的受苦不一定和罪有關
[00:03:21.000 --> 00:03:24.000]  好像約翰福第九章
[00:03:24.000 --> 00:03:27.000]  有人問為何那個人身出黑眼
[00:03:27.000 --> 00:03:29.000]  是不是他犯了錯
[00:03:29.000 --> 00:03:31.000]  是不是他父母做錯了
[00:03:31.000 --> 00:03:32.000]  耶穌說不是
[00:03:32.000 --> 00:03:35.000]  是要從他這個受苦的生命上
[00:03:35.000 --> 00:03:38.000]  彰顯上帝的榮耀
[00:03:38.000 --> 00:03:40.000]  所以一個人的艱難
[00:03:40.000 --> 00:03:42.000]  不一定和苦難有關
[00:03:42.000 --> 00:03:44.000]  或者和罪有關
[00:03:44.000 --> 00:03:46.000]  在這個時候
[00:03:46.000 --> 00:03:50.000]  經文提到有三個朋友
[00:03:50.000 --> 00:03:52.000]  經文提到第十一節
[00:03:52.000 --> 00:03:54.000]  有三個朋友叫提曼人爾利法
[00:03:54.000 --> 00:03:59.000]  書亞人比格達
[00:03:59.000 --> 00:04:02.000]  和拿馬人所法
[00:04:02.000 --> 00:04:04.000]  這三個朋友就在這裡
[00:04:04.000 --> 00:04:08.000]  有趣的是經文一開始
[00:04:08.000 --> 00:04:13.000]  他會提到聽說一切的災禍淋到在若白身上
[00:04:13.000 --> 00:04:14.000]  災禍這個字
[00:04:14.000 --> 00:04:18.000]  災禍這個字的原文是什麼意思
[00:04:18.000 --> 00:04:20.000]  災禍的原文就是邪惡
[00:04:20.000 --> 00:04:22.000]  邪惡的意思
[00:04:22.000 --> 00:04:25.000]  Evil 邪惡
[00:04:25.000 --> 00:04:28.000]  我們知道在創世紀第一第二章
[00:04:28.000 --> 00:04:32.000]  神創造天地萬物都是美好的
[00:04:32.000 --> 00:04:34.000]  在第三章
[00:04:34.000 --> 00:04:36.000]  當人犯罪
[00:04:36.000 --> 00:04:37.000]  罪轉入世界
[00:04:37.000 --> 00:04:39.000]  死亡淋在人身上
[00:04:39.000 --> 00:04:41.000]  邪惡就發生
[00:04:41.000 --> 00:04:43.000]  所以在創世紀六章五節
[00:04:43.000 --> 00:04:46.000]  耶和華見世地上所有人
[00:04:46.000 --> 00:04:48.000]  這個罪惡就是這個字
[00:04:48.000 --> 00:04:50.000]  邪惡甚大
[00:04:50.000 --> 00:04:53.000]  中日所想的都是惡事
[00:04:53.000 --> 00:04:55.000]  也就是說
[00:04:55.000 --> 00:05:00.000]  邪惡本身不是上帝創造的一部分
[00:05:00.000 --> 00:05:02.000]  邪惡
[00:05:02.000 --> 00:05:04.000]  若白的受苦
[00:05:04.000 --> 00:05:06.000]  也不是出於
[00:05:06.000 --> 00:05:10.000]  若白的受苦當中是上帝容許的
[00:05:10.000 --> 00:05:12.000]  上帝容許這件事發生
[00:05:12.000 --> 00:05:14.000]  但是真正攻擊
[00:05:14.000 --> 00:05:16.000]  若白的
[00:05:16.000 --> 00:05:18.000]  我們知道在第一章的時候
[00:05:18.000 --> 00:05:20.000]  是撒旦
[00:05:20.000 --> 00:05:22.000]  或者是神透過撒旦的手
[00:05:22.000 --> 00:05:26.000]  讓若白在當中學習一些功課
