
[00:00:00.000 --> 00:00:05.080]  今年教會的主題是「植根連主愛,結果要神恩」
[00:00:05.080 --> 00:00:07.000]  植根連主愛
[00:00:07.000 --> 00:00:10.960]  究竟主愛對我們有多深有多大有多廣呢?
[00:00:10.960 --> 00:00:15.720]  今天也是40天生命更新之旅的開始
[00:00:15.720 --> 00:00:18.560]  我們有六個星期的時間
[00:00:18.560 --> 00:00:23.080]  有講到六次日查經和40天靈修的一些材料
[00:00:23.080 --> 00:00:26.960]  我們都希望藉著這個40天的時間
[00:00:26.960 --> 00:00:29.240]  我們做一次的思想宣導會
[00:00:29.440 --> 00:00:31.520]  四重福音的第一重的福音
[00:00:31.520 --> 00:00:34.640]  就是基督是拯救我們的主
[00:00:34.640 --> 00:00:37.080]  基督是拯救我們的主
[00:00:37.080 --> 00:00:41.840]  在這一段的經文裏面
[00:00:41.840 --> 00:00:44.680]  講了一個整個羅馬書裏面
[00:00:44.680 --> 00:00:47.040]  其實對基督教的信仰是相當重要
[00:00:47.040 --> 00:00:49.560]  他告訴我們甚麼叫做信耶穌
[00:00:49.560 --> 00:00:51.680]  信耶穌是一件甚麼的事
[00:00:51.680 --> 00:00:54.000]  信耶穌的意思究竟是怎樣呢?
[00:00:54.000 --> 00:00:57.760]  保羅在羅馬書裏面很清楚地講出
[00:00:57.880 --> 00:01:00.600]  一個福音是甚麼的意思
[00:01:00.600 --> 00:01:03.080]  在這裏一開始保羅在這裏說
[00:01:03.080 --> 00:01:06.160]  其實他很想去到羅馬人的地方
[00:01:06.160 --> 00:01:13.400]  去帶領一些未曾認識耶穌的人
[00:01:13.400 --> 00:01:16.680]  有機會去相信耶穌
[00:01:16.680 --> 00:01:18.960]  但在這裏保羅說有些阻隔
[00:01:18.960 --> 00:01:20.800]  究竟有甚麼的障礙呢?
[00:01:20.800 --> 00:01:21.680]  保羅在這裏沒有講
[00:01:21.680 --> 00:01:23.960]  不過很合理的一個推斷就是
[00:01:23.960 --> 00:01:26.560]  保羅當時在希臘和在附近的地方
[00:01:26.640 --> 00:01:28.960]  有一些工作還沒有完成
[00:01:28.960 --> 00:01:31.240]  所以他還沒有空閒時間
[00:01:31.240 --> 00:01:33.120]  去到羅馬的地方
[00:01:33.120 --> 00:01:36.400]  去將大福音帶到這個地方
[00:01:36.400 --> 00:01:38.400]  其實保羅在這裏再繼續講
[00:01:38.400 --> 00:01:40.160]  他很想去到他們當中
[00:01:40.160 --> 00:01:43.840]  其實是想將一個永恆的福分帶給他們
[00:01:43.840 --> 00:01:47.200]  希望讓一些外邦人
[00:01:47.200 --> 00:01:48.480]  尤其是外邦人
[00:01:48.480 --> 00:01:51.240]  能夠有認識上帝恩典的機會
[00:01:51.240 --> 00:01:54.880]  如同在其餘的外邦人當中
[00:01:55.120 --> 00:01:58.320]  保羅在這裏也用了兩個理由去解釋
[00:01:58.320 --> 00:02:00.440]  為甚麼這麼熱切去
[00:02:00.440 --> 00:02:05.960]  很渴望去到羅馬傳講福音和信仰
[00:02:05.960 --> 00:02:07.560]  保羅在這裏講了兩個理由
[00:02:07.560 --> 00:02:08.440]  第一個理由
[00:02:08.440 --> 00:02:11.080]  福音是去欠世界的債
[00:02:11.080 --> 00:02:15.480]  保羅不是向羅馬人借了一些東西
[00:02:15.480 --> 00:02:16.360]  沒有還
[00:02:16.360 --> 00:02:17.200]  所以欠了他們
[00:02:17.200 --> 00:02:17.720]  不是
[00:02:17.720 --> 00:02:21.040]  保羅很清楚地去講出
[00:02:21.040 --> 00:02:23.600]  在其他的書信也去講
[00:02:23.720 --> 00:02:25.720]  當他在往大馬色的路上
[00:02:25.720 --> 00:02:27.120]  耶穌向他顯現
[00:02:27.120 --> 00:02:30.360]  他很深經歷耶穌是一位拯救他的主
[00:02:30.360 --> 00:02:36.720]  耶穌也將一個叫外邦人得福音的使命
[00:02:36.720 --> 00:02:38.000]  去交託給保羅
[00:02:38.000 --> 00:02:40.720]  所以保羅領受了這個使命之後
[00:02:40.720 --> 00:02:44.960]  他很覺得他是恩著耶穌的託付
[00:02:44.960 --> 00:02:48.880]  所以我欠了那些未信的人的福音的債
[00:02:48.880 --> 00:02:51.800]  所以他很想去還這個福音的債
[00:02:51.800 --> 00:02:53.080]  去到他們當中
[00:02:54.040 --> 00:02:57.800]  保羅就因為這個欠債感
[00:02:57.800 --> 00:02:59.880]  所以在十六節裏面他就講出了
[00:02:59.880 --> 00:03:03.760]  所以他說我情願用盡我所有的力量
[00:03:03.760 --> 00:03:06.400]  去將福音傳給你們羅馬的人
[00:03:06.400 --> 00:03:10.200]  正正是因為這種欠債感
[00:03:10.200 --> 00:03:15.200]  所以逼推動保羅去做一個向前
[00:03:15.200 --> 00:03:16.720]  去做傳福音的工作
[00:03:16.720 --> 00:03:18.280]  在當時來說
[00:03:18.280 --> 00:03:21.520]  欠債其實是一個不明譽的情況
[00:03:21.520 --> 00:03:23.280]  借了一些東西不還
[00:03:23.280 --> 00:03:27.880]  這是一個相當不明譽的狀態
[00:03:27.880 --> 00:03:30.280]  所以保羅因為這種責任感
[00:03:30.280 --> 00:03:31.320]  因為使命感
[00:03:31.320 --> 00:03:33.200]  以至他一個迫切感
[00:03:33.200 --> 00:03:36.360]  去到羅馬當中去傳揚福音
[00:03:36.360 --> 00:03:38.760]  第二方面保羅很認定
[00:03:38.760 --> 00:03:42.120]  福音是神拯救的大能
[00:03:42.120 --> 00:03:43.960]  這個福音
[00:03:43.960 --> 00:03:47.760]  是上帝藉著耶穌的死
[00:03:47.760 --> 00:03:50.760]  去拯救地上所有的人
[00:03:50.760 --> 00:03:52.040]  在當時來說
[00:03:52.040 --> 00:03:53.560]  說一個人
[00:03:53.560 --> 00:03:54.920]  一個人
[00:03:54.920 --> 00:03:57.520]  死在被人釘在十字架上
[00:03:57.520 --> 00:03:59.720]  又宣稱一個人的死
[00:03:59.720 --> 00:04:04.520]  可以去赦免地上所有罪人的債的時候
[00:04:04.520 --> 00:04:06.440]  或者罪人的刑罰的時候
[00:04:06.440 --> 00:04:07.440]  在當時來說
[00:04:07.440 --> 00:04:11.240]  是相當十分愚拙的一個講法
[00:04:11.240 --> 00:04:12.640]  和一個信仰
[00:04:12.640 --> 00:04:16.720]  所以很多人覺得信耶穌的人
[00:04:16.720 --> 00:04:19.840]  根本是一些很低下的人
