
[00:00:00.000 --> 00:00:05.100]  我們經過了八個星期,52天的生命更新之旅
[00:00:05.100 --> 00:00:09.280]  今天我們有一個慶典,有一個聚餐,有一個聚會
[00:00:09.280 --> 00:00:12.280]  回顧過去這麼多個星期
[00:00:12.280 --> 00:00:15.280]  究竟上帝在我們當中有什麼恩典
[00:00:15.280 --> 00:00:21.620]  也讓我們前瞻我們持續地學習跟從上帝
[00:00:21.620 --> 00:00:23.380]  今天也想透過這段經文
[00:00:23.380 --> 00:00:26.380]  對我們過去這八個星期裡
[00:00:26.380 --> 00:00:32.220]  我們四個主題的更新內容,一些整體上的思考
[00:00:32.220 --> 00:00:36.260]  大家還記不記得我們這八個星期有四個方面的更新
[00:00:36.260 --> 00:00:37.180]  哪四個?
[00:00:37.180 --> 00:00:39.420]  第一,社稷的更新
[00:00:39.420 --> 00:00:41.100]  敬拜的更新
[00:00:41.100 --> 00:00:42.460]  關係的更新
[00:00:42.460 --> 00:00:43.980]  見證的更新
[00:00:43.980 --> 00:00:47.220]  四個方向的更新
[00:00:47.220 --> 00:00:49.220]  在這段經文裡說到
[00:00:49.220 --> 00:00:55.700]  當耶穌被釘、受苦、埋葬、第三日復活
[00:00:55.700 --> 00:00:57.020]  聖靈降臨
[00:00:57.020 --> 00:01:00.540]  教會的群體開始建立
[00:01:00.540 --> 00:01:08.140]  彼得向一大群人說出一篇可以說是報導的信息
[00:01:08.140 --> 00:01:13.340]  彼得在前面引用了舊約聖經
[00:01:13.340 --> 00:01:15.500]  在很多地方說到
[00:01:15.500 --> 00:01:20.660]  耶穌就是被上帝差來的那一個救主
[00:01:20.660 --> 00:01:24.460]  耶穌就是那一個彌賽亞
[00:01:24.460 --> 00:01:29.380]  當一群群眾聽見這個信息的時候
[00:01:29.380 --> 00:01:31.420]  他們心裡很震驚
[00:01:31.420 --> 00:01:33.860]  在這個群眾當中可能有一些人
[00:01:33.860 --> 00:01:38.300]  他們是有份要釘耶穌在十字架上
[00:01:38.300 --> 00:01:40.140]  釘祂在十字架上
[00:01:40.140 --> 00:01:44.060]  但是這一刻當他們聽見彼得說
[00:01:44.060 --> 00:01:53.780]  在舊約聖經裡見證了耶穌就是被上帝差來的那一個彌賽亞
[00:01:53.780 --> 00:01:56.220]  他們心裡有一個很大的震驚
[00:01:56.220 --> 00:02:00.340]  聖經形容他們心裡覺得責心
[00:02:00.340 --> 00:02:04.140]  他們深深的懊悔自己所作的行為
[00:02:04.140 --> 00:02:07.220]  深深的懊悔釘耶穌在十字架上
[00:02:07.220 --> 00:02:09.340]  接著他們問了一個問題
[00:02:09.340 --> 00:02:11.020]  很正面的問一個問題
[00:02:11.020 --> 00:02:15.100]  他們說問彼得我們可以做些什麼呢?
[00:02:15.100 --> 00:02:17.980]  我們可以做些什麼呢?
[00:02:17.980 --> 00:02:20.620]  彼得的回答基本上可以說
[00:02:20.620 --> 00:02:26.940]  作為一個傳道者、傳呼音者一個標準的回答
[00:02:26.940 --> 00:02:30.020]  就是說你們當悔改
[00:02:30.020 --> 00:02:32.980]  奉耶穌的名受洗
[00:02:32.980 --> 00:02:36.780]  在這裡可以說彼得的呼召
[00:02:36.780 --> 00:02:41.660]  基本上也都在呼應耶穌在地上對人的呼召
[00:02:41.660 --> 00:02:43.420]  耶穌在地上說
[00:02:43.420 --> 00:02:44.940]  天國近了
[00:02:44.940 --> 00:02:47.140]  你們應當悔改
[00:02:47.140 --> 00:02:52.660]  也都叫人離開自己過去敵擋上帝的道路
[00:02:52.660 --> 00:02:53.780]  要歸向上帝
[00:02:53.780 --> 00:02:55.180]  要悔改
[00:02:55.180 --> 00:03:01.620]  在這裡彼得呼喚這一班人
[00:03:01.620 --> 00:03:03.540]  你們要悔改
[00:03:03.540 --> 00:03:07.420]  悔改不單只是一個思想上的改變
[00:03:07.420 --> 00:03:12.660]  是整個生命方向的扭轉
[00:03:12.660 --> 00:03:15.540]  說到懊悔也都不只是懊悔停在這裡
[00:03:15.540 --> 00:03:19.580]  是一個思想上、心靈上的一個感覺
[00:03:19.580 --> 00:03:23.580]  悔改的意思是離開過去罪惡的道路
[00:03:23.580 --> 00:03:27.180]  離開過去遠離上帝的道路
[00:03:27.180 --> 00:03:32.020]  遠離在我心靈裡好像沒有上帝的生活的那種形態
[00:03:32.020 --> 00:03:38.140]  變成現在我回轉以上帝為我生命的主的第一步
[00:03:38.140 --> 00:03:43.220]  悔改可以說是歸向上帝的必須行的第一步
[00:03:43.220 --> 00:03:46.700]  這個悔改的行動
[00:03:46.700 --> 00:03:48.500]  加爾文尼德尊曾經說過
[00:03:48.500 --> 00:03:54.060]  他說悔改不單只是必然隨著信心而來的一個行動
[00:03:54.060 --> 00:03:58.660]  而且悔改也是由信心而產生
[00:03:58.660 --> 00:04:01.540]  所以我們說相信耶穌的意思
[00:04:01.540 --> 00:04:05.700]  就是說我們願意去悔改歸向上帝
[00:04:05.700 --> 00:04:09.700]  信心和悔改基本上就好像一個同閉的兩面
[00:04:09.700 --> 00:04:12.540]  當我們說有信心跟從耶穌的時候
[00:04:12.540 --> 00:04:18.060]  也就等於我們願意將我們整個生命的一個悔改的行動歸向上帝
[00:04:18.060 --> 00:04:19.140]  接著在這裡說
[00:04:19.140 --> 00:04:20.860]  奉耶穌的名受洗
[00:04:20.860 --> 00:04:26.980]  在初期教會,人們信了就差不多馬上去受洗
[00:04:26.980 --> 00:04:33.260]  這個受洗的行動是表示一個內心裡悔改的改變
