
[00:00:00.000 --> 00:00:14.080]  歡迎大家來到《神學茶館》第三節
[00:00:14.080 --> 00:00:15.440]  我是楊思妍
[00:00:15.440 --> 00:00:18.600]  這一節繼續有黃錦雯神父
[00:00:18.600 --> 00:00:21.000]  和我們一起討論聖餐
[00:00:21.000 --> 00:00:27.640]  我們剛剛第一、第二節討論了很多有關聖餐感恩禮
[00:00:27.640 --> 00:00:31.560]  還有我們怎樣去理解基督的身體
[00:00:31.560 --> 00:00:35.560]  特別是在感恩祭裡面基督的臨在
[00:00:35.560 --> 00:00:40.440]  我其實有很多問題想問神父的
[00:00:40.440 --> 00:00:45.000]  我剛才最原初是想問
[00:00:45.000 --> 00:00:48.680]  你第一節有提到贖罪祭
[00:00:48.680 --> 00:00:51.080]  只不過我的理解就是
[00:00:51.080 --> 00:00:57.320]  應該公教都不至於說感恩祭是贖罪祭
[00:00:57.320 --> 00:01:00.520]  因為是兩樣很不同的事情
[00:01:00.520 --> 00:01:06.440]  贖罪祭就是我們此時此刻就是這個祭物
[00:01:06.440 --> 00:01:11.640]  透過這個祭物去遮蓋我們的罪
[00:01:11.640 --> 00:01:17.640]  而感恩祭是因為已經確認了我們被贖罪
[00:01:17.640 --> 00:01:19.960]  和與神的關係和好
[00:01:19.960 --> 00:01:22.360]  然後我們去感恩
[00:01:22.360 --> 00:01:24.600]  去一起分享一個祭物
[00:01:24.600 --> 00:01:26.760]  所以那個祭物就不是用來贖罪
[00:01:26.760 --> 00:01:33.240]  而是大家一起很開心地去表達我們和神
[00:01:33.240 --> 00:01:36.760]  和人和人之間的復和
[00:01:36.760 --> 00:01:43.800]  其實我們說感恩祭是贖罪祭
[00:01:43.800 --> 00:01:45.800]  我不是指舊約的贖罪祭
[00:01:45.800 --> 00:01:47.800]  絕對不是那個
[00:01:47.800 --> 00:01:51.000]  因為感恩祭就是主一宗的月侯職
[00:01:51.000 --> 00:01:53.000]  是他的死亡復活
[00:01:53.000 --> 00:01:55.880]  因為有主一宗的月侯職
[00:01:55.880 --> 00:02:01.640]  所以我們才能夠直接信望參與他的月侯職
[00:02:01.640 --> 00:02:05.240]  所以我們今天舉行感恩祭的意思是
[00:02:05.240 --> 00:02:10.280]  我們可以經驗到、可以見到、可以聽到禮儀標記
[00:02:10.280 --> 00:02:15.560]  讓主一宗兩千年前的月侯職真實呈現出來
[00:02:15.560 --> 00:02:19.240]  邀請我們參與所有人能夠得救
[00:02:19.240 --> 00:02:20.520]  是這樣的意思
[00:02:20.520 --> 00:02:22.920]  我不是指舊約的贖罪祭
[00:02:22.920 --> 00:02:24.680]  完全不是
[00:02:24.680 --> 00:02:27.240]  我們是用這個觀點來理解
[00:02:27.240 --> 00:02:30.440]  所以贖罪祭實際上
[00:02:30.440 --> 00:02:32.440]  為什麼我們可以用這個名詞
[00:02:32.440 --> 00:02:34.440]  因為這個主一宗是月侯職
[00:02:34.440 --> 00:02:37.160]  月侯職就是為了救贖我們
[00:02:37.160 --> 00:02:39.160]  因為罪是我們犯的
[00:02:39.160 --> 00:02:45.560]  他為了讓我們能夠離開罪惡的束縛
[00:02:45.560 --> 00:02:47.560]  他為了交付了他的生命
[00:02:47.560 --> 00:02:51.480]  所以我說贖罪祭這個字是指這個意思
[00:02:51.480 --> 00:02:54.120]  是指月侯職贖罪的意思
[00:02:54.120 --> 00:02:56.120]  而不是指舊約的贖罪祭
[00:02:56.120 --> 00:02:58.120]  完全不是這個意思
[00:02:58.120 --> 00:03:02.440]  我想可能我和你其中一個分歧
[00:03:02.440 --> 00:03:03.960]  其實我也知道
[00:03:03.960 --> 00:03:08.040]  例如慈雲里就算他和其他新教的改革家
[00:03:08.040 --> 00:03:09.480]  也是有這個分歧
[00:03:09.480 --> 00:03:13.160]  就是他很想尊重舊約
[00:03:13.160 --> 00:03:19.480]  特別是想連貫舊約的舊屬和新約的舊屬
[00:03:19.480 --> 00:03:23.560]  強調耶穌來其實是承傳了舊約
[00:03:23.560 --> 00:03:26.760]  神用了很多年教導他的子民
[00:03:26.760 --> 00:03:28.760]  他的舊屬是怎樣怎樣怎樣
[00:03:28.760 --> 00:03:30.760]  而到了耶穌來
[00:03:30.760 --> 00:03:35.480]  他就是最終極的那個舊屬
[00:03:35.480 --> 00:03:39.000]  所以舊約其實是幫我們理解
[00:03:39.000 --> 00:03:41.720]  耶穌在做什麼
[00:03:41.720 --> 00:03:47.160]  其中一樣我喜歡去說的
[00:03:47.160 --> 00:03:50.360]  舊約其實包括新約也是
[00:03:50.360 --> 00:03:52.360]  都是禁止吃血
[00:03:52.360 --> 00:03:59.720]  這個禁止其實神也是透過這樣的條例
[00:03:59.720 --> 00:04:04.120]  去教導人生命在血裏
[00:04:04.120 --> 00:04:06.840]  所以就算是感恩祭
[00:04:06.840 --> 00:04:08.840]  舊約的平安祭也好
[00:04:08.840 --> 00:04:13.080]  他們一起去吃那些祭物的肉
[00:04:13.080 --> 00:04:16.840]  也說明是不可以吃血的
[00:04:16.840 --> 00:04:20.040]  我自己就覺得很奇怪
[00:04:20.040 --> 00:04:23.400]  特別這個禁戒
[00:04:23.400 --> 00:04:26.120]  其實去到使徒行傳耶路撒冷會議
[00:04:26.120 --> 00:04:28.120]  都再一次去重申
[00:04:28.120 --> 00:04:31.560]  我們不可以吃血
[00:04:31.560 --> 00:04:37.320]  不是說我們一定要很死守一些的條例
