
[00:00:00.000 --> 00:00:02.520]  我們再看一看聖經《哥羅西書》
[00:00:02.520 --> 00:00:07.520]  我們一直讀開的聖經
[00:00:07.520 --> 00:00:11.720]  我們今天思想的是禱告與見證
[00:00:11.720 --> 00:00:14.720]  大家會記得我們在最開始的時候讀到第一章
[00:00:14.720 --> 00:00:18.320]  保羅就立刻提及到關於祈禱的訊息
[00:00:18.320 --> 00:00:22.220]  因此大家先看第一章第三節
[00:00:22.220 --> 00:00:24.220]  保羅就說:我們感謝神
[00:00:24.220 --> 00:00:26.420]  我們主耶穌基督的父
[00:00:26.420 --> 00:00:29.220]  上上為你們禱告
[00:00:29.220 --> 00:00:33.120]  保羅很清楚表示祂上上為別人禱告
[00:00:33.120 --> 00:00:35.120]  第一章第九節
[00:00:35.120 --> 00:00:37.920]  因此我們自從聽見的日子
[00:00:37.920 --> 00:00:41.320]  也就為你們不住地禱告祈求
[00:00:41.320 --> 00:00:43.120]  願你們在一切屬靈的智慧
[00:00:43.120 --> 00:00:46.920]  悟聖上滿心知道神的旨意
[00:00:46.920 --> 00:00:48.520]  是不單止上上
[00:00:48.520 --> 00:00:51.120]  而且是不住地祈禱
[00:00:51.120 --> 00:00:53.120]  因此來到第四章最後一章的時候
[00:00:53.120 --> 00:00:57.520]  保羅就很快速地轉回到主題
[00:00:57.520 --> 00:00:58.920]  在第四章第二節說
[00:00:58.920 --> 00:01:01.420]  你們要行切禱告
[00:01:01.420 --> 00:01:04.520]  在此警醒感恩
[00:01:04.520 --> 00:01:06.220]  因此我們今天一起思想的
[00:01:06.220 --> 00:01:10.420]  是有關禱告和見證的訊息
[00:01:10.420 --> 00:01:12.420]  我記得在前段時間
[00:01:12.420 --> 00:01:14.620]  有機會和一些朋友聊天
[00:01:14.620 --> 00:01:16.920]  我就發覺我越來越認識多人
[00:01:16.920 --> 00:01:19.820]  患了一種病症
[00:01:19.820 --> 00:01:23.220]  是什麼病症呢?就是睡眠窒息症
[00:01:23.220 --> 00:01:26.820]  不知道大家當中有沒有一些弟兄姐妹有這樣的困難
[00:01:26.820 --> 00:01:30.220]  很多人他們發覺自己睡醒之後
